Orders.Ship Date.Variation.Date Hierarchy.Month,Orders.Ship Date.Variation.Date Hierarchy.Quarter,Orders.Region,Orders.City,Sum(Orders.Quantity),Sum(Orders.Profit)
October,Qtr 4,East,Parma,4,-4.9704000000000015
November,Qtr 4,East,Parma,26,4.565399999999855
December,Qtr 4,East,Parma,,
January,Qtr 1,East,Passaic,,
February,Qtr 1,East,Passaic,,
March,Qtr 1,East,Passaic,,
April,Qtr 2,East,Passaic,,
May,Qtr 2,East,Passaic,24,356.81860000000006
June,Qtr 2,East,Passaic,,
July,Qtr 3,East,Passaic,,
August,Qtr 3,East,Passaic,,
September,Qtr 3,East,Passaic,,
October,Qtr 4,East,Passaic,,
November,Qtr 4,East,Passaic,,
December,Qtr 4,East,Passaic,,
January,Qtr 1,East,Paterson,,
February,Qtr 1,East,Paterson,,
March,Qtr 1,East,Paterson,,
April,Qtr 2,East,Paterson,,
May,Qtr 2,East,Paterson,,
June,Qtr 2,East,Paterson,20,330.1558
July,Qtr 3,East,Paterson,,
August,Qtr 3,East,Paterson,,
September,Qtr 3,East,Paterson,21,163.88799999999998
October,Qtr 4,East,Paterson,,
November,Qtr 4,East,Paterson,,
December,Qtr 4,East,Paterson,21,246.44619999999998
January,Qtr 1,East,Perth Amboy,,
February,Qtr 1,East,Perth Amboy,14,120.2758
March,Qtr 1,East,Perth Amboy,,
April,Qtr 2,East,Perth Amboy,,
May,Qtr 2,East,Perth Amboy,,
June,Qtr 2,East,Perth Amboy,,
July,Qtr 3,East,Perth Amboy,6,352.75960000000003
August,Qtr 3,East,Perth Amboy,,
September,Qtr 3,East,Perth Amboy,,
October,Qtr 4,East,Perth Amboy,2,160.60860000000002
November,Qtr 4,East,Perth Amboy,,
December,Qtr 4,East,Perth Amboy,,
January,Qtr 1,East,Philadelphia,67,-422.93470000000025
February,Qtr 1,East,Philadelphia,24,279.1846999999998
March,Qtr 1,East,Philadelphia,99,-1284.5296999999996
April,Qtr 2,East,Philadelphia,168,-902.6023
May,Qtr 2,East,Philadelphia,129,451.626199999999
June,Qtr 2,East,Philadelphia,121,-131.15400000000008
July,Qtr 3,East,Philadelphia,237,-264.3298000000004
August,Qtr 3,East,Philadelphia,114,-1828.3840000000005
September,Qtr 3,East,Philadelphia,365,-6039.327700000001
October,Qtr 4,East,Philadelphia,156,-407.0101000000002
November,Qtr 4,East,Philadelphia,196,-1191.9826000000003
December,Qtr 4,East,Philadelphia,305,-2096.3234000000007
January,Qtr 1,East,Plainfield,8,10.5825
February,Qtr 1,East,Plainfield,,
March,Qtr 1,East,Plainfield,,
April,Qtr 2,East,Plainfield,9,632.4619
May,Qtr 2,East,Plainfield,,
June,Qtr 2,East,Plainfield,,
July,Qtr 3,East,Plainfield,4,25.326000000000004
August,Qtr 3,East,Plainfield,2,25.4384
September,Qtr 3,East,Plainfield,,
October,Qtr 4,East,Plainfield,,
November,Qtr 4,East,Plainfield,12,185.97840000000002
December,Qtr 4,East,Plainfield,14,355.8785
January,Qtr 1,East,Providence,19,1071.7254
February,Qtr 1,East,Providence,,
March,Qtr 1,East,Providence,9,-27.164199999999994
April,Qtr 2,East,Providence,11,36.2456
May,Qtr 2,East,Providence,,
June,Qtr 2,East,Providence,,
July,Qtr 3,East,Providence,7,7.263799999999999
August,Qtr 3,East,Providence,8,107.5103
September,Qtr 3,East,Providence,28,801.4961999999998
October,Qtr 4,East,Providence,13,2640.4798
November,Qtr 4,East,Providence,,
December,Qtr 4,East,Providence,23,868.0999999999999
January,Qtr 1,East,Quincy,2,5.842
February,Qtr 1,East,Quincy,,
March,Qtr 1,East,Quincy,,
April,Qtr 2,East,Quincy,,
May,Qtr 2,East,Quincy,,
June,Qtr 2,East,Quincy,,
July,Qtr 3,East,Quincy,12,104.74719999999999
August,Qtr 3,East,Quincy,,
September,Qtr 3,East,Quincy,27,180.37789999999995
October,Qtr 4,East,Quincy,,
November,Qtr 4,East,Quincy,3,7.021800000000001
December,Qtr 4,East,Quincy,,
January,Qtr 1,East,Reading,,
February,Qtr 1,East,Reading,,
March,Qtr 1,East,Reading,3,2.878199999999999
April,Qtr 2,East,Reading,,
May,Qtr 2,East,Reading,,
June,Qtr 2,East,Reading,,
July,Qtr 3,East,Reading,,
August,Qtr 3,East,Reading,,
September,Qtr 3,East,Reading,,
October,Qtr 4,East,Reading,2,1.5008
November,Qtr 4,East,Reading,6,-242.75119999999998
December,Qtr 4,East,Reading,5,-30.392000000000024
January,Qtr 1,East,Revere,,
February,Qtr 1,East,Revere,,
March,Qtr 1,East,Revere,,
April,Qtr 2,East,Revere,6,5.735999999999996
May,Qtr 2,East,Revere,,
June,Qtr 2,East,Revere,,
July,Qtr 3,East,Revere,,
August,Qtr 3,East,Revere,,
September,Qtr 3,East,Revere,13,224.82939999999996
October,Qtr 4,East,Revere,,
November,Qtr 4,East,Revere,,
December,Qtr 4,East,Revere,5,28.2712
January,Qtr 1,East,Rochester,,
February,Qtr 1,East,Rochester,13,205.86989999999997
March,Qtr 1,East,Rochester,,
April,Qtr 2,East,Rochester,7,44.365500000000004
May,Qtr 2,East,Rochester,2,5.936399999999999
June,Qtr 2,East,Rochester,20,445.76409999999987
July,Qtr 3,East,Rochester,3,3.6792
August,Qtr 3,East,Rochester,,
September,Qtr 3,East,Rochester,8,14.075199999999988
October,Qtr 4,East,Rochester,30,126.41369999999998
November,Qtr 4,East,Rochester,14,274.0774
December,Qtr 4,East,Rochester,23,103.03369999999998
January,Qtr 1,East,Rockville,,
February,Qtr 1,East,Rockville,2,23.5248
March,Qtr 1,East,Rockville,,
April,Qtr 2,East,Rockville,,
May,Qtr 2,East,Rockville,,
June,Qtr 2,East,Rockville,,
July,Qtr 3,East,Rockville,,
August,Qtr 3,East,Rockville,,
September,Qtr 3,East,Rockville,,
October,Qtr 4,East,Rockville,4,12.947400000000002
November,Qtr 4,East,Rockville,,
December,Qtr 4,East,Rockville,5,96.74249999999999
January,Qtr 1,East,Rome,,
February,Qtr 1,East,Rome,1,15.147000000000004
March,Qtr 1,East,Rome,,
April,Qtr 2,East,Rome,10,9.1602
May,Qtr 2,East,Rome,,
June,Qtr 2,East,Rome,,
July,Qtr 3,East,Rome,11,129.9066
August,Qtr 3,East,Rome,,
September,Qtr 3,East,Rome,,
October,Qtr 4,East,Rome,,
November,Qtr 4,East,Rome,,
December,Qtr 4,East,Rome,,
January,Qtr 1,East,Shelton,,
February,Qtr 1,East,Shelton,,
March,Qtr 1,East,Shelton,,
April,Qtr 2,East,Shelton,,
May,Qtr 2,East,Shelton,,
June,Qtr 2,East,Shelton,,
July,Qtr 3,East,Shelton,,
August,Qtr 3,East,Shelton,,
September,Qtr 3,East,Shelton,,
October,Qtr 4,East,Shelton,,
November,Qtr 4,East,Shelton,5,21.405299999999997
December,Qtr 4,East,Shelton,,
January,Qtr 1,East,Springfield,8,16.147199999999998
February,Qtr 1,East,Springfield,,
March,Qtr 1,East,Springfield,,
April,Qtr 2,East,Springfield,12,-354.7248
May,Qtr 2,East,Springfield,8,4.749699999999998
June,Qtr 2,East,Springfield,1,0.2996000000000001
July,Qtr 3,East,Springfield,4,-27.08479999999999
August,Qtr 3,East,Springfield,6,-55.62419999999996
September,Qtr 3,East,Springfield,18,80.1056000000001
October,Qtr 4,East,Springfield,,
November,Qtr 4,East,Springfield,67,-947.6976999999999
December,Qtr 4,East,Springfield,13,-136.3326
January,Qtr 1,East,Toledo,15,-54.35000000000004
February,Qtr 1,East,Toledo,,
March,Qtr 1,East,Toledo,,
April,Qtr 2,East,Toledo,32,-135.8556
May,Qtr 2,East,Toledo,,
June,Qtr 2,East,Toledo,5,1.311
July,Qtr 3,East,Toledo,5,27.43649999999996
August,Qtr 3,East,Toledo,,
September,Qtr 3,East,Toledo,19,-16.991599999999995
October,Qtr 4,East,Toledo,,
November,Qtr 4,East,Toledo,36,-280.3248000000003
December,Qtr 4,East,Toledo,10,118.77769999999998
January,Qtr 1,East,Troy,,
February,Qtr 1,East,Troy,18,-127.23370000000013
March,Qtr 1,East,Troy,,
April,Qtr 2,East,Troy,25,80.37320000000005
May,Qtr 2,East,Troy,5,-255.7425
June,Qtr 2,East,Troy,25,102.2808
July,Qtr 3,East,Troy,9,-371.25
August,Qtr 3,East,Troy,9,22.244399999999995
September,Qtr 3,East,Troy,,
October,Qtr 4,East,Troy,4,-15.584400000000002
November,Qtr 4,East,Troy,11,38.7196
December,Qtr 4,East,Troy,6,-17.959199999999996
January,Qtr 1,East,Utica,,
February,Qtr 1,East,Utica,,
March,Qtr 1,East,Utica,,
April,Qtr 2,East,Utica,,
May,Qtr 2,East,Utica,,
June,Qtr 2,East,Utica,,
July,Qtr 3,East,Utica,,
August,Qtr 3,East,Utica,1,28.7964
September,Qtr 3,East,Utica,2,14.572799999999997
October,Qtr 4,East,Utica,,
November,Qtr 4,East,Utica,30,145.1904
December,Qtr 4,East,Utica,,
January,Qtr 1,East,Vineland,4,32.970000000000006
February,Qtr 1,East,Vineland,,
March,Qtr 1,East,Vineland,2,-31.372200000000007
April,Qtr 2,East,Vineland,,
May,Qtr 2,East,Vineland,14,57.76280000000001
June,Qtr 2,East,Vineland,,
July,Qtr 3,East,Vineland,4,2.8911999999999995
August,Qtr 3,East,Vineland,,
September,Qtr 3,East,Vineland,,
October,Qtr 4,East,Vineland,,
November,Qtr 4,East,Vineland,,
December,Qtr 4,East,Vineland,,
January,Qtr 1,East,Warwick,,
February,Qtr 1,East,Warwick,,
March,Qtr 1,East,Warwick,,
April,Qtr 2,East,Warwick,,
May,Qtr 2,East,Warwick,2,54.8604
June,Qtr 2,East,Warwick,,
July,Qtr 3,East,Warwick,4,93.24000000000001
August,Qtr 3,East,Warwick,,
September,Qtr 3,East,Warwick,,
October,Qtr 4,East,Warwick,4,15.713199999999997
November,Qtr 4,East,Warwick,,
December,Qtr 4,East,Warwick,4,899.982
January,Qtr 1,East,Washington,8,35.064
February,Qtr 1,East,Washington,,
March,Qtr 1,East,Washington,,
April,Qtr 2,East,Washington,,
May,Qtr 2,East,Washington,14,974.3135
June,Qtr 2,East,Washington,10,36.983
July,Qtr 3,East,Washington,,
August,Qtr 3,East,Washington,,
September,Qtr 3,East,Washington,,
October,Qtr 4,East,Washington,,
November,Qtr 4,East,Washington,,
December,Qtr 4,East,Washington,8,13.2288
January,Qtr 1,East,Waterbury,2,1.0208
February,Qtr 1,East,Waterbury,,
March,Qtr 1,East,Waterbury,,
April,Qtr 2,East,Waterbury,6,113.5333
May,Qtr 2,East,Waterbury,13,43.09469999999998
June,Qtr 2,East,Waterbury,8,159.67669999999998
July,Qtr 3,East,Waterbury,,
August,Qtr 3,East,Waterbury,,
September,Qtr 3,East,Waterbury,4,21.61
October,Qtr 4,East,Waterbury,,
November,Qtr 4,East,Waterbury,,
December,Qtr 4,East,Waterbury,,
January,Qtr 1,East,Watertown,7,196.68599999999986
February,Qtr 1,East,Watertown,,
March,Qtr 1,East,Watertown,,
April,Qtr 2,East,Watertown,,
May,Qtr 2,East,Watertown,3,9.695699999999999
June,Qtr 2,East,Watertown,,
July,Qtr 3,East,Watertown,3,31.94100000000001
August,Qtr 3,East,Watertown,7,400.0253999999999
September,Qtr 3,East,Watertown,2,13.904699999999991
October,Qtr 4,East,Watertown,,
November,Qtr 4,East,Watertown,6,25.053599999999996
December,Qtr 4,East,Watertown,7,229.70079999999996
January,Qtr 1,East,Westfield,7,117.7404
February,Qtr 1,East,Westfield,,
March,Qtr 1,East,Westfield,,
April,Qtr 2,East,Westfield,,
May,Qtr 2,East,Westfield,3,12.992999999999988
June,Qtr 2,East,Westfield,,
July,Qtr 3,East,Westfield,,
August,Qtr 3,East,Westfield,,
September,Qtr 3,East,Westfield,,
October,Qtr 4,East,Westfield,,
November,Qtr 4,East,Westfield,3,12.0276
December,Qtr 4,East,Westfield,3,10.4148
January,Qtr 1,East,Wheeling,,
February,Qtr 1,East,Wheeling,,
March,Qtr 1,East,Wheeling,,
April,Qtr 2,East,Wheeling,,
May,Qtr 2,East,Wheeling,,
June,Qtr 2,East,Wheeling,15,262.8752
July,Qtr 3,East,Wheeling,,
August,Qtr 3,East,Wheeling,,
September,Qtr 3,East,Wheeling,,
October,Qtr 4,East,Wheeling,3,-76.9536
November,Qtr 4,East,Wheeling,,
December,Qtr 4,East,Wheeling,,
January,Qtr 1,East,Wilmington,,
February,Qtr 1,East,Wilmington,15,350.5497999999999
March,Qtr 1,East,Wilmington,,
April,Qtr 2,East,Wilmington,,
May,Qtr 2,East,Wilmington,,
June,Qtr 2,East,Wilmington,29,167.151
July,Qtr 3,East,Wilmington,19,224.33139999999997
August,Qtr 3,East,Wilmington,9,401.9111
September,Qtr 3,East,Wilmington,2,113.67419999999998
October,Qtr 4,East,Wilmington,5,21.714000000000002
November,Qtr 4,East,Wilmington,41,495.7408
December,Qtr 4,East,Wilmington,,
January,Qtr 1,East,Woonsocket,,
February,Qtr 1,East,Woonsocket,,
March,Qtr 1,East,Woonsocket,,
April,Qtr 2,East,Woonsocket,,
May,Qtr 2,East,Woonsocket,3,13.891499999999999
June,Qtr 2,East,Woonsocket,,
July,Qtr 3,East,Woonsocket,,
August,Qtr 3,East,Woonsocket,,
September,Qtr 3,East,Woonsocket,10,44.662800000000004
October,Qtr 4,East,Woonsocket,,
November,Qtr 4,East,Woonsocket,2,20.1248
December,Qtr 4,East,Woonsocket,,
January,Qtr 1,East,Yonkers,,
February,Qtr 1,East,Yonkers,,
March,Qtr 1,East,Yonkers,34,2514.6165999999994
April,Qtr 2,East,Yonkers,,
May,Qtr 2,East,Yonkers,6,18.513599999999997
June,Qtr 2,East,Yonkers,,
July,Qtr 3,East,Yonkers,9,140.0003
August,Qtr 3,East,Yonkers,,
September,Qtr 3,East,Yonkers,,
October,Qtr 4,East,Yonkers,,
November,Qtr 4,East,Yonkers,8,94.6252
December,Qtr 4,East,Yonkers,,
January,Qtr 1,East,York,,
February,Qtr 1,East,York,,
March,Qtr 1,East,York,,
April,Qtr 2,East,York,6,-5.2794000000000025
May,Qtr 2,East,York,,
June,Qtr 2,East,York,13,-96.88980000000001
July,Qtr 3,East,York,,
August,Qtr 3,East,York,,
September,Qtr 3,East,York,,
October,Qtr 4,East,York,,
November,Qtr 4,East,York,,
December,Qtr 4,East,York,,
January,Qtr 1,South,Alexandria,48,174.7578
February,Qtr 1,South,Alexandria,,
March,Qtr 1,South,Alexandria,,
April,Qtr 2,South,Alexandria,27,124.45370000000005
May,Qtr 2,South,Alexandria,,
June,Qtr 2,South,Alexandria,,
July,Qtr 3,South,Alexandria,,
August,Qtr 3,South,Alexandria,,
September,Qtr 3,South,Alexandria,,
October,Qtr 4,South,Alexandria,,
November,Qtr 4,South,Alexandria,7,12.530000000000001
December,Qtr 4,South,Alexandria,2,6.876799999999999
January,Qtr 1,South,Apopka,,
February,Qtr 1,South,Apopka,,
March,Qtr 1,South,Apopka,,
April,Qtr 2,South,Apopka,,
May,Qtr 2,South,Apopka,8,-23.77920000000001
June,Qtr 2,South,Apopka,,
July,Qtr 3,South,Apopka,18,34.69839999999999
August,Qtr 3,South,Apopka,,
September,Qtr 3,South,Apopka,,
October,Qtr 4,South,Apopka,,
November,Qtr 4,South,Apopka,5,43.44419999999995
December,Qtr 4,South,Apopka,,
January,Qtr 1,South,Arlington,,
February,Qtr 1,South,Arlington,28,2919.1565999999993
March,Qtr 1,South,Arlington,2,7.850000000000001
April,Qtr 2,South,Arlington,15,62.92230000000001
May,Qtr 2,South,Arlington,11,219.78940000000003
June,Qtr 2,South,Arlington,23,290.4418
July,Qtr 3,South,Arlington,3,7.9594
August,Qtr 3,South,Arlington,,
September,Qtr 3,South,Arlington,9,30.92459999999999
October,Qtr 4,South,Arlington,22,649.599
November,Qtr 4,South,Arlington,3,16.2486
December,Qtr 4,South,Arlington,12,219.1937999999999
January,Qtr 1,South,Asheville,,
February,Qtr 1,South,Asheville,,
March,Qtr 1,South,Asheville,1,-3.864600000000002
April,Qtr 2,South,Asheville,,
May,Qtr 2,South,Asheville,5,85.2475
June,Qtr 2,South,Asheville,,
July,Qtr 3,South,Asheville,,
August,Qtr 3,South,Asheville,,
September,Qtr 3,South,Asheville,5,2.785999999999998
October,Qtr 4,South,Asheville,,
November,Qtr 4,South,Asheville,11,-11.786399999999999
December,Qtr 4,South,Asheville,6,5.124900000000003
January,Qtr 1,South,Athens,3,5.2398
February,Qtr 1,South,Athens,,
March,Qtr 1,South,Athens,,
April,Qtr 2,South,Athens,15,341.3824
May,Qtr 2,South,Athens,3,7.2177
June,Qtr 2,South,Athens,,
July,Qtr 3,South,Athens,,
August,Qtr 3,South,Athens,3,41.0388
September,Qtr 3,South,Athens,,
October,Qtr 4,South,Athens,,
November,Qtr 4,South,Athens,6,84.4434
December,Qtr 4,South,Athens,,
January,Qtr 1,South,Atlanta,,
February,Qtr 1,South,Atlanta,19,877.4122
March,Qtr 1,South,Atlanta,12,3192.0681999999997
April,Qtr 2,South,Atlanta,10,1488.0236
May,Qtr 2,South,Atlanta,27,709.5152999999998
June,Qtr 2,South,Atlanta,,
July,Qtr 3,South,Atlanta,1,39.425499999999985
August,Qtr 3,South,Atlanta,48,468.51679999999993
September,Qtr 3,South,Atlanta,17,59.19799999999999
October,Qtr 4,South,Atlanta,,
November,Qtr 4,South,Atlanta,22,159.50330000000005
December,Qtr 4,South,Atlanta,,
January,Qtr 1,South,Auburn,,
February,Qtr 1,South,Auburn,,
March,Qtr 1,South,Auburn,7,244.2543
April,Qtr 2,South,Auburn,,
May,Qtr 2,South,Auburn,,
June,Qtr 2,South,Auburn,2,1.0903999999999998
July,Qtr 3,South,Auburn,,
August,Qtr 3,South,Auburn,,
September,Qtr 3,South,Auburn,7,207.2624
October,Qtr 4,South,Auburn,,
November,Qtr 4,South,Auburn,,
December,Qtr 4,South,Auburn,,
January,Qtr 1,South,Bartlett,8,10.007999999999988
February,Qtr 1,South,Bartlett,,
March,Qtr 1,South,Bartlett,,
April,Qtr 2,South,Bartlett,,
May,Qtr 2,South,Bartlett,,
June,Qtr 2,South,Bartlett,,
July,Qtr 3,South,Bartlett,,
August,Qtr 3,South,Bartlett,,
September,Qtr 3,South,Bartlett,,
October,Qtr 4,South,Bartlett,,
November,Qtr 4,South,Bartlett,,
December,Qtr 4,South,Bartlett,,
January,Qtr 1,South,Boca Raton,,
February,Qtr 1,South,Boca Raton,,
March,Qtr 1,South,Boca Raton,,
April,Qtr 2,South,Boca Raton,,
May,Qtr 2,South,Boca Raton,,
June,Qtr 2,South,Boca Raton,6,-24.315999999999995
July,Qtr 3,South,Boca Raton,,
August,Qtr 3,South,Boca Raton,,
September,Qtr 3,South,Boca Raton,2,1.6704
October,Qtr 4,South,Boca Raton,,
November,Qtr 4,South,Boca Raton,,
December,Qtr 4,South,Boca Raton,,
January,Qtr 1,South,Bossier City,20,326.5672
February,Qtr 1,South,Bossier City,,
March,Qtr 1,South,Bossier City,,
April,Qtr 2,South,Bossier City,,
May,Qtr 2,South,Bossier City,,
June,Qtr 2,South,Bossier City,,
July,Qtr 3,South,Bossier City,,
August,Qtr 3,South,Bossier City,,
September,Qtr 3,South,Bossier City,,
October,Qtr 4,South,Bossier City,4,10.393599999999992
November,Qtr 4,South,Bossier City,,
December,Qtr 4,South,Bossier City,,
January,Qtr 1,South,Bowling Green,,
February,Qtr 1,South,Bowling Green,,
March,Qtr 1,South,Bowling Green,,
April,Qtr 2,South,Bowling Green,,
May,Qtr 2,South,Bowling Green,,
June,Qtr 2,South,Bowling Green,,
July,Qtr 3,South,Bowling Green,1,39.4268
August,Qtr 3,South,Bowling Green,,
September,Qtr 3,South,Bowling Green,,
October,Qtr 4,South,Bowling Green,,
November,Qtr 4,South,Bowling Green,,
December,Qtr 4,South,Bowling Green,4,27.689999999999998
January,Qtr 1,South,Boynton Beach,,
February,Qtr 1,South,Boynton Beach,,
March,Qtr 1,South,Boynton Beach,,
April,Qtr 2,South,Boynton Beach,,
May,Qtr 2,South,Boynton Beach,8,10.4073
June,Qtr 2,South,Boynton Beach,,
July,Qtr 3,South,Boynton Beach,,
August,Qtr 3,South,Boynton Beach,,
September,Qtr 3,South,Boynton Beach,4,9.702800000000002
October,Qtr 4,South,Boynton Beach,16,30.551399999999994
November,Qtr 4,South,Boynton Beach,,
December,Qtr 4,South,Boynton Beach,,
January,Qtr 1,South,Bristol,7,-29.896799999999992
February,Qtr 1,South,Bristol,,
March,Qtr 1,South,Bristol,,
April,Qtr 2,South,Bristol,1,-115.7156
May,Qtr 2,South,Bristol,,
June,Qtr 2,South,Bristol,3,10.647000000000006
July,Qtr 3,South,Bristol,,
August,Qtr 3,South,Bristol,,
September,Qtr 3,South,Bristol,3,8.44499999999999
October,Qtr 4,South,Bristol,,
November,Qtr 4,South,Bristol,,
December,Qtr 4,South,Bristol,,
January,Qtr 1,South,Burlington,,
February,Qtr 1,South,Burlington,,
March,Qtr 1,South,Burlington,,
April,Qtr 2,South,Burlington,9,2.5148999999999964
May,Qtr 2,South,Burlington,,
June,Qtr 2,South,Burlington,,
July,Qtr 3,South,Burlington,3,1.5521999999999991
August,Qtr 3,South,Burlington,,
September,Qtr 3,South,Burlington,,
October,Qtr 4,South,Burlington,4,-1306.5504
November,Qtr 4,South,Burlington,20,-4020.355099999999
December,Qtr 4,South,Burlington,10,-571.6885
January,Qtr 1,South,Cary,,
February,Qtr 1,South,Cary,,
March,Qtr 1,South,Cary,,
April,Qtr 2,South,Cary,,
May,Qtr 2,South,Cary,,
June,Qtr 2,South,Cary,,
July,Qtr 3,South,Cary,,
August,Qtr 3,South,Cary,,
September,Qtr 3,South,Cary,8,24.680699999999987
October,Qtr 4,South,Cary,,
November,Qtr 4,South,Cary,8,7.8182
December,Qtr 4,South,Cary,3,21.539699999999996
January,Qtr 1,South,Chapel Hill,,
February,Qtr 1,South,Chapel Hill,,
March,Qtr 1,South,Chapel Hill,,
April,Qtr 2,South,Chapel Hill,,
May,Qtr 2,South,Chapel Hill,,
June,Qtr 2,South,Chapel Hill,3,4.7303999999999995
July,Qtr 3,South,Chapel Hill,,
August,Qtr 3,South,Chapel Hill,,
September,Qtr 3,South,Chapel Hill,,
October,Qtr 4,South,Chapel Hill,,
November,Qtr 4,South,Chapel Hill,,
December,Qtr 4,South,Chapel Hill,,
January,Qtr 1,South,Charlotte,18,121.83699999999993
February,Qtr 1,South,Charlotte,,
March,Qtr 1,South,Charlotte,2,1.764
April,Qtr 2,South,Charlotte,5,11.324999999999996
May,Qtr 2,South,Charlotte,20,57.697299999999956
June,Qtr 2,South,Charlotte,,
July,Qtr 3,South,Charlotte,8,20.157900000000005
August,Qtr 3,South,Charlotte,29,151.83239999999998
September,Qtr 3,South,Charlotte,47,-787.6516000000005
October,Qtr 4,South,Charlotte,26,-44.688900000000146
November,Qtr 4,South,Charlotte,65,27.515899999999704
December,Qtr 4,South,Charlotte,23,10.428600000000014
January,Qtr 1,South,Charlottesville,,
February,Qtr 1,South,Charlottesville,,
March,Qtr 1,South,Charlottesville,,
April,Qtr 2,South,Charlottesville,,
May,Qtr 2,South,Charlottesville,,
June,Qtr 2,South,Charlottesville,,
July,Qtr 3,South,Charlottesville,,
August,Qtr 3,South,Charlottesville,,
September,Qtr 3,South,Charlottesville,4,12.232799999999997
October,Qtr 4,South,Charlottesville,,
November,Qtr 4,South,Charlottesville,,
December,Qtr 4,South,Charlottesville,3,10.395
January,Qtr 1,South,Chattanooga,,
February,Qtr 1,South,Chattanooga,4,-18.180799999999998
March,Qtr 1,South,Chattanooga,,
April,Qtr 2,South,Chattanooga,5,-5.939999999999998
May,Qtr 2,South,Chattanooga,5,3.3439999999999994
June,Qtr 2,South,Chattanooga,1,-1.829499999999996
July,Qtr 3,South,Chattanooga,,
August,Qtr 3,South,Chattanooga,,
September,Qtr 3,South,Chattanooga,,
October,Qtr 4,South,Chattanooga,,
November,Qtr 4,South,Chattanooga,16,-18.032900000000012
December,Qtr 4,South,Chattanooga,7,67.83099999999996
January,Qtr 1,South,Chesapeake,,
February,Qtr 1,South,Chesapeake,21,277.9915
March,Qtr 1,South,Chesapeake,4,284.98
April,Qtr 2,South,Chesapeake,8,63.03960000000001
May,Qtr 2,South,Chesapeake,,
June,Qtr 2,South,Chesapeake,,
July,Qtr 3,South,Chesapeake,,
August,Qtr 3,South,Chesapeake,,
September,Qtr 3,South,Chesapeake,17,437.72389999999996
October,Qtr 4,South,Chesapeake,,
November,Qtr 4,South,Chesapeake,9,70.91360000000002
December,Qtr 4,South,Chesapeake,13,128.13840000000005
January,Qtr 1,South,Clarksville,,
February,Qtr 1,South,Clarksville,,
March,Qtr 1,South,Clarksville,,
April,Qtr 2,South,Clarksville,10,-13.240800000000036
May,Qtr 2,South,Clarksville,,
June,Qtr 2,South,Clarksville,,
July,Qtr 3,South,Clarksville,,
August,Qtr 3,South,Clarksville,,
September,Qtr 3,South,Clarksville,,
October,Qtr 4,South,Clarksville,6,11.247599999999995
November,Qtr 4,South,Clarksville,,
December,Qtr 4,South,Clarksville,11,-1053.36
January,Qtr 1,South,Columbia,,
February,Qtr 1,South,Columbia,,
March,Qtr 1,South,Columbia,18,120.4914
April,Qtr 2,South,Columbia,13,237.88830000000004
May,Qtr 2,South,Columbia,9,179.33989999999991
June,Qtr 2,South,Columbia,,
July,Qtr 3,South,Columbia,32,112.4742
August,Qtr 3,South,Columbia,10,10.618399999999994
September,Qtr 3,South,Columbia,53,829.6051
October,Qtr 4,South,Columbia,9,-964.4829
November,Qtr 4,South,Columbia,2,3.2615999999999996
December,Qtr 4,South,Columbia,42,194.92509999999993
January,Qtr 1,South,Columbus,17,825.2543999999999
February,Qtr 1,South,Columbus,9,35.02439999999999
March,Qtr 1,South,Columbus,25,370.88019999999995
April,Qtr 2,South,Columbus,33,781.3055
May,Qtr 2,South,Columbus,20,196.6038
June,Qtr 2,South,Columbus,6,109.89299999999997
July,Qtr 3,South,Columbus,16,134.71200000000002
August,Qtr 3,South,Columbus,3,10.347300000000004
September,Qtr 3,South,Columbus,85,981.5765999999999
October,Qtr 4,South,Columbus,,
November,Qtr 4,South,Columbus,19,481.31090000000006
December,Qtr 4,South,Columbus,25,177.21379999999994
January,Qtr 1,South,Concord,23,-1798.2664000000002
February,Qtr 1,South,Concord,,
March,Qtr 1,South,Concord,,
April,Qtr 2,South,Concord,3,5.4432
May,Qtr 2,South,Concord,,
June,Qtr 2,South,Concord,10,2.1006
July,Qtr 3,South,Concord,8,2.0358
August,Qtr 3,South,Concord,,
September,Qtr 3,South,Concord,,
October,Qtr 4,South,Concord,,
November,Qtr 4,South,Concord,,
December,Qtr 4,South,Concord,,
January,Qtr 1,South,Conway,,
February,Qtr 1,South,Conway,,
March,Qtr 1,South,Conway,,
April,Qtr 2,South,Conway,,
May,Qtr 2,South,Conway,,
June,Qtr 2,South,Conway,,
July,Qtr 3,South,Conway,,
August,Qtr 3,South,Conway,,
September,Qtr 3,South,Conway,,
October,Qtr 4,South,Conway,,
November,Qtr 4,South,Conway,2,45.29399999999998
December,Qtr 4,South,Conway,,
January,Qtr 1,South,Coral Gables,,
February,Qtr 1,South,Coral Gables,,
March,Qtr 1,South,Coral Gables,,
April,Qtr 2,South,Coral Gables,,
May,Qtr 2,South,Coral Gables,,
June,Qtr 2,South,Coral Gables,,
July,Qtr 3,South,Coral Gables,,
August,Qtr 3,South,Coral Gables,,
September,Qtr 3,South,Coral Gables,,
October,Qtr 4,South,Coral Gables,6,22.3578
November,Qtr 4,South,Coral Gables,,
December,Qtr 4,South,Coral Gables,,
January,Qtr 1,South,Coral Springs,,
February,Qtr 1,South,Coral Springs,,
March,Qtr 1,South,Coral Springs,2,0.5244
April,Qtr 2,South,Coral Springs,,
May,Qtr 2,South,Coral Springs,5,-14.21999999999999
