Date.Fiscal Year,Sales Territory.Country,Product.Products.Category,Product.Products.Subcategory,Product.Products.Model,Sum(Sales.Order Quantity),Sum(Sales.Sales Amount)
FY2020,Canada,Components,Derailleurs,Front Derailleur,135,7338.4129
FY2019,Canada,Components,Headsets,LL Headset,14,287.28
FY2020,Canada,Components,Headsets,LL Headset,,
FY2019,Canada,Components,Headsets,HL Headset,54,4041.252
FY2020,Canada,Components,Headsets,HL Headset,,
FY2019,Canada,Components,Headsets,ML Headset,164,9868.1618
FY2020,Canada,Components,Headsets,ML Headset,,
FY2019,Canada,Components,Forks,LL Fork,39,3468.348
FY2020,Canada,Components,Forks,LL Fork,,
FY2019,Canada,Components,Forks,HL Fork,94,12943.236
FY2020,Canada,Components,Forks,HL Fork,,
FY2019,Canada,Components,Pedals,Touring Pedal,,
FY2020,Canada,Components,Pedals,Touring Pedal,20,971.88
FY2019,Canada,Components,Pedals,LL Mountain Pedal,,
FY2020,Canada,Components,Pedals,LL Mountain Pedal,87,2113.578
FY2019,Canada,Components,Pedals,ML Mountain Pedal,,
FY2020,Canada,Components,Pedals,ML Mountain Pedal,58,2160.732
FY2019,Canada,Components,Pedals,LL Road Pedal,,
FY2020,Canada,Components,Pedals,LL Road Pedal,170,4129.98
FY2019,Canada,Components,Pedals,ML Road Pedal,,
FY2020,Canada,Components,Pedals,ML Road Pedal,128,4768.512
FY2019,Canada,Components,Pedals,HL Road Pedal,,
FY2020,Canada,Components,Pedals,HL Road Pedal,122,5928.468
FY2019,Canada,Components,Pedals,HL Mountain Pedal,,
FY2020,Canada,Components,Pedals,HL Mountain Pedal,170,8168.8458
FY2019,Canada,Components,Handlebars,LL Touring Handlebars,,
FY2020,Canada,Components,Handlebars,LL Touring Handlebars,7,193.578
FY2019,Canada,Components,Handlebars,LL Road Handlebars,18,437.301
FY2020,Canada,Components,Handlebars,LL Road Handlebars,13,347.412
FY2019,Canada,Components,Handlebars,HL Touring Handlebars,,
FY2020,Canada,Components,Handlebars,HL Touring Handlebars,22,1208.724
FY2019,Canada,Components,Handlebars,LL Mountain Handlebars,94,2283.683
FY2020,Canada,Components,Handlebars,LL Mountain Handlebars,79,2094.3064
FY2019,Canada,Components,Handlebars,HL Mountain Handlebars,33,2164.8594
FY2020,Canada,Components,Handlebars,HL Mountain Handlebars,50,3608.1
FY2019,Canada,Components,Handlebars,HL Road Handlebars,56,3673.7008
FY2020,Canada,Components,Handlebars,HL Road Handlebars,56,4041.072
FY2019,Canada,Components,Handlebars,ML Mountain Handlebars,167,5618.9962
FY2020,Canada,Components,Handlebars,ML Mountain Handlebars,129,4792.608
FY2019,Canada,Components,Cranksets,ML Crankset,,
FY2020,Canada,Components,Cranksets,ML Crankset,9,1385.046
FY2019,Canada,Components,Cranksets,LL Crankset,,
FY2020,Canada,Components,Cranksets,LL Crankset,59,6212.346
FY2019,Canada,Components,Cranksets,HL Crankset,,
FY2020,Canada,Components,Cranksets,HL Crankset,96,23148.2564
FY2019,Canada,Components,Wheels,ML Road Rear Wheel,13,2148.003
FY2020,Canada,Components,Wheels,ML Road Rear Wheel,,
FY2019,Canada,Components,Wheels,LL Mountain Rear Wheel,69,3632.643
FY2020,Canada,Components,Wheels,LL Mountain Rear Wheel,,
FY2019,Canada,Components,Wheels,LL Mountain Front Wheel,113,4118.511
FY2020,Canada,Components,Wheels,LL Mountain Front Wheel,,
FY2019,Canada,Components,Wheels,HL Road Rear Wheel,24,5141.664
FY2020,Canada,Components,Wheels,HL Road Rear Wheel,,
FY2019,Canada,Components,Wheels,ML Mountain Front Wheel,45,5643.675
FY2020,Canada,Components,Wheels,ML Mountain Front Wheel,,
FY2019,Canada,Components,Wheels,HL Mountain Front Wheel,34,6124.386
FY2020,Canada,Components,Wheels,HL Mountain Front Wheel,,
FY2019,Canada,Components,Wheels,LL Road Rear Wheel,153,10333.467
FY2020,Canada,Components,Wheels,LL Road Rear Wheel,,
FY2019,Canada,Components,Wheels,ML Road Front Wheel,108,16095.348
FY2020,Canada,Components,Wheels,ML Road Front Wheel,,
FY2019,Canada,Components,Wheels,HL Road Front Wheel,102,20199.672
FY2020,Canada,Components,Wheels,HL Road Front Wheel,,
FY2019,Canada,Components,Wheels,ML Mountain Rear Wheel,194,26979.9714
FY2020,Canada,Components,Wheels,ML Mountain Rear Wheel,,
FY2019,Canada,Components,Wheels,HL Mountain Rear Wheel,180,34977.3203
FY2020,Canada,Components,Wheels,HL Mountain Rear Wheel,,
FY2019,Canada,Components,Touring Frames,LL Touring Frame,,
FY2020,Canada,Components,Touring Frames,LL Touring Frame,186,37209.672
FY2019,Canada,Components,Touring Frames,HL Touring Frame,,
FY2020,Canada,Components,Touring Frames,HL Touring Frame,303,181110.3836
FY2019,Canada,Components,Road Frames,LL Road Frame,857,167475.7204
FY2020,Canada,Components,Road Frames,LL Road Frame,217,43906.044
FY2019,Canada,Components,Road Frames,HL Road Frame,166,129615.8212
FY2020,Canada,Components,Road Frames,HL Road Frame,134,115092.6
FY2019,Canada,Components,Road Frames,ML Road Frame-W,424,137345.8027
FY2020,Canada,Components,Road Frames,ML Road Frame-W,359,127434.8921
FY2019,Canada,Components,Mountain Frames,ML Mountain Frame,354,73790.0828
FY2020,Canada,Components,Mountain Frames,ML Mountain Frame,,
FY2019,Canada,Components,Mountain Frames,ML Mountain Frame-W,94,19670.064
FY2020,Canada,Components,Mountain Frames,ML Mountain Frame-W,306,66708.8611
FY2019,Canada,Components,Mountain Frames,LL Mountain Frame,,
FY2020,Canada,Components,Mountain Frames,LL Mountain Frame,633,97724.9025
FY2019,Canada,Components,Mountain Frames,HL Mountain Frame,327,242133.7113
FY2020,Canada,Components,Mountain Frames,HL Mountain Frame,322,261886.5598
FY2019,Canada,Bikes,Touring Bikes,Touring-2000,,
FY2020,Canada,Bikes,Touring Bikes,Touring-2000,268,211383.9
FY2019,Canada,Bikes,Touring Bikes,Touring-3000,1,742.35
FY2020,Canada,Bikes,Touring Bikes,Touring-3000,678,276280.4006
FY2019,Canada,Bikes,Touring Bikes,Touring-1000,4,9536.28
FY2020,Canada,Bikes,Touring Bikes,Touring-1000,669,971675.4099
FY2019,Canada,Bikes,Mountain Bikes,Mountain-400-W,2,1538.98
FY2020,Canada,Bikes,Mountain Bikes,Mountain-400-W,251,125426.87
FY2019,Canada,Bikes,Mountain Bikes,Mountain-500,2,1104.98
FY2020,Canada,Bikes,Mountain Bikes,Mountain-500,708,228880.2624
FY2019,Canada,Bikes,Mountain Bikes,Mountain-300,545,353156.73
FY2020,Canada,Bikes,Mountain Bikes,Mountain-300,,
FY2019,Canada,Bikes,Mountain Bikes,Mountain-200,1247,1584740.167
FY2020,Canada,Bikes,Mountain Bikes,Mountain-200,1123,1705109.063
FY2019,Canada,Bikes,Road Bikes,Road-750,4,2159.96
FY2020,Canada,Bikes,Road Bikes,Road-750,557,192356.1018
FY2019,Canada,Bikes,Road Bikes,Road-550-W,644,391469.5943
FY2020,Canada,Bikes,Road Bikes,Road-550-W,442,323208.0297
FY2019,Canada,Bikes,Road Bikes,Road-350-W,1,1700.99
FY2020,Canada,Bikes,Road Bikes,Road-350-W,705,743322.5942
FY2019,Canada,Bikes,Road Bikes,Road-650,2252,1037514.915
FY2020,Canada,Bikes,Road Bikes,Road-650,,
FY2019,Canada,Bikes,Road Bikes,Road-250,956,1365720.955
FY2020,Canada,Bikes,Road Bikes,Road-250,333,496977.39
FY2019,United States,Accessories,Cleaners,Bike Wash,5,39.75
FY2020,United States,Accessories,Cleaners,Bike Wash,1563,8385.9766
FY2019,United States,Accessories,Pumps,Minipump,719,8600.3137
FY2020,United States,Accessories,Pumps,Minipump,,
FY2019,United States,Accessories,Locks,Cable Lock,684,10229.98
FY2020,United States,Accessories,Locks,Cable Lock,,
FY2019,United States,Accessories,Bike Stands,All-Purpose Bike Stand,2,318
FY2020,United States,Accessories,Bike Stands,All-Purpose Bike Stand,83,13197
FY2019,United States,Accessories,Fenders,Fender Set - Mountain,22,483.56
FY2020,United States,Accessories,Fenders,Fender Set - Mountain,967,21254.66
FY2019,United States,Accessories,Bottles and Cages,Road Bottle Cage,23,206.77
FY2020,United States,Accessories,Bottles and Cages,Road Bottle Cage,483,4342.17
FY2019,United States,Accessories,Bottles and Cages,Mountain Bottle Cage,16,159.84
FY2020,United States,Accessories,Bottles and Cages,Mountain Bottle Cage,811,8101.89
FY2019,United States,Accessories,Bottles and Cages,Water Bottle,34,169.66
FY2020,United States,Accessories,Bottles and Cages,Water Bottle,2866,11645.6526
FY2019,United States,Accessories,Hydration Packs,Hydration Pack,7,384.93
FY2020,United States,Accessories,Hydration Packs,Hydration Pack,1198,44828.8324
FY2019,United States,Accessories,Tires and Tubes,Touring Tire Tube,4,19.96
FY2020,United States,Accessories,Tires and Tubes,Touring Tire Tube,358,1786.42
FY2019,United States,Accessories,Tires and Tubes,Road Tire Tube,5,19.95
FY2020,United States,Accessories,Tires and Tubes,Road Tire Tube,661,2637.39
FY2019,United States,Accessories,Tires and Tubes,Patch kit,20,45.8
FY2020,United States,Accessories,Tires and Tubes,Patch kit,1481,3083.714
FY2019,United States,Accessories,Tires and Tubes,ML Road Tire,6,149.94
FY2020,United States,Accessories,Tires and Tubes,ML Road Tire,228,5697.72
FY2019,United States,Accessories,Tires and Tubes,LL Road Tire,6,128.94
FY2020,United States,Accessories,Tires and Tubes,LL Road Tire,280,6017.2
FY2019,United States,Accessories,Tires and Tubes,Mountain Tire Tube,10,49.9
FY2020,United States,Accessories,Tires and Tubes,Mountain Tire Tube,1319,6581.81
FY2019,United States,Accessories,Tires and Tubes,LL Mountain Tire,1,24.99
FY2020,United States,Accessories,Tires and Tubes,LL Mountain Tire,300,7497
FY2019,United States,Accessories,Tires and Tubes,Touring Tire,4,115.96
FY2020,United States,Accessories,Tires and Tubes,Touring Tire,270,7827.3
FY2019,United States,Accessories,Tires and Tubes,HL Road Tire,3,97.8
FY2020,United States,Accessories,Tires and Tubes,HL Road Tire,340,11084
FY2019,United States,Accessories,Tires and Tubes,ML Mountain Tire,3,89.97
FY2020,United States,Accessories,Tires and Tubes,ML Mountain Tire,437,13105.63
FY2019,United States,Accessories,Tires and Tubes,HL Mountain Tire,10,350
FY2020,United States,Accessories,Tires and Tubes,HL Mountain Tire,652,22820
FY2019,United States,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,360
FY2020,United States,Accessories,Bike Racks,Hitch Rack - 4-Bike,1489,110880.516
FY2019,United States,Accessories,Helmets,Sport-100,3192,62670.9078
FY2020,United States,Accessories,Helmets,Sport-100,5247,136519.0737
FY2019,United States,Clothing,Socks,Racing Socks,2,17.98
FY2020,United States,Clothing,Socks,Racing Socks,2816,15562.5137
FY2019,United States,Clothing,Caps,Cycling Cap,1491,7626.9863
FY2020,United States,Clothing,Caps,Cycling Cap,2007,13005.6804
FY2019,United States,Clothing,Bib-Shorts,Men's Bib-Shorts,1982,106325.4079
FY2020,United States,Clothing,Bib-Shorts,Men's Bib-Shorts,,
FY2019,United States,Clothing,Vests,Classic Vest,5,317.5
FY2020,United States,Clothing,Vests,Classic Vest,3163,121303.1554
FY2019,United States,Clothing,Tights,Women's Tights,2996,132361.4375
FY2020,United States,Clothing,Tights,Women's Tights,,
FY2019,United States,Clothing,Gloves,Half-Finger Gloves,1197,16892.6689
FY2020,United States,Clothing,Gloves,Half-Finger Gloves,2192,37182.6063
FY2019,United States,Clothing,Gloves,Full-Finger Gloves,4150,87456.9352
FY2020,United States,Clothing,Gloves,Full-Finger Gloves,,
FY2019,United States,Clothing,Shorts,Men's Sports Shorts,1445,51716.7672
FY2020,United States,Clothing,Shorts,Men's Sports Shorts,,
FY2019,United States,Clothing,Shorts,Women's Mountain Shorts,2,139.98
FY2020,United States,Clothing,Shorts,Women's Mountain Shorts,4573,192881.144
FY2019,United States,Clothing,Jerseys,Short-Sleeve Classic Jersey,11,593.89
FY2020,United States,Clothing,Jerseys,Short-Sleeve Classic Jersey,4154,141469.2575
FY2019,United States,Clothing,Jerseys,Long-Sleeve Logo Jersey,3017,86070.0252
FY2020,United States,Clothing,Jerseys,Long-Sleeve Logo Jersey,3221,109023.716
FY2019,United States,Components,Chains,Chain,,
FY2020,United States,Components,Chains,Chain,410,4972.0046
FY2019,United States,Components,Bottom Brackets,LL Bottom Bracket,,
FY2020,United States,Components,Bottom Brackets,LL Bottom Bracket,199,6446.406
FY2019,United States,Components,Bottom Brackets,HL Bottom Bracket,,
FY2020,United States,Components,Bottom Brackets,HL Bottom Bracket,296,21576.624
FY2019,United States,Components,Saddles,LL Road Seat/Saddle 1,,
FY2020,United States,Components,Saddles,LL Road Seat/Saddle 1,2,32.544
FY2019,United States,Components,Saddles,LL Touring Seat/Saddle,,
FY2020,United States,Components,Saddles,LL Touring Seat/Saddle,50,813.6
FY2019,United States,Components,Saddles,ML Touring Seat/Saddle,,
FY2020,United States,Components,Saddles,ML Touring Seat/Saddle,39,915.876
FY2019,United States,Components,Saddles,HL Road Seat/Saddle 2,,
FY2020,United States,Components,Saddles,HL Road Seat/Saddle 2,92,2905.728
FY2019,United States,Components,Saddles,LL Mountain Seat/Saddle 2,,
FY2020,United States,Components,Saddles,LL Mountain Seat/Saddle 2,213,3456.5091
FY2019,United States,Components,Saddles,HL Touring Seat/Saddle,,
FY2020,United States,Components,Saddles,HL Touring Seat/Saddle,186,5874.624
FY2019,United States,Components,Saddles,ML Mountain Seat/Saddle 2,,
FY2020,United States,Components,Saddles,ML Mountain Seat/Saddle 2,283,6645.972
FY2019,United States,Components,Saddles,HL Mountain Seat/Saddle 2,,
FY2020,United States,Components,Saddles,HL Mountain Seat/Saddle 2,305,9633.12
FY2019,United States,Components,Brakes,Rear Brakes,,
FY2020,United States,Components,Brakes,Rear Brakes,124,7923.6
FY2019,United States,Components,Brakes,Front Brakes,,
FY2020,United States,Components,Brakes,Front Brakes,409,26098.0806
FY2019,United States,Components,Derailleurs,Rear Derailleur,,
FY2020,United States,Components,Derailleurs,Rear Derailleur,191,13919.316
FY2019,United States,Components,Derailleurs,Front Derailleur,,
FY2020,United States,Components,Derailleurs,Front Derailleur,372,20420.568
FY2019,United States,Components,Headsets,LL Headset,72,1477.44
FY2020,United States,Components,Headsets,LL Headset,,
FY2019,United States,Components,Headsets,HL Headset,174,13021.812
FY2020,United States,Components,Headsets,HL Headset,,
FY2019,United States,Components,Headsets,ML Headset,421,25656.9711
FY2020,United States,Components,Headsets,ML Headset,,
FY2019,United States,Components,Forks,LL Fork,119,10582.908
FY2020,United States,Components,Forks,LL Fork,,
FY2019,United States,Components,Forks,HL Fork,296,40655.8976
FY2020,United States,Components,Forks,HL Fork,,
FY2019,United States,Components,Pedals,Touring Pedal,,
FY2020,United States,Components,Pedals,Touring Pedal,67,3255.798
FY2019,United States,Components,Pedals,LL Mountain Pedal,,
FY2020,United States,Components,Pedals,LL Mountain Pedal,254,6170.676
FY2019,United States,Components,Pedals,ML Mountain Pedal,,
FY2020,United States,Components,Pedals,ML Mountain Pedal,215,8009.61
FY2019,United States,Components,Pedals,LL Road Pedal,,
FY2020,United States,Components,Pedals,LL Road Pedal,565,13726.11
FY2019,United States,Components,Pedals,ML Road Pedal,,
FY2020,United States,Components,Pedals,ML Road Pedal,433,16130.982
FY2019,United States,Components,Pedals,HL Mountain Pedal,,
FY2020,United States,Components,Pedals,HL Mountain Pedal,453,21977.252
FY2019,United States,Components,Pedals,HL Road Pedal,,
FY2020,United States,Components,Pedals,HL Road Pedal,458,22256.052
FY2019,United States,Components,Cranksets,ML Crankset,,
FY2020,United States,Components,Cranksets,ML Crankset,41,6309.654
FY2019,United States,Components,Cranksets,LL Crankset,,
FY2020,United States,Components,Cranksets,LL Crankset,236,24849.384
FY2019,United States,Components,Cranksets,HL Crankset,,
FY2020,United States,Components,Cranksets,HL Crankset,305,73959.5978
FY2019,United States,Components,Handlebars,LL Touring Handlebars,,
FY2020,United States,Components,Handlebars,LL Touring Handlebars,24,663.696
FY2019,United States,Components,Handlebars,LL Road Handlebars,87,2113.6215
FY2020,United States,Components,Handlebars,LL Road Handlebars,69,1843.956
FY2019,United States,Components,Handlebars,HL Touring Handlebars,,
FY2020,United States,Components,Handlebars,HL Touring Handlebars,102,5604.084
FY2019,United States,Components,Handlebars,LL Mountain Handlebars,269,6535.2205
FY2020,United States,Components,Handlebars,LL Mountain Handlebars,257,6797.3563
FY2019,United States,Components,Handlebars,HL Mountain Handlebars,205,13448.369
FY2020,United States,Components,Handlebars,HL Mountain Handlebars,161,11618.082
FY2019,United States,Components,Handlebars,HL Road Handlebars,244,16006.8392
FY2020,United States,Components,Handlebars,HL Road Handlebars,192,13855.104
FY2019,United States,Components,Handlebars,ML Mountain Handlebars,505,17056.1225
FY2020,United States,Components,Handlebars,ML Mountain Handlebars,434,16073.0945
FY2019,United States,Components,Wheels,ML Road Rear Wheel,47,7765.857
FY2020,United States,Components,Wheels,ML Road Rear Wheel,,
FY2019,United States,Components,Wheels,LL Mountain Rear Wheel,231,12161.457
FY2020,United States,Components,Wheels,LL Mountain Rear Wheel,,
FY2019,United States,Components,Wheels,HL Road Rear Wheel,60,12854.16
FY2020,United States,Components,Wheels,HL Road Rear Wheel,,
FY2019,United States,Components,Wheels,LL Mountain Front Wheel,431,15708.657
FY2020,United States,Components,Wheels,LL Mountain Front Wheel,,
FY2019,United States,Components,Wheels,ML Mountain Front Wheel,197,24706.755
FY2020,United States,Components,Wheels,ML Mountain Front Wheel,,
FY2019,United States,Components,Wheels,HL Mountain Front Wheel,163,29361.027
FY2020,United States,Components,Wheels,HL Mountain Front Wheel,,
FY2019,United States,Components,Wheels,LL Road Rear Wheel,640,43224.96
FY2020,United States,Components,Wheels,LL Road Rear Wheel,,
FY2019,United States,Components,Wheels,ML Road Front Wheel,372,55439.532
FY2020,United States,Components,Wheels,ML Road Front Wheel,,
FY2019,United States,Components,Wheels,ML Mountain Rear Wheel,556,78558.9386
FY2020,United States,Components,Wheels,ML Mountain Rear Wheel,,
FY2019,United States,Components,Wheels,HL Road Front Wheel,412,81590.832
FY2020,United States,Components,Wheels,HL Road Front Wheel,,
FY2019,United States,Components,Wheels,HL Mountain Rear Wheel,582,113883.0913
FY2020,United States,Components,Wheels,HL Mountain Rear Wheel,,
FY2019,United States,Components,Touring Frames,LL Touring Frame,,
FY2020,United States,Components,Touring Frames,LL Touring Frame,678,135144.2951
FY2019,United States,Components,Touring Frames,HL Touring Frame,,
FY2020,United States,Components,Touring Frames,HL Touring Frame,1072,642815.118
FY2019,United States,Components,Road Frames,LL Road Frame,2501,489616.0364
FY2020,United States,Components,Road Frames,LL Road Frame,611,123507.6343
FY2019,United States,Components,Road Frames,ML Road Frame-W,1283,416272.8141
FY2020,United States,Components,Road Frames,ML Road Frame-W,876,312642.648
FY2019,United States,Components,Road Frames,HL Road Frame,563,439600.6466
FY2020,United States,Components,Road Frames,HL Road Frame,470,403683
FY2019,United States,Components,Mountain Frames,ML Mountain Frame,1118,233793.9166
FY2020,United States,Components,Mountain Frames,ML Mountain Frame,,
FY2019,United States,Components,Mountain Frames,ML Mountain Frame-W,377,78889.512
FY2020,United States,Components,Mountain Frames,ML Mountain Frame-W,1083,236309.5562
FY2019,United States,Components,Mountain Frames,LL Mountain Frame,,
FY2020,United States,Components,Mountain Frames,LL Mountain Frame,2093,323300.8237
FY2019,United States,Components,Mountain Frames,HL Mountain Frame,1196,885745.2068
FY2020,United States,Components,Mountain Frames,HL Mountain Frame,965,786129.78
FY2019,United States,Bikes,Touring Bikes,Touring-2000,7,8503.95
FY2020,United States,Bikes,Touring Bikes,Touring-2000,1258,971397.9476
FY2019,United States,Bikes,Touring Bikes,Touring-3000,9,6681.15
FY2020,United States,Bikes,Touring Bikes,Touring-3000,2366,982827.3091
FY2019,United States,Bikes,Touring Bikes,Touring-1000,13,30992.91
FY2020,United States,Bikes,Touring Bikes,Touring-1000,2792,4129623.591
FY2019,United States,Bikes,Mountain Bikes,Mountain-400-W,7,5386.43
FY2020,United States,Bikes,Mountain Bikes,Mountain-400-W,1120,579368.72
FY2019,United States,Bikes,Mountain Bikes,Mountain-500,11,6114.89
FY2020,United States,Bikes,Mountain Bikes,Mountain-500,2423,773766.01
FY2019,United States,Bikes,Mountain Bikes,Mountain-300,2104,1360990.438
FY2020,United States,Bikes,Mountain Bikes,Mountain-300,,
FY2019,United States,Bikes,Mountain Bikes,Mountain-200,4418,5748862.942
FY2020,United States,Bikes,Mountain Bikes,Mountain-200,4117,6500902.23
FY2019,United States,Bikes,Road Bikes,Road-750,25,13499.75
FY2020,United States,Bikes,Road Bikes,Road-750,2455,898592.2832
FY2019,United States,Bikes,Road Bikes,Road-350-W,11,18710.89
FY2020,United States,Bikes,Road Bikes,Road-350-W,2636,2854380.289
FY2019,United States,Bikes,Road Bikes,Road-550-W,2322,1445926.318
FY2020,United States,Bikes,Road Bikes,Road-550-W,2217,1631326.769
FY2019,United States,Bikes,Road Bikes,Road-650,8278,3855926.1
FY2020,United States,Bikes,Road Bikes,Road-650,,
FY2019,United States,Bikes,Road Bikes,Road-250,3332,4723850.027
FY2020,United States,Bikes,Road Bikes,Road-250,1608,2429795.272
