Superstore 2023.Region,Superstore 2023.Category,Superstore 2023.Sub-Category,Superstore 2023.Segment,Superstore 2023.State,Superstore 2023.ProfitM,Sum(Superstore 2023.Sales)
West,Office Supplies,Binders,Corporate,New Mexico,38.1885,104.776
Central,Office Supplies,Binders,Corporate,Maryland,,
East,Office Supplies,Binders,Corporate,Maryland,48.3026,100.98
South,Office Supplies,Binders,Corporate,Maryland,,
West,Office Supplies,Binders,Corporate,Maryland,,
Central,Office Supplies,Binders,Corporate,Louisiana,,
East,Office Supplies,Binders,Corporate,Louisiana,,
South,Office Supplies,Binders,Corporate,Louisiana,43.7288,92.92
West,Office Supplies,Binders,Corporate,Louisiana,,
Central,Office Supplies,Binders,Corporate,Connecticut,,
East,Office Supplies,Binders,Corporate,Connecticut,38.7958,82.75
South,Office Supplies,Binders,Corporate,Connecticut,,
West,Office Supplies,Binders,Corporate,Connecticut,,
Central,Office Supplies,Binders,Corporate,Missouri,39.3408,81.96
East,Office Supplies,Binders,Corporate,Missouri,,
South,Office Supplies,Binders,Corporate,Missouri,,
West,Office Supplies,Binders,Corporate,Missouri,,
Central,Office Supplies,Binders,Corporate,Nebraska,36.8608,76.3
East,Office Supplies,Binders,Corporate,Nebraska,,
South,Office Supplies,Binders,Corporate,Nebraska,,
West,Office Supplies,Binders,Corporate,Nebraska,,
Central,Office Supplies,Binders,Corporate,Utah,,
East,Office Supplies,Binders,Corporate,Utah,,
South,Office Supplies,Binders,Corporate,Utah,,
West,Office Supplies,Binders,Corporate,Utah,20.8269,60.288
Central,Office Supplies,Binders,Corporate,Rhode Island,,
East,Office Supplies,Binders,Corporate,Rhode Island,22.89,45.78
South,Office Supplies,Binders,Corporate,Rhode Island,,
West,Office Supplies,Binders,Corporate,Rhode Island,,
Central,Office Supplies,Binders,Corporate,Idaho,,
East,Office Supplies,Binders,Corporate,Idaho,,
South,Office Supplies,Binders,Corporate,Idaho,,
West,Office Supplies,Binders,Corporate,Idaho,15.7423,45.032
Central,Office Supplies,Binders,Corporate,New Hampshire,,
East,Office Supplies,Binders,Corporate,New Hampshire,11.0016,22.92
South,Office Supplies,Binders,Corporate,New Hampshire,,
West,Office Supplies,Binders,Corporate,New Hampshire,,
Central,Office Supplies,Binders,Corporate,Arkansas,,
East,Office Supplies,Binders,Corporate,Arkansas,,
South,Office Supplies,Binders,Corporate,Arkansas,8.2616,17.96
West,Office Supplies,Binders,Corporate,Arkansas,,
Central,Office Supplies,Binders,Corporate,Oklahoma,5.346,11.88
East,Office Supplies,Binders,Corporate,Oklahoma,,
South,Office Supplies,Binders,Corporate,Oklahoma,,
West,Office Supplies,Binders,Corporate,Oklahoma,,
Central,Office Supplies,Binders,Corporate,Montana,,
East,Office Supplies,Binders,Corporate,Montana,,
South,Office Supplies,Binders,Corporate,Montana,,
West,Office Supplies,Binders,Corporate,Montana,2.6936,8.288
Central,Office Supplies,Binders,Home Office,New York,,
East,Office Supplies,Binders,Home Office,New York,1827.7331,5573.728
South,Office Supplies,Binders,Home Office,New York,,
West,Office Supplies,Binders,Home Office,New York,,
Central,Office Supplies,Binders,Home Office,Nevada,,
East,Office Supplies,Binders,Home Office,Nevada,,
South,Office Supplies,Binders,Home Office,Nevada,,
West,Office Supplies,Binders,Home Office,Nevada,1669.8711,4611.768
Central,Office Supplies,Binders,Home Office,Michigan,2047.1436,4101.99
East,Office Supplies,Binders,Home Office,Michigan,,
South,Office Supplies,Binders,Home Office,Michigan,,
West,Office Supplies,Binders,Home Office,Michigan,,
Central,Office Supplies,Binders,Home Office,California,,
East,Office Supplies,Binders,Home Office,California,,
South,Office Supplies,Binders,Home Office,California,,
West,Office Supplies,Binders,Home Office,California,1015.0946,2882.872
Central,Office Supplies,Binders,Home Office,North Carolina,,
East,Office Supplies,Binders,Home Office,North Carolina,,
South,Office Supplies,Binders,Home Office,North Carolina,-1540.0232,1944.276
West,Office Supplies,Binders,Home Office,North Carolina,,
Central,Office Supplies,Binders,Home Office,Missouri,794.8962,1656.59
East,Office Supplies,Binders,Home Office,Missouri,,
South,Office Supplies,Binders,Home Office,Missouri,,
West,Office Supplies,Binders,Home Office,Missouri,,
Central,Office Supplies,Binders,Home Office,Georgia,,
East,Office Supplies,Binders,Home Office,Georgia,,
South,Office Supplies,Binders,Home Office,Georgia,745.8726,1511.59
West,Office Supplies,Binders,Home Office,Georgia,,
Central,Office Supplies,Binders,Home Office,Pennsylvania,,
East,Office Supplies,Binders,Home Office,Pennsylvania,-982.1366,1429.869
South,Office Supplies,Binders,Home Office,Pennsylvania,,
West,Office Supplies,Binders,Home Office,Pennsylvania,,
Central,Office Supplies,Binders,Home Office,Delaware,,
East,Office Supplies,Binders,Home Office,Delaware,594.3019,1260.2
South,Office Supplies,Binders,Home Office,Delaware,,
West,Office Supplies,Binders,Home Office,Delaware,,
Central,Office Supplies,Binders,Home Office,Illinois,-1565.005,1022.18
East,Office Supplies,Binders,Home Office,Illinois,,
South,Office Supplies,Binders,Home Office,Illinois,,
West,Office Supplies,Binders,Home Office,Illinois,,
Central,Office Supplies,Binders,Home Office,Kentucky,,
East,Office Supplies,Binders,Home Office,Kentucky,,
South,Office Supplies,Binders,Home Office,Kentucky,455.8515,999.28
West,Office Supplies,Binders,Home Office,Kentucky,,
Central,Office Supplies,Binders,Home Office,Washington,,
East,Office Supplies,Binders,Home Office,Washington,,
South,Office Supplies,Binders,Home Office,Washington,,
West,Office Supplies,Binders,Home Office,Washington,329.0076,983.232
Central,Office Supplies,Binders,Home Office,Massachusetts,,
East,Office Supplies,Binders,Home Office,Massachusetts,300.2884,622.79
South,Office Supplies,Binders,Home Office,Massachusetts,,
West,Office Supplies,Binders,Home Office,Massachusetts,,
Central,Office Supplies,Binders,Home Office,Mississippi,,
East,Office Supplies,Binders,Home Office,Mississippi,,
South,Office Supplies,Binders,Home Office,Mississippi,269.507,573.1
West,Office Supplies,Binders,Home Office,Mississippi,,
Central,Office Supplies,Binders,Home Office,Florida,,
East,Office Supplies,Binders,Home Office,Florida,,
South,Office Supplies,Binders,Home Office,Florida,-454.2824,565.722
West,Office Supplies,Binders,Home Office,Florida,,
Central,Office Supplies,Binders,Home Office,Louisiana,,
East,Office Supplies,Binders,Home Office,Louisiana,,
South,Office Supplies,Binders,Home Office,Louisiana,219.6546,477.51
West,Office Supplies,Binders,Home Office,Louisiana,,
Central,Office Supplies,Binders,Home Office,Kansas,209.5232,459.92
East,Office Supplies,Binders,Home Office,Kansas,,
South,Office Supplies,Binders,Home Office,Kansas,,
West,Office Supplies,Binders,Home Office,Kansas,,
Central,Office Supplies,Binders,Home Office,Ohio,,
East,Office Supplies,Binders,Home Office,Ohio,-300.0231,401.109
South,Office Supplies,Binders,Home Office,Ohio,,
West,Office Supplies,Binders,Home Office,Ohio,,
Central,Office Supplies,Binders,Home Office,Indiana,147.9714,314.75
East,Office Supplies,Binders,Home Office,Indiana,,
South,Office Supplies,Binders,Home Office,Indiana,,
West,Office Supplies,Binders,Home Office,Indiana,,
Central,Office Supplies,Binders,Home Office,New Jersey,,
East,Office Supplies,Binders,Home Office,New Jersey,137.1422,294.98
South,Office Supplies,Binders,Home Office,New Jersey,,
West,Office Supplies,Binders,Home Office,New Jersey,,
Central,Office Supplies,Binders,Home Office,Oklahoma,126.258,273.08
East,Office Supplies,Binders,Home Office,Oklahoma,,
South,Office Supplies,Binders,Home Office,Oklahoma,,
West,Office Supplies,Binders,Home Office,Oklahoma,,
Central,Office Supplies,Binders,Home Office,Virginia,,
East,Office Supplies,Binders,Home Office,Virginia,,
South,Office Supplies,Binders,Home Office,Virginia,123.1963,256.67
West,Office Supplies,Binders,Home Office,Virginia,,
Central,Office Supplies,Binders,Home Office,Texas,-357.2078,226.436
East,Office Supplies,Binders,Home Office,Texas,,
South,Office Supplies,Binders,Home Office,Texas,,
West,Office Supplies,Binders,Home Office,Texas,,
Central,Office Supplies,Binders,Home Office,Colorado,,
East,Office Supplies,Binders,Home Office,Colorado,,
South,Office Supplies,Binders,Home Office,Colorado,,
West,Office Supplies,Binders,Home Office,Colorado,-149.279,192.987
Central,Office Supplies,Binders,Home Office,Arkansas,,
East,Office Supplies,Binders,Home Office,Arkansas,,
South,Office Supplies,Binders,Home Office,Arkansas,61.486,123.86
West,Office Supplies,Binders,Home Office,Arkansas,,
Central,Office Supplies,Binders,Home Office,Wisconsin,56.1408,113.52
East,Office Supplies,Binders,Home Office,Wisconsin,,
South,Office Supplies,Binders,Home Office,Wisconsin,,
West,Office Supplies,Binders,Home Office,Wisconsin,,
Central,Office Supplies,Binders,Home Office,Utah,,
East,Office Supplies,Binders,Home Office,Utah,,
South,Office Supplies,Binders,Home Office,Utah,,
West,Office Supplies,Binders,Home Office,Utah,32.4751,101.528
Central,Office Supplies,Binders,Home Office,Arizona,,
East,Office Supplies,Binders,Home Office,Arizona,,
South,Office Supplies,Binders,Home Office,Arizona,,
West,Office Supplies,Binders,Home Office,Arizona,-75.8491,99.828
Central,Office Supplies,Binders,Home Office,Tennessee,,
East,Office Supplies,Binders,Home Office,Tennessee,,
South,Office Supplies,Binders,Home Office,Tennessee,-76.2474,99.258
West,Office Supplies,Binders,Home Office,Tennessee,,
Central,Office Supplies,Binders,Home Office,West Virginia,,
East,Office Supplies,Binders,Home Office,West Virginia,43.4336,88.64
South,Office Supplies,Binders,Home Office,West Virginia,,
West,Office Supplies,Binders,Home Office,West Virginia,,
Central,Office Supplies,Binders,Home Office,Rhode Island,,
East,Office Supplies,Binders,Home Office,Rhode Island,37.7584,79.93
South,Office Supplies,Binders,Home Office,Rhode Island,,
West,Office Supplies,Binders,Home Office,Rhode Island,,
Central,Office Supplies,Binders,Home Office,Minnesota,34.3896,74.76
East,Office Supplies,Binders,Home Office,Minnesota,,
South,Office Supplies,Binders,Home Office,Minnesota,,
West,Office Supplies,Binders,Home Office,Minnesota,,
Central,Office Supplies,Binders,Home Office,Oregon,,
East,Office Supplies,Binders,Home Office,Oregon,,
South,Office Supplies,Binders,Home Office,Oregon,,
West,Office Supplies,Binders,Home Office,Oregon,-33.948,50.922
Central,Office Supplies,Binders,Home Office,Iowa,22.141,46.54
East,Office Supplies,Binders,Home Office,Iowa,,
South,Office Supplies,Binders,Home Office,Iowa,,
West,Office Supplies,Binders,Home Office,Iowa,,
Central,Office Supplies,Binders,Home Office,Maine,,
East,Office Supplies,Binders,Home Office,Maine,17.3102,38.1
South,Office Supplies,Binders,Home Office,Maine,,
West,Office Supplies,Binders,Home Office,Maine,,
Central,Office Supplies,Binders,Home Office,Maryland,,
East,Office Supplies,Binders,Home Office,Maryland,18.4534,37.66
South,Office Supplies,Binders,Home Office,Maryland,,
West,Office Supplies,Binders,Home Office,Maryland,,
Central,Office Supplies,Binders,Home Office,Nebraska,15.525,34.5
East,Office Supplies,Binders,Home Office,Nebraska,,
South,Office Supplies,Binders,Home Office,Nebraska,,
West,Office Supplies,Binders,Home Office,Nebraska,,
Central,Office Supplies,Binders,Home Office,Alabama,,
East,Office Supplies,Binders,Home Office,Alabama,,
South,Office Supplies,Binders,Home Office,Alabama,15.5204,33.74
West,Office Supplies,Binders,Home Office,Alabama,,
Central,Office Supplies,Binders,Home Office,North Dakota,12.691,25.9
East,Office Supplies,Binders,Home Office,North Dakota,,
South,Office Supplies,Binders,Home Office,North Dakota,,
West,Office Supplies,Binders,Home Office,North Dakota,,
Central,Office Supplies,Binders,Home Office,Montana,,
East,Office Supplies,Binders,Home Office,Montana,,
South,Office Supplies,Binders,Home Office,Montana,,
West,Office Supplies,Binders,Home Office,Montana,2.2098,6.096
Central,Office Supplies,Appliances,Consumer,California,,
East,Office Supplies,Appliances,Consumer,California,,
South,Office Supplies,Appliances,Consumer,California,,
West,Office Supplies,Appliances,Consumer,California,3465.7743,11625.46
Central,Office Supplies,Appliances,Consumer,New York,,
East,Office Supplies,Appliances,Consumer,New York,1921.0746,6391.1
South,Office Supplies,Appliances,Consumer,New York,,
West,Office Supplies,Appliances,Consumer,New York,,
Central,Office Supplies,Appliances,Consumer,New Jersey,,
East,Office Supplies,Appliances,Consumer,New Jersey,1084.9043,3774.45
South,Office Supplies,Appliances,Consumer,New Jersey,,
West,Office Supplies,Appliances,Consumer,New Jersey,,
Central,Office Supplies,Appliances,Consumer,Pennsylvania,,
East,Office Supplies,Appliances,Consumer,Pennsylvania,513.8209,3324.28
South,Office Supplies,Appliances,Consumer,Pennsylvania,,
West,Office Supplies,Appliances,Consumer,Pennsylvania,,
Central,Office Supplies,Appliances,Consumer,North Carolina,,
East,Office Supplies,Appliances,Consumer,North Carolina,,
South,Office Supplies,Appliances,Consumer,North Carolina,338.9964,2690.544
West,Office Supplies,Appliances,Consumer,North Carolina,,
Central,Office Supplies,Appliances,Consumer,Michigan,421.825,1883.511
East,Office Supplies,Appliances,Consumer,Michigan,,
South,Office Supplies,Appliances,Consumer,Michigan,,
West,Office Supplies,Appliances,Consumer,Michigan,,
Central,Office Supplies,Appliances,Consumer,Tennessee,,
East,Office Supplies,Appliances,Consumer,Tennessee,,
South,Office Supplies,Appliances,Consumer,Tennessee,186.9905,1736.04
West,Office Supplies,Appliances,Consumer,Tennessee,,
Central,Office Supplies,Appliances,Consumer,Ohio,,
East,Office Supplies,Appliances,Consumer,Ohio,179.5654,1698.416
South,Office Supplies,Appliances,Consumer,Ohio,,
West,Office Supplies,Appliances,Consumer,Ohio,,
Central,Office Supplies,Appliances,Consumer,Texas,-4252.272,1654.18
East,Office Supplies,Appliances,Consumer,Texas,,
South,Office Supplies,Appliances,Consumer,Texas,,
West,Office Supplies,Appliances,Consumer,Texas,,
Central,Office Supplies,Appliances,Consumer,Wisconsin,450.2484,1608.03
East,Office Supplies,Appliances,Consumer,Wisconsin,,
South,Office Supplies,Appliances,Consumer,Wisconsin,,
West,Office Supplies,Appliances,Consumer,Wisconsin,,
Central,Office Supplies,Appliances,Consumer,Indiana,383.1487,1453.01
East,Office Supplies,Appliances,Consumer,Indiana,,
South,Office Supplies,Appliances,Consumer,Indiana,,
West,Office Supplies,Appliances,Consumer,Indiana,,
Central,Office Supplies,Appliances,Consumer,Massachusetts,,
East,Office Supplies,Appliances,Consumer,Massachusetts,411.0011,1302.73
South,Office Supplies,Appliances,Consumer,Massachusetts,,
West,Office Supplies,Appliances,Consumer,Massachusetts,,
Central,Office Supplies,Appliances,Consumer,Connecticut,,
East,Office Supplies,Appliances,Consumer,Connecticut,389.0653,1262.09
South,Office Supplies,Appliances,Consumer,Connecticut,,
West,Office Supplies,Appliances,Consumer,Connecticut,,
Central,Office Supplies,Appliances,Consumer,Washington,,
East,Office Supplies,Appliances,Consumer,Washington,,
South,Office Supplies,Appliances,Consumer,Washington,,
West,Office Supplies,Appliances,Consumer,Washington,371.8278,1251.36
Central,Office Supplies,Appliances,Consumer,Utah,,
East,Office Supplies,Appliances,Consumer,Utah,,
South,Office Supplies,Appliances,Consumer,Utah,,
West,Office Supplies,Appliances,Consumer,Utah,305.13,1089.75
Central,Office Supplies,Appliances,Consumer,Colorado,,
East,Office Supplies,Appliances,Consumer,Colorado,,
South,Office Supplies,Appliances,Consumer,Colorado,,
West,Office Supplies,Appliances,Consumer,Colorado,100.6027,1001.808
Central,Office Supplies,Appliances,Consumer,Maryland,,
East,Office Supplies,Appliances,Consumer,Maryland,323.9929,992.81
South,Office Supplies,Appliances,Consumer,Maryland,,
West,Office Supplies,Appliances,Consumer,Maryland,,
Central,Office Supplies,Appliances,Consumer,Missouri,261.0965,981.5
East,Office Supplies,Appliances,Consumer,Missouri,,
South,Office Supplies,Appliances,Consumer,Missouri,,
West,Office Supplies,Appliances,Consumer,Missouri,,
Central,Office Supplies,Appliances,Consumer,Kentucky,,
East,Office Supplies,Appliances,Consumer,Kentucky,,
South,Office Supplies,Appliances,Consumer,Kentucky,270.4956,980.42
West,Office Supplies,Appliances,Consumer,Kentucky,,
Central,Office Supplies,Appliances,Consumer,Virginia,,
East,Office Supplies,Appliances,Consumer,Virginia,,
South,Office Supplies,Appliances,Consumer,Virginia,281.9923,962.51
West,Office Supplies,Appliances,Consumer,Virginia,,
Central,Office Supplies,Appliances,Consumer,Georgia,,
East,Office Supplies,Appliances,Consumer,Georgia,,
South,Office Supplies,Appliances,Consumer,Georgia,223.1648,804.18
West,Office Supplies,Appliances,Consumer,Georgia,,
Central,Office Supplies,Appliances,Consumer,Florida,,
East,Office Supplies,Appliances,Consumer,Florida,,
South,Office Supplies,Appliances,Consumer,Florida,59.1626,775.68
West,Office Supplies,Appliances,Consumer,Florida,,
Central,Office Supplies,Appliances,Consumer,Illinois,-1581.2461,621.65
East,Office Supplies,Appliances,Consumer,Illinois,,
South,Office Supplies,Appliances,Consumer,Illinois,,
West,Office Supplies,Appliances,Consumer,Illinois,,
Central,Office Supplies,Appliances,Consumer,Oklahoma,216.2798,609.52
East,Office Supplies,Appliances,Consumer,Oklahoma,,
South,Office Supplies,Appliances,Consumer,Oklahoma,,
West,Office Supplies,Appliances,Consumer,Oklahoma,,
Central,Office Supplies,Appliances,Consumer,Minnesota,166.2844,547.36
East,Office Supplies,Appliances,Consumer,Minnesota,,
South,Office Supplies,Appliances,Consumer,Minnesota,,
West,Office Supplies,Appliances,Consumer,Minnesota,,
Central,Office Supplies,Appliances,Consumer,Vermont,,
East,Office Supplies,Appliances,Consumer,Vermont,152.0232,542.94
South,Office Supplies,Appliances,Consumer,Vermont,,
West,Office Supplies,Appliances,Consumer,Vermont,,
Central,Office Supplies,Appliances,Consumer,Nebraska,136.08,378
East,Office Supplies,Appliances,Consumer,Nebraska,,
South,Office Supplies,Appliances,Consumer,Nebraska,,
West,Office Supplies,Appliances,Consumer,Nebraska,,
Central,Office Supplies,Appliances,Consumer,Mississippi,,
East,Office Supplies,Appliances,Consumer,Mississippi,,
South,Office Supplies,Appliances,Consumer,Mississippi,89.7792,320.64
West,Office Supplies,Appliances,Consumer,Mississippi,,
Central,Office Supplies,Appliances,Consumer,Oregon,,
East,Office Supplies,Appliances,Consumer,Oregon,,
South,Office Supplies,Appliances,Consumer,Oregon,,
West,Office Supplies,Appliances,Consumer,Oregon,17.6562,168.68
Central,Office Supplies,Appliances,Consumer,Arizona,,
East,Office Supplies,Appliances,Consumer,Arizona,,
South,Office Supplies,Appliances,Consumer,Arizona,,
West,Office Supplies,Appliances,Consumer,Arizona,13.7016,121.792
Central,Office Supplies,Appliances,Consumer,Delaware,,
East,Office Supplies,Appliances,Consumer,Delaware,33.3102,100.94
South,Office Supplies,Appliances,Consumer,Delaware,,
West,Office Supplies,Appliances,Consumer,Delaware,,
Central,Office Supplies,Appliances,Consumer,Kansas,22.9488,81.96
East,Office Supplies,Appliances,Consumer,Kansas,,
South,Office Supplies,Appliances,Consumer,Kansas,,
West,Office Supplies,Appliances,Consumer,Kansas,,
Central,Office Supplies,Appliances,Consumer,Nevada,,
East,Office Supplies,Appliances,Consumer,Nevada,,
South,Office Supplies,Appliances,Consumer,Nevada,,
West,Office Supplies,Appliances,Consumer,Nevada,18.821,64.9
Central,Office Supplies,Appliances,Consumer,Louisiana,,
East,Office Supplies,Appliances,Consumer,Louisiana,,
South,Office Supplies,Appliances,Consumer,Louisiana,4.6818,17.34
West,Office Supplies,Appliances,Consumer,Louisiana,,
Central,Office Supplies,Appliances,Corporate,California,,
East,Office Supplies,Appliances,Corporate,California,,
South,Office Supplies,Appliances,Corporate,California,,
West,Office Supplies,Appliances,Corporate,California,2490.9622,8938.33
Central,Office Supplies,Appliances,Corporate,New York,,
East,Office Supplies,Appliances,Corporate,New York,1516.5959,5585.04
South,Office Supplies,Appliances,Corporate,New York,,
West,Office Supplies,Appliances,Corporate,New York,,
Central,Office Supplies,Appliances,Corporate,Virginia,,
East,Office Supplies,Appliances,Corporate,Virginia,,
South,Office Supplies,Appliances,Corporate,Virginia,1081.3434,3153.86
West,Office Supplies,Appliances,Corporate,Virginia,,
Central,Office Supplies,Appliances,Corporate,Georgia,,
East,Office Supplies,Appliances,Corporate,Georgia,,
South,Office Supplies,Appliances,Corporate,Georgia,835.4184,2627.97
West,Office Supplies,Appliances,Corporate,Georgia,,
Central,Office Supplies,Appliances,Corporate,Indiana,820.2048,2497.84
East,Office Supplies,Appliances,Corporate,Indiana,,
South,Office Supplies,Appliances,Corporate,Indiana,,
West,Office Supplies,Appliances,Corporate,Indiana,,
Central,Office Supplies,Appliances,Corporate,Ohio,,
East,Office Supplies,Appliances,Corporate,Ohio,176.9863,1932.032
South,Office Supplies,Appliances,Corporate,Ohio,,
West,Office Supplies,Appliances,Corporate,Ohio,,
Central,Office Supplies,Appliances,Corporate,Florida,,
East,Office Supplies,Appliances,Corporate,Florida,,
South,Office Supplies,Appliances,Corporate,Florida,220.146,1857.584
West,Office Supplies,Appliances,Corporate,Florida,,
Central,Office Supplies,Appliances,Corporate,Massachusetts,,
East,Office Supplies,Appliances,Corporate,Massachusetts,519.8918,1799.14
South,Office Supplies,Appliances,Corporate,Massachusetts,,
West,Office Supplies,Appliances,Corporate,Massachusetts,,
Central,Office Supplies,Appliances,Corporate,North Carolina,,
East,Office Supplies,Appliances,Corporate,North Carolina,,
South,Office Supplies,Appliances,Corporate,North Carolina,146.6782,1447.008
West,Office Supplies,Appliances,Corporate,North Carolina,,
Central,Office Supplies,Appliances,Corporate,Michigan,339.8298,1235.871
East,Office Supplies,Appliances,Corporate,Michigan,,
South,Office Supplies,Appliances,Corporate,Michigan,,
West,Office Supplies,Appliances,Corporate,Michigan,,
Central,Office Supplies,Appliances,Corporate,Pennsylvania,,
East,Office Supplies,Appliances,Corporate,Pennsylvania,128.4209,793.192
South,Office Supplies,Appliances,Corporate,Pennsylvania,,
West,Office Supplies,Appliances,Corporate,Pennsylvania,,
Central,Office Supplies,Appliances,Corporate,Washington,,
East,Office Supplies,Appliances,Corporate,Washington,,
South,Office Supplies,Appliances,Corporate,Washington,,
West,Office Supplies,Appliances,Corporate,Washington,153.7066,481.11
Central,Office Supplies,Appliances,Corporate,Texas,-1133.359,436.298
East,Office Supplies,Appliances,Corporate,Texas,,
South,Office Supplies,Appliances,Corporate,Texas,,
West,Office Supplies,Appliances,Corporate,Texas,,
Central,Office Supplies,Appliances,Corporate,Arizona,,
East,Office Supplies,Appliances,Corporate,Arizona,,
South,Office Supplies,Appliances,Corporate,Arizona,,
West,Office Supplies,Appliances,Corporate,Arizona,45.9168,416.448
Central,Office Supplies,Appliances,Corporate,South Dakota,112.4064,416.32
East,Office Supplies,Appliances,Corporate,South Dakota,,
South,Office Supplies,Appliances,Corporate,South Dakota,,
West,Office Supplies,Appliances,Corporate,South Dakota,,
Central,Office Supplies,Appliances,Corporate,Kentucky,,
East,Office Supplies,Appliances,Corporate,Kentucky,,
South,Office Supplies,Appliances,Corporate,Kentucky,100.6896,355.2
West,Office Supplies,Appliances,Corporate,Kentucky,,
Central,Office Supplies,Appliances,Corporate,Mississippi,,
East,Office Supplies,Appliances,Corporate,Mississippi,,
South,Office Supplies,Appliances,Corporate,Mississippi,87.1662,294.91
West,Office Supplies,Appliances,Corporate,Mississippi,,
Central,Office Supplies,Appliances,Corporate,Illinois,-709.5536,282.1
East,Office Supplies,Appliances,Corporate,Illinois,,
South,Office Supplies,Appliances,Corporate,Illinois,,
West,Office Supplies,Appliances,Corporate,Illinois,,
Central,Office Supplies,Appliances,Corporate,Oregon,,
East,Office Supplies,Appliances,Corporate,Oregon,,
South,Office Supplies,Appliances,Corporate,Oregon,,
West,Office Supplies,Appliances,Corporate,Oregon,27.7126,279.92
Central,Office Supplies,Appliances,Corporate,New Jersey,,
East,Office Supplies,Appliances,Corporate,New Jersey,78.0654,276.92
South,Office Supplies,Appliances,Corporate,New Jersey,,
West,Office Supplies,Appliances,Corporate,New Jersey,,
Central,Office Supplies,Appliances,Corporate,Maryland,,
East,Office Supplies,Appliances,Corporate,Maryland,67.0089,240.39
South,Office Supplies,Appliances,Corporate,Maryland,,
West,Office Supplies,Appliances,Corporate,Maryland,,
Central,Office Supplies,Appliances,Corporate,Connecticut,,
East,Office Supplies,Appliances,Corporate,Connecticut,82.8044,217.09
South,Office Supplies,Appliances,Corporate,Connecticut,,
West,Office Supplies,Appliances,Corporate,Connecticut,,
Central,Office Supplies,Appliances,Corporate,Alabama,,
East,Office Supplies,Appliances,Corporate,Alabama,,
South,Office Supplies,Appliances,Corporate,Alabama,56.2032,208.16
West,Office Supplies,Appliances,Corporate,Alabama,,
Central,Office Supplies,Appliances,Corporate,Tennessee,,
East,Office Supplies,Appliances,Corporate,Tennessee,,
South,Office Supplies,Appliances,Corporate,Tennessee,16.1768,178.944
West,Office Supplies,Appliances,Corporate,Tennessee,,
Central,Office Supplies,Appliances,Corporate,Wisconsin,54.558,155.88
East,Office Supplies,Appliances,Corporate,Wisconsin,,
South,Office Supplies,Appliances,Corporate,Wisconsin,,
West,Office Supplies,Appliances,Corporate,Wisconsin,,
Central,Office Supplies,Appliances,Corporate,Nebraska,34.0978,122.57
East,Office Supplies,Appliances,Corporate,Nebraska,,
South,Office Supplies,Appliances,Corporate,Nebraska,,
West,Office Supplies,Appliances,Corporate,Nebraska,,
Central,Office Supplies,Appliances,Corporate,Colorado,,
East,Office Supplies,Appliances,Corporate,Colorado,,
South,Office Supplies,Appliances,Corporate,Colorado,,
West,Office Supplies,Appliances,Corporate,Colorado,11.327,112.136
Central,Office Supplies,Appliances,Corporate,Maine,,
East,Office Supplies,Appliances,Corporate,Maine,27.5292,101.96
South,Office Supplies,Appliances,Corporate,Maine,,
West,Office Supplies,Appliances,Corporate,Maine,,
Central,Office Supplies,Appliances,Corporate,Minnesota,22.5852,77.88
East,Office Supplies,Appliances,Corporate,Minnesota,,
South,Office Supplies,Appliances,Corporate,Minnesota,,
West,Office Supplies,Appliances,Corporate,Minnesota,,
Central,Office Supplies,Appliances,Corporate,New Hampshire,,
East,Office Supplies,Appliances,Corporate,New Hampshire,9.3184,33.28
South,Office Supplies,Appliances,Corporate,New Hampshire,,
West,Office Supplies,Appliances,Corporate,New Hampshire,,
Central,Office Supplies,Appliances,Corporate,Nevada,,
East,Office Supplies,Appliances,Corporate,Nevada,,
South,Office Supplies,Appliances,Corporate,Nevada,,
West,Office Supplies,Appliances,Corporate,Nevada,8.3916,31.08
Central,Office Supplies,Appliances,Corporate,Rhode Island,,
East,Office Supplies,Appliances,Corporate,Rhode Island,0.666,2.22
South,Office Supplies,Appliances,Corporate,Rhode Island,,
West,Office Supplies,Appliances,Corporate,Rhode Island,,
Central,Office Supplies,Appliances,Home Office,California,,
East,Office Supplies,Appliances,Home Office,California,,
South,Office Supplies,Appliances,Home Office,California,,
West,Office Supplies,Appliances,Home Office,California,1035.4953,3612.13
Central,Office Supplies,Appliances,Home Office,Missouri,964.9353,2688.93
East,Office Supplies,Appliances,Home Office,Missouri,,
South,Office Supplies,Appliances,Home Office,Missouri,,
West,Office Supplies,Appliances,Home Office,Missouri,,
Central,Office Supplies,Appliances,Home Office,Minnesota,674.9825,2218.89
East,Office Supplies,Appliances,Home Office,Minnesota,,
South,Office Supplies,Appliances,Home Office,Minnesota,,
West,Office Supplies,Appliances,Home Office,Minnesota,,
Central,Office Supplies,Appliances,Home Office,New York,,
East,Office Supplies,Appliances,Home Office,New York,370.094,1300.24
South,Office Supplies,Appliances,Home Office,New York,,
West,Office Supplies,Appliances,Home Office,New York,,
Central,Office Supplies,Appliances,Home Office,Michigan,324.426,1204.767
East,Office Supplies,Appliances,Home Office,Michigan,,
South,Office Supplies,Appliances,Home Office,Michigan,,
West,Office Supplies,Appliances,Home Office,Michigan,,
Central,Office Supplies,Appliances,Home Office,Ohio,,
East,Office Supplies,Appliances,Home Office,Ohio,129.7036,1177.088
South,Office Supplies,Appliances,Home Office,Ohio,,
West,Office Supplies,Appliances,Home Office,Ohio,,
