GL Balances.Period Date.Variation.Date Hierarchy.Month,GL Balances.Period Date.Variation.Date Hierarchy.Quarter,GL Balances.Period Date.Variation.Date Hierarchy.Year,Sum(GL Balances.Report Amount)
January,Qtr 1,2024,222761.13
February,Qtr 1,2024,50789.5
March,Qtr 1,2024,180204.8
April,Qtr 2,2024,534949.21
May,Qtr 2,2024,181542.38
June,Qtr 2,2024,755467.85
July,Qtr 3,2024,148339.71
August,Qtr 3,2024,549432.11
September,Qtr 3,2024,801082.1
October,Qtr 4,2024,724944.82
November,Qtr 4,2024,690536.41
December,Qtr 4,2024,985899.18
January,Qtr 1,2020,6
February,Qtr 1,2020,3
March,Qtr 1,2020,6
April,Qtr 2,2020,7
May,Qtr 2,2020,5
June,Qtr 2,2020,2
July,Qtr 3,2020,1
August,Qtr 3,2020,9
September,Qtr 3,2020,2
October,Qtr 4,2020,0
November,Qtr 4,2020,8
December,Qtr 4,2020,4
January,Qtr 1,2021,1
February,Qtr 1,2021,4
March,Qtr 1,2021,7
April,Qtr 2,2021,1
May,Qtr 2,2021,1
June,Qtr 2,2021,1
July,Qtr 3,2021,3
August,Qtr 3,2021,6
September,Qtr 3,2021,0
October,Qtr 4,2021,0
November,Qtr 4,2021,0
December,Qtr 4,2021,4
January,Qtr 1,2022,5
February,Qtr 1,2022,0
March,Qtr 1,2022,0
April,Qtr 2,2022,2
May,Qtr 2,2022,5
June,Qtr 2,2022,0
July,Qtr 3,2022,7
August,Qtr 3,2022,9
September,Qtr 3,2022,1
October,Qtr 4,2022,0
November,Qtr 4,2022,5
December,Qtr 4,2022,7
January,Qtr 1,2023,5
February,Qtr 1,2023,1
March,Qtr 1,2023,3
April,Qtr 2,2023,7
May,Qtr 2,2023,4
June,Qtr 2,2023,5
July,Qtr 3,2023,1
August,Qtr 3,2023,9
September,Qtr 3,2023,9
October,Qtr 4,2023,3
November,Qtr 4,2023,9143
December,Qtr 4,2023,4636
January,Qtr 1,2024,2521
February,Qtr 1,2024,9535
March,Qtr 1,2024,8872
April,Qtr 2,2024,2035
May,Qtr 2,2024,8984
June,Qtr 2,2024,8761
July,Qtr 3,2024,2736
August,Qtr 3,2024,3290
September,Qtr 3,2024,4886
October,Qtr 4,2024,3860
November,Qtr 4,2024,4116
December,Qtr 4,2024,2264
January,Qtr 1,2020,1
February,Qtr 1,2020,5
March,Qtr 1,2020,9
April,Qtr 2,2020,5
May,Qtr 2,2020,3
June,Qtr 2,2020,2
July,Qtr 3,2020,1
August,Qtr 3,2020,5
September,Qtr 3,2020,4
October,Qtr 4,2020,5
November,Qtr 4,2020,2
December,Qtr 4,2020,4
January,Qtr 1,2021,0
February,Qtr 1,2021,8
March,Qtr 1,2021,9
April,Qtr 2,2021,3
May,Qtr 2,2021,5
June,Qtr 2,2021,6
July,Qtr 3,2021,5
August,Qtr 3,2021,9
September,Qtr 3,2021,6
October,Qtr 4,2021,0
November,Qtr 4,2021,2
December,Qtr 4,2021,0
January,Qtr 1,2022,7
February,Qtr 1,2022,6
March,Qtr 1,2022,8
April,Qtr 2,2022,5
May,Qtr 2,2022,49.25
June,Qtr 2,2022,7400.07
July,Qtr 3,2022,6445.75
August,Qtr 3,2022,94397.57
September,Qtr 3,2022,50817.66
October,Qtr 4,2022,10251.66
November,Qtr 4,2022,93324.88
December,Qtr 4,2022,4473.9
January,Qtr 1,2023,23858.53
February,Qtr 1,2023,31149.72
March,Qtr 1,2023,31276.66
April,Qtr 2,2023,67239.71
May,Qtr 2,2023,66702.99
June,Qtr 2,2023,1939.45
July,Qtr 3,2023,155639.75
August,Qtr 3,2023,226218.04
September,Qtr 3,2023,91740.71
October,Qtr 4,2023,938978.28
November,Qtr 4,2023,833604.59
December,Qtr 4,2023,199672.29
January,Qtr 1,2024,891963.92
February,Qtr 1,2024,809634.98
March,Qtr 1,2024,919478.18
April,Qtr 2,2024,68272.77
May,Qtr 2,2024,116953.77
June,Qtr 2,2024,51856.17
July,Qtr 3,2024,702967.52
August,Qtr 3,2024,966951.23
September,Qtr 3,2024,303791.58
October,Qtr 4,2024,189533.75
November,Qtr 4,2024,163753.61
December,Qtr 4,2024,72083.2
January,Qtr 1,2020,5
February,Qtr 1,2020,4
March,Qtr 1,2020,9
April,Qtr 2,2020,0
May,Qtr 2,2020,4
June,Qtr 2,2020,1
July,Qtr 3,2020,9
August,Qtr 3,2020,1
September,Qtr 3,2020,6
October,Qtr 4,2020,7
November,Qtr 4,2020,7
December,Qtr 4,2020,8
January,Qtr 1,2021,7
February,Qtr 1,2021,0
March,Qtr 1,2021,7
April,Qtr 2,2021,4
May,Qtr 2,2021,6
June,Qtr 2,2021,2
July,Qtr 3,2021,1
August,Qtr 3,2021,2
September,Qtr 3,2021,8
October,Qtr 4,2021,9
November,Qtr 4,2021,7
December,Qtr 4,2021,5
January,Qtr 1,2022,8
February,Qtr 1,2022,5
March,Qtr 1,2022,2
April,Qtr 2,2022,6
May,Qtr 2,2022,6475.34
June,Qtr 2,2022,6862.03
July,Qtr 3,2022,838.23
August,Qtr 3,2022,8304.52
September,Qtr 3,2022,9399.5
October,Qtr 4,2022,6683.89
November,Qtr 4,2022,7942.07
December,Qtr 4,2022,7759.49
January,Qtr 1,2023,7595.87
February,Qtr 1,2023,6557.57
March,Qtr 1,2023,7010.68
April,Qtr 2,2023,722.94
May,Qtr 2,2023,4066.19
June,Qtr 2,2023,8945.9
July,Qtr 3,2023,2583.35
August,Qtr 3,2023,4425.35
September,Qtr 3,2023,4130.81
October,Qtr 4,2023,4511.92
November,Qtr 4,2023,6190.32
December,Qtr 4,2023,772.68
January,Qtr 1,2024,8018.48
February,Qtr 1,2024,8795.44
March,Qtr 1,2024,5832.86
April,Qtr 2,2024,6282.2
May,Qtr 2,2024,8271.37
June,Qtr 2,2024,1738.42
July,Qtr 3,2024,468.35
August,Qtr 3,2024,5459.13
September,Qtr 3,2024,2142.42
October,Qtr 4,2024,848.47
November,Qtr 4,2024,1211.25
December,Qtr 4,2024,5470.86
January,Qtr 1,2020,2
February,Qtr 1,2020,9
March,Qtr 1,2020,3
April,Qtr 2,2020,0
May,Qtr 2,2020,3
June,Qtr 2,2020,4
July,Qtr 3,2020,9
August,Qtr 3,2020,6
September,Qtr 3,2020,3
October,Qtr 4,2020,4
November,Qtr 4,2020,6
December,Qtr 4,2020,8
January,Qtr 1,2021,4
February,Qtr 1,2021,6
March,Qtr 1,2021,9
April,Qtr 2,2021,3
May,Qtr 2,2021,6
June,Qtr 2,2021,8
July,Qtr 3,2021,9
August,Qtr 3,2021,9
September,Qtr 3,2021,6
October,Qtr 4,2021,0
November,Qtr 4,2021,5
December,Qtr 4,2021,0
January,Qtr 1,2022,0
February,Qtr 1,2022,4
March,Qtr 1,2022,5
April,Qtr 2,2022,6
May,Qtr 2,2022,1019
June,Qtr 2,2022,8342
July,Qtr 3,2022,6939
August,Qtr 3,2022,1752
September,Qtr 3,2022,4983.85
October,Qtr 4,2022,4923.92
November,Qtr 4,2022,9202.1
December,Qtr 4,2022,56662.46
January,Qtr 1,2023,65708.09
February,Qtr 1,2023,51651.98
March,Qtr 1,2023,99364.57
April,Qtr 2,2023,91166.41
May,Qtr 2,2023,853641.71
June,Qtr 2,2023,40155.47
July,Qtr 3,2023,408508.94
August,Qtr 3,2023,157999.9
September,Qtr 3,2023,392937.82
October,Qtr 4,2023,997222.46
November,Qtr 4,2023,213063.94
December,Qtr 4,2023,178483.31
January,Qtr 1,2024,285088.98
February,Qtr 1,2024,683808.4
March,Qtr 1,2024,460806.7
April,Qtr 2,2024,779929.7
May,Qtr 2,2024,412298.8
June,Qtr 2,2024,728403.9
July,Qtr 3,2024,982313.9
August,Qtr 3,2024,429387
September,Qtr 3,2024,486882.9
October,Qtr 4,2024,14369.5
November,Qtr 4,2024,931909.1
December,Qtr 4,2024,611350.4
January,Qtr 1,2020,0
February,Qtr 1,2020,9
March,Qtr 1,2020,2
April,Qtr 2,2020,9
May,Qtr 2,2020,3
June,Qtr 2,2020,5
July,Qtr 3,2020,9
August,Qtr 3,2020,2
September,Qtr 3,2020,7
October,Qtr 4,2020,1
November,Qtr 4,2020,2
December,Qtr 4,2020,7
January,Qtr 1,2021,6
February,Qtr 1,2021,3
March,Qtr 1,2021,4
April,Qtr 2,2021,9
May,Qtr 2,2021,7
June,Qtr 2,2021,9
July,Qtr 3,2021,7
August,Qtr 3,2021,9
September,Qtr 3,2021,4
October,Qtr 4,2021,3
November,Qtr 4,2021,1
December,Qtr 4,2021,6
January,Qtr 1,2022,8
February,Qtr 1,2022,0
March,Qtr 1,2022,6226
April,Qtr 2,2022,3692
May,Qtr 2,2022,6700
June,Qtr 2,2022,903
July,Qtr 3,2022,1737
August,Qtr 3,2022,8369
September,Qtr 3,2022,7410
October,Qtr 4,2022,1987
November,Qtr 4,2022,7397
December,Qtr 4,2022,7343
January,Qtr 1,2023,3430
February,Qtr 1,2023,5406.4
March,Qtr 1,2023,4812.82
April,Qtr 2,2023,9299.41
May,Qtr 2,2023,25875.67
June,Qtr 2,2023,19553.62
July,Qtr 3,2023,64968.79
August,Qtr 3,2023,4977.27
September,Qtr 3,2023,11887.54
October,Qtr 4,2023,81616.88
November,Qtr 4,2023,167299
December,Qtr 4,2023,922183.7
January,Qtr 1,2024,196725.18
February,Qtr 1,2024,826968.73
March,Qtr 1,2024,77564.68
April,Qtr 2,2024,255014.26
May,Qtr 2,2024,157892.79
June,Qtr 2,2024,370266.57
July,Qtr 3,2024,40379.46
August,Qtr 3,2024,347753.38
September,Qtr 3,2024,93725.26
October,Qtr 4,2024,176717.74
November,Qtr 4,2024,35098.61
December,Qtr 4,2024,91319.68
January,Qtr 1,2020,9
February,Qtr 1,2020,4
March,Qtr 1,2020,2
April,Qtr 2,2020,6
May,Qtr 2,2020,5
June,Qtr 2,2020,1
July,Qtr 3,2020,6
August,Qtr 3,2020,3
September,Qtr 3,2020,9
October,Qtr 4,2020,9
November,Qtr 4,2020,8
December,Qtr 4,2020,0
January,Qtr 1,2021,6
February,Qtr 1,2021,7
March,Qtr 1,2021,3
April,Qtr 2,2021,4
May,Qtr 2,2021,5
June,Qtr 2,2021,2
July,Qtr 3,2021,5
August,Qtr 3,2021,9
September,Qtr 3,2021,7
October,Qtr 4,2021,9
November,Qtr 4,2021,6
December,Qtr 4,2021,3
January,Qtr 1,2022,6
February,Qtr 1,2022,8
March,Qtr 1,2022,4
April,Qtr 2,2022,91235.8
May,Qtr 2,2022,23858.6
June,Qtr 2,2022,50680.5
July,Qtr 3,2022,12875.1
August,Qtr 3,2022,67781
September,Qtr 3,2022,8891.07
October,Qtr 4,2022,60804.93
November,Qtr 4,2022,40697.68
December,Qtr 4,2022,66811.99
January,Qtr 1,2023,67857.13
February,Qtr 1,2023,99399.31
March,Qtr 1,2023,74530.98
April,Qtr 2,2023,35387.7
May,Qtr 2,2023,51476.41
June,Qtr 2,2023,408385.11
July,Qtr 3,2023,355308.3
August,Qtr 3,2023,141295.6
September,Qtr 3,2023,289540.06
October,Qtr 4,2023,329998.21
November,Qtr 4,2023,993175.29
December,Qtr 4,2023,736835.41
January,Qtr 1,2024,561783.55
February,Qtr 1,2024,40231.27
March,Qtr 1,2024,663470.56
April,Qtr 2,2024,841676.42
May,Qtr 2,2024,143554.78
June,Qtr 2,2024,866480.08
July,Qtr 3,2024,380435.88
August,Qtr 3,2024,197140.33
September,Qtr 3,2024,487495.78
October,Qtr 4,2024,323064.67
November,Qtr 4,2024,372987.3
December,Qtr 4,2024,624838.04
January,Qtr 1,2020,4
February,Qtr 1,2020,5
March,Qtr 1,2020,5
April,Qtr 2,2020,5
May,Qtr 2,2020,6
June,Qtr 2,2020,4
July,Qtr 3,2020,8
August,Qtr 3,2020,5
September,Qtr 3,2020,8
October,Qtr 4,2020,7
November,Qtr 4,2020,1
December,Qtr 4,2020,4
January,Qtr 1,2021,7
February,Qtr 1,2021,8
March,Qtr 1,2021,5
April,Qtr 2,2021,7
May,Qtr 2,2021,5
June,Qtr 2,2021,7
July,Qtr 3,2021,3
August,Qtr 3,2021,9
September,Qtr 3,2021,0
October,Qtr 4,2021,3
November,Qtr 4,2021,7
December,Qtr 4,2021,6
January,Qtr 1,2022,6
February,Qtr 1,2022,2
March,Qtr 1,2022,4
April,Qtr 2,2022,8
May,Qtr 2,2022,2
June,Qtr 2,2022,5
July,Qtr 3,2022,7
August,Qtr 3,2022,5
September,Qtr 3,2022,2
October,Qtr 4,2022,6
November,Qtr 4,2022,6
December,Qtr 4,2022,5
January,Qtr 1,2023,4
February,Qtr 1,2023,2289.47
March,Qtr 1,2023,88.83
April,Qtr 2,2023,1981.81
May,Qtr 2,2023,7378.73
June,Qtr 2,2023,5619.17
July,Qtr 3,2023,7992.67
August,Qtr 3,2023,3245.51
September,Qtr 3,2023,7451.19
October,Qtr 4,2023,67682.67
November,Qtr 4,2023,70813.85
December,Qtr 4,2023,20559.34
January,Qtr 1,2024,173785.63
February,Qtr 1,2024,32408.9
March,Qtr 1,2024,42222.2
April,Qtr 2,2024,67481.07
May,Qtr 2,2024,52311.18
June,Qtr 2,2024,90031.61
July,Qtr 3,2024,73084.07
August,Qtr 3,2024,17490.65
September,Qtr 3,2024,46449.18
October,Qtr 4,2024,24799.92
November,Qtr 4,2024,86396.64
December,Qtr 4,2024,84770.02
January,Qtr 1,2020,5
February,Qtr 1,2020,9
March,Qtr 1,2020,2
April,Qtr 2,2020,5
May,Qtr 2,2020,9
June,Qtr 2,2020,8
July,Qtr 3,2020,6
August,Qtr 3,2020,9
September,Qtr 3,2020,7
October,Qtr 4,2020,3
November,Qtr 4,2020,4
December,Qtr 4,2020,0
January,Qtr 1,2021,0
February,Qtr 1,2021,7
March,Qtr 1,2021,8
April,Qtr 2,2021,7
May,Qtr 2,2021,9
June,Qtr 2,2021,0
July,Qtr 3,2021,4
August,Qtr 3,2021,2
September,Qtr 3,2021,5
October,Qtr 4,2021,1
November,Qtr 4,2021,4
December,Qtr 4,2021,7
January,Qtr 1,2022,3
February,Qtr 1,2022,9
March,Qtr 1,2022,7
April,Qtr 2,2022,2
May,Qtr 2,2022,4
June,Qtr 2,2022,3
July,Qtr 3,2022,3
August,Qtr 3,2022,1
September,Qtr 3,2022,1
October,Qtr 4,2022,6
November,Qtr 4,2022,8
December,Qtr 4,2022,4
January,Qtr 1,2023,46366.77
February,Qtr 1,2023,73987.86
March,Qtr 1,2023,21412.44
April,Qtr 2,2023,59410.05
May,Qtr 2,2023,60133.05
June,Qtr 2,2023,55505.19
July,Qtr 3,2023,78935.05
August,Qtr 3,2023,48495.8
September,Qtr 3,2023,15813.61
October,Qtr 4,2023,66537.35
November,Qtr 4,2023,21179.84
December,Qtr 4,2023,88942.26
January,Qtr 1,2024,825197.88
February,Qtr 1,2024,67009.97
March,Qtr 1,2024,21798.7
April,Qtr 2,2024,98996.93
May,Qtr 2,2024,68315.3
June,Qtr 2,2024,12104.95
July,Qtr 3,2024,71685.41
August,Qtr 3,2024,93143.46
September,Qtr 3,2024,11766.58
October,Qtr 4,2024,84812.63
November,Qtr 4,2024,95539.11
December,Qtr 4,2024,40537.31
January,Qtr 1,2020,1
February,Qtr 1,2020,6
March,Qtr 1,2020,9
April,Qtr 2,2020,2
May,Qtr 2,2020,0
June,Qtr 2,2020,8
July,Qtr 3,2020,8
August,Qtr 3,2020,3
September,Qtr 3,2020,9
October,Qtr 4,2020,6
November,Qtr 4,2020,7
December,Qtr 4,2020,0
January,Qtr 1,2021,2
February,Qtr 1,2021,3
March,Qtr 1,2021,6
April,Qtr 2,2021,0
May,Qtr 2,2021,8
June,Qtr 2,2021,3
July,Qtr 3,2021,8
August,Qtr 3,2021,8
September,Qtr 3,2021,3
October,Qtr 4,2021,0
November,Qtr 4,2021,5
December,Qtr 4,2021,2
January,Qtr 1,2022,6
February,Qtr 1,2022,2
March,Qtr 1,2022,2
April,Qtr 2,2022,1
May,Qtr 2,2022,6933
June,Qtr 2,2022,2567
July,Qtr 3,2022,5304
August,Qtr 3,2022,7972
September,Qtr 3,2022,9015
October,Qtr 4,2022,6053
November,Qtr 4,2022,785
December,Qtr 4,2022,6195
January,Qtr 1,2023,72525.44
February,Qtr 1,2023,83811.3
March,Qtr 1,2023,56600.8
April,Qtr 2,2023,39656.86
May,Qtr 2,2023,169209.72
June,Qtr 2,2023,264888.96
July,Qtr 3,2023,84866.69
August,Qtr 3,2023,813046.1
September,Qtr 3,2023,995003.78
October,Qtr 4,2023,179156.44
November,Qtr 4,2023,100417.4
December,Qtr 4,2023,119658.04
January,Qtr 1,2024,1124009.87
February,Qtr 1,2024,38394.21
March,Qtr 1,2024,2820553.3
April,Qtr 2,2024,7911755
May,Qtr 2,2024,9200102
June,Qtr 2,2024,3052851
July,Qtr 3,2024,1502358
August,Qtr 3,2024,8787848
September,Qtr 3,2024,2440995
October,Qtr 4,2024,2194072
November,Qtr 4,2024,5915821
December,Qtr 4,2024,9410074
January,Qtr 1,2020,6
February,Qtr 1,2020,7
March,Qtr 1,2020,1
April,Qtr 2,2020,8
May,Qtr 2,2020,0
June,Qtr 2,2020,5
July,Qtr 3,2020,6
August,Qtr 3,2020,8
September,Qtr 3,2020,3
October,Qtr 4,2020,9
November,Qtr 4,2020,9
December,Qtr 4,2020,4
January,Qtr 1,2021,7
February,Qtr 1,2021,7
March,Qtr 1,2021,9
April,Qtr 2,2021,3
May,Qtr 2,2021,7
June,Qtr 2,2021,9
July,Qtr 3,2021,7
August,Qtr 3,2021,0
September,Qtr 3,2021,4
October,Qtr 4,2021,5
November,Qtr 4,2021,8
December,Qtr 4,2021,7
January,Qtr 1,2022,2
February,Qtr 1,2022,7
March,Qtr 1,2022,4
April,Qtr 2,2022,5
May,Qtr 2,2022,9330.5
June,Qtr 2,2022,3098.1
July,Qtr 3,2022,8002.13
August,Qtr 3,2022,4895.99
September,Qtr 3,2022,2389.64
October,Qtr 4,2022,407.94
November,Qtr 4,2022,6718.55
December,Qtr 4,2022,6929.52
January,Qtr 1,2023,6953.2
February,Qtr 1,2023,6531.36
March,Qtr 1,2023,5854.71
April,Qtr 2,2023,9225.7
May,Qtr 2,2023,455.42
June,Qtr 2,2023,5277.55
July,Qtr 3,2023,1893.8
August,Qtr 3,2023,2192.47
September,Qtr 3,2023,2944.2
October,Qtr 4,2023,8365.41
November,Qtr 4,2023,6740.17
December,Qtr 4,2023,5813.95
January,Qtr 1,2024,94317.74
February,Qtr 1,2024,8289.19
March,Qtr 1,2024,695.99
April,Qtr 2,2024,3129.18
May,Qtr 2,2024,2469.38
June,Qtr 2,2024,5318.21
July,Qtr 3,2024,7725.12
August,Qtr 3,2024,2787.2
September,Qtr 3,2024,1173.49
October,Qtr 4,2024,1981.51
November,Qtr 4,2024,8669
December,Qtr 4,2024,2818.69
January,Qtr 1,2020,8
February,Qtr 1,2020,6
March,Qtr 1,2020,5
April,Qtr 2,2020,3
May,Qtr 2,2020,1
June,Qtr 2,2020,7
July,Qtr 3,2020,9
August,Qtr 3,2020,6
September,Qtr 3,2020,6
October,Qtr 4,2020,3
November,Qtr 4,2020,9
December,Qtr 4,2020,4
January,Qtr 1,2021,3
February,Qtr 1,2021,6
March,Qtr 1,2021,6
April,Qtr 2,2021,5
May,Qtr 2,2021,8
June,Qtr 2,2021,1
July,Qtr 3,2021,9
August,Qtr 3,2021,5
September,Qtr 3,2021,1
October,Qtr 4,2021,9
November,Qtr 4,2021,5
December,Qtr 4,2021,4
January,Qtr 1,2022,6
February,Qtr 1,2022,3
March,Qtr 1,2022,3
April,Qtr 2,2022,6
May,Qtr 2,2022,1
June,Qtr 2,2022,0
July,Qtr 3,2022,4
August,Qtr 3,2022,9
September,Qtr 3,2022,7
October,Qtr 4,2022,3
November,Qtr 4,2022,6
December,Qtr 4,2022,9
January,Qtr 1,2023,4
February,Qtr 1,2023,3
March,Qtr 1,2023,6
April,Qtr 2,2023,0
May,Qtr 2,2023,9
June,Qtr 2,2023,8
July,Qtr 3,2023,9
August,Qtr 3,2023,1
September,Qtr 3,2023,2
October,Qtr 4,2023,3
November,Qtr 4,2023,4204
December,Qtr 4,2023,9554
January,Qtr 1,2024,83037
February,Qtr 1,2024,6520
March,Qtr 1,2024,9493
April,Qtr 2,2024,519
May,Qtr 2,2024,6359
June,Qtr 2,2024,9355
July,Qtr 3,2024,4205
August,Qtr 3,2024,8451
September,Qtr 3,2024,6266
October,Qtr 4,2024,8821
November,Qtr 4,2024,5815
December,Qtr 4,2024,5663
January,Qtr 1,2020,9
February,Qtr 1,2020,7
March,Qtr 1,2020,2
April,Qtr 2,2020,2
May,Qtr 2,2020,4
June,Qtr 2,2020,6
July,Qtr 3,2020,0
August,Qtr 3,2020,9
September,Qtr 3,2020,6
October,Qtr 4,2020,3
November,Qtr 4,2020,3
December,Qtr 4,2020,7
January,Qtr 1,2021,9
February,Qtr 1,2021,9
March,Qtr 1,2021,2
April,Qtr 2,2021,5
May,Qtr 2,2021,1
June,Qtr 2,2021,5
July,Qtr 3,2021,7
August,Qtr 3,2021,6
September,Qtr 3,2021,8
October,Qtr 4,2021,9
November,Qtr 4,2021,2
December,Qtr 4,2021,8
January,Qtr 1,2022,9
February,Qtr 1,2022,7
March,Qtr 1,2022,6
April,Qtr 2,2022,9
May,Qtr 2,2022,5
June,Qtr 2,2022,7
July,Qtr 3,2022,5
August,Qtr 3,2022,9
September,Qtr 3,2022,4
October,Qtr 4,2022,3987.29
November,Qtr 4,2022,7852
December,Qtr 4,2022,2474.71
January,Qtr 1,2023,4352.32
February,Qtr 1,2023,6516.9
March,Qtr 1,2023,7760.58
April,Qtr 2,2023,9932.88
May,Qtr 2,2023,1870.67
June,Qtr 2,2023,4724.21
July,Qtr 3,2023,5229.7
August,Qtr 3,2023,3816.38
September,Qtr 3,2023,5274.6
October,Qtr 4,2023,5087.82
November,Qtr 4,2023,2881.66
December,Qtr 4,2023,7677.68
January,Qtr 1,2024,72722.65
February,Qtr 1,2024,7641.89
March,Qtr 1,2024,1842.19
April,Qtr 2,2024,6284.8
May,Qtr 2,2024,571.43
June,Qtr 2,2024,8455.31
July,Qtr 3,2024,4952.94
August,Qtr 3,2024,623.5
September,Qtr 3,2024,1605.88
October,Qtr 4,2024,5934.34
November,Qtr 4,2024,214.51
December,Qtr 4,2024,5242.13
January,Qtr 1,2020,0
February,Qtr 1,2020,9
March,Qtr 1,2020,0
April,Qtr 2,2020,3
May,Qtr 2,2020,5
June,Qtr 2,2020,6
July,Qtr 3,2020,7
August,Qtr 3,2020,8
September,Qtr 3,2020,3
October,Qtr 4,2020,8
November,Qtr 4,2020,5
December,Qtr 4,2020,9
January,Qtr 1,2021,3
February,Qtr 1,2021,3
March,Qtr 1,2021,8
April,Qtr 2,2021,6
May,Qtr 2,2021,1
June,Qtr 2,2021,4
July,Qtr 3,2021,0
August,Qtr 3,2021,7
September,Qtr 3,2021,1
October,Qtr 4,2021,6
November,Qtr 4,2021,7
December,Qtr 4,2021,4
January,Qtr 1,2022,8
February,Qtr 1,2022,4
March,Qtr 1,2022,5
April,Qtr 2,2022,0
May,Qtr 2,2022,4
June,Qtr 2,2022,3
July,Qtr 3,2022,5
August,Qtr 3,2022,3724.96
September,Qtr 3,2022,214.3
October,Qtr 4,2022,206.27
November,Qtr 4,2022,6456.53
December,Qtr 4,2022,6978.19
January,Qtr 1,2023,6721.4
February,Qtr 1,2023,5545.77
March,Qtr 1,2023,5838.23
April,Qtr 2,2023,4711.37
May,Qtr 2,2023,9142.7
June,Qtr 2,2023,9602.49
July,Qtr 3,2023,74178.85
August,Qtr 3,2023,82827
September,Qtr 3,2023,85446.36
October,Qtr 4,2023,53102.67
November,Qtr 4,2023,9033.58
December,Qtr 4,2023,21945.44
January,Qtr 1,2024,4683.4
February,Qtr 1,2024,80577.86
March,Qtr 1,2024,6003.49
April,Qtr 2,2024,53690.04
May,Qtr 2,2024,75095.62
June,Qtr 2,2024,91315.19
July,Qtr 3,2024,38120.15
August,Qtr 3,2024,2175.4
September,Qtr 3,2024,336.86
October,Qtr 4,2024,29795.99
November,Qtr 4,2024,78673.72
December,Qtr 4,2024,4803.22
January,Qtr 1,2020,8
February,Qtr 1,2020,1
March,Qtr 1,2020,5
April,Qtr 2,2020,8
May,Qtr 2,2020,5
June,Qtr 2,2020,1
July,Qtr 3,2020,5
August,Qtr 3,2020,4
September,Qtr 3,2020,0
October,Qtr 4,2020,1
November,Qtr 4,2020,9
December,Qtr 4,2020,2
January,Qtr 1,2021,1
February,Qtr 1,2021,7
March,Qtr 1,2021,5
April,Qtr 2,2021,9
May,Qtr 2,2021,0
June,Qtr 2,2021,6
July,Qtr 3,2021,5
August,Qtr 3,2021,0
September,Qtr 3,2021,9
October,Qtr 4,2021,1
November,Qtr 4,2021,4
December,Qtr 4,2021,3
January,Qtr 1,2022,5
February,Qtr 1,2022,6
March,Qtr 1,2022,9
April,Qtr 2,2022,9
May,Qtr 2,2022,8
June,Qtr 2,2022,8
July,Qtr 3,2022,6
August,Qtr 3,2022,2
September,Qtr 3,2022,8
October,Qtr 4,2022,9
November,Qtr 4,2022,0
December,Qtr 4,2022,9
January,Qtr 1,2023,1
February,Qtr 1,2023,7013
March,Qtr 1,2023,7
April,Qtr 2,2023,8
May,Qtr 2,2023,0
June,Qtr 2,2023,3
July,Qtr 3,2023,0
August,Qtr 3,2023,7
September,Qtr 3,2023,4
October,Qtr 4,2023,3
November,Qtr 4,2023,4
December,Qtr 4,2023,9
January,Qtr 1,2024,9818.16
February,Qtr 1,2024,5016.81
March,Qtr 1,2024,2930.89
April,Qtr 2,2024,1308.89
May,Qtr 2,2024,7136.97
June,Qtr 2,2024,9392.67
July,Qtr 3,2024,2221.38
August,Qtr 3,2024,6290.25
September,Qtr 3,2024,1189.83
October,Qtr 4,2024,3834.15
November,Qtr 4,2024,812.89
December,Qtr 4,2024,3247.96
January,Qtr 1,2020,2
February,Qtr 1,2020,5
March,Qtr 1,2020,4
April,Qtr 2,2020,5
May,Qtr 2,2020,7
June,Qtr 2,2020,7
July,Qtr 3,2020,1
August,Qtr 3,2020,0
September,Qtr 3,2020,3
October,Qtr 4,2020,1
November,Qtr 4,2020,9
December,Qtr 4,2020,6
January,Qtr 1,2021,8
February,Qtr 1,2021,8
March,Qtr 1,2021,3
April,Qtr 2,2021,2
May,Qtr 2,2021,6
June,Qtr 2,2021,0
July,Qtr 3,2021,3
August,Qtr 3,2021,3
September,Qtr 3,2021,8
October,Qtr 4,2021,3
November,Qtr 4,2021,6
December,Qtr 4,2021,6
January,Qtr 1,2022,0
February,Qtr 1,2022,0
March,Qtr 1,2022,2
April,Qtr 2,2022,6
May,Qtr 2,2022,9
June,Qtr 2,2022,2
July,Qtr 3,2022,6
August,Qtr 3,2022,1
September,Qtr 3,2022,5
October,Qtr 4,2022,2
November,Qtr 4,2022,0
December,Qtr 4,2022,6
January,Qtr 1,2023,36.69
February,Qtr 1,2023,20.28
March,Qtr 1,2023,423.66
April,Qtr 2,2023,930.54
May,Qtr 2,2023,348.5
June,Qtr 2,2023,99.8
July,Qtr 3,2023,738.76
August,Qtr 3,2023,326.41
September,Qtr 3,2023,410.44
October,Qtr 4,2023,173.08
November,Qtr 4,2023,872.7
December,Qtr 4,2023,317.6
January,Qtr 1,2024,8141.01
February,Qtr 1,2024,916.01
March,Qtr 1,2024,973.1
April,Qtr 2,2024,112.49
May,Qtr 2,2024,379.71
June,Qtr 2,2024,5.52
July,Qtr 3,2024,769.94
August,Qtr 3,2024,51.46
September,Qtr 3,2024,77.82
October,Qtr 4,2024,800.37
November,Qtr 4,2024,579.96
December,Qtr 4,2024,314.62
January,Qtr 1,2020,8
February,Qtr 1,2020,1
March,Qtr 1,2020,0
April,Qtr 2,2020,0
May,Qtr 2,2020,2
