Superstore 2023.Region,Superstore 2023.Category,Superstore 2023.Sub-Category,Superstore 2023.Order Date,Superstore 2023.ProfitM,Sum(Superstore 2023.Sales)
West,Office Supplies,Labels,15 October 2023,77.4367,167.38
Central,Office Supplies,Labels,19 October 2023,,
East,Office Supplies,Labels,19 October 2023,,
South,Office Supplies,Labels,19 October 2023,,
West,Office Supplies,Labels,19 October 2023,15.12,31.5
Central,Office Supplies,Labels,20 October 2023,,
East,Office Supplies,Labels,20 October 2023,12.0295,24.55
South,Office Supplies,Labels,20 October 2023,,
West,Office Supplies,Labels,20 October 2023,1.8,3.75
Central,Office Supplies,Labels,26 October 2023,2.9568,6.16
East,Office Supplies,Labels,26 October 2023,4.9815,14.76
South,Office Supplies,Labels,26 October 2023,,
West,Office Supplies,Labels,26 October 2023,,
Central,Office Supplies,Labels,28 October 2023,,
East,Office Supplies,Labels,28 October 2023,10.3071,21.93
South,Office Supplies,Labels,28 October 2023,,
West,Office Supplies,Labels,28 October 2023,,
Central,Office Supplies,Labels,30 October 2023,,
East,Office Supplies,Labels,30 October 2023,,
South,Office Supplies,Labels,30 October 2023,14.4,30
West,Office Supplies,Labels,30 October 2023,20.6142,43.86
Central,Office Supplies,Labels,03 November 2023,6.8724,14.94
East,Office Supplies,Labels,03 November 2023,,
South,Office Supplies,Labels,03 November 2023,5.6994,12.39
West,Office Supplies,Labels,03 November 2023,,
Central,Office Supplies,Labels,04 November 2023,8.88,23.68
East,Office Supplies,Labels,04 November 2023,,
South,Office Supplies,Labels,04 November 2023,1.7248,4.928
West,Office Supplies,Labels,04 November 2023,,
Central,Office Supplies,Labels,06 November 2023,,
East,Office Supplies,Labels,06 November 2023,,
South,Office Supplies,Labels,06 November 2023,,
West,Office Supplies,Labels,06 November 2023,19.872,41.4
Central,Office Supplies,Labels,11 November 2023,3.393,10.44
East,Office Supplies,Labels,11 November 2023,,
South,Office Supplies,Labels,11 November 2023,,
West,Office Supplies,Labels,11 November 2023,,
Central,Office Supplies,Labels,12 November 2023,,
East,Office Supplies,Labels,12 November 2023,,
South,Office Supplies,Labels,12 November 2023,,
West,Office Supplies,Labels,12 November 2023,4.5816,9.96
Central,Office Supplies,Labels,13 November 2023,,
East,Office Supplies,Labels,13 November 2023,,
South,Office Supplies,Labels,13 November 2023,,
West,Office Supplies,Labels,13 November 2023,4.2336,8.64
Central,Office Supplies,Labels,18 November 2023,3.4686,7.38
East,Office Supplies,Labels,18 November 2023,,
South,Office Supplies,Labels,18 November 2023,,
West,Office Supplies,Labels,18 November 2023,,
Central,Office Supplies,Labels,23 November 2023,4.176,11.52
East,Office Supplies,Labels,23 November 2023,,
South,Office Supplies,Labels,23 November 2023,,
West,Office Supplies,Labels,23 November 2023,,
Central,Office Supplies,Labels,28 November 2023,,
East,Office Supplies,Labels,28 November 2023,,
South,Office Supplies,Labels,28 November 2023,,
West,Office Supplies,Labels,28 November 2023,29.4455,62.65
Central,Office Supplies,Labels,01 December 2023,,
East,Office Supplies,Labels,01 December 2023,5.1792,15.936
South,Office Supplies,Labels,01 December 2023,,
West,Office Supplies,Labels,01 December 2023,,
Central,Office Supplies,Labels,03 December 2023,,
East,Office Supplies,Labels,03 December 2023,1.512,3.15
South,Office Supplies,Labels,03 December 2023,,
West,Office Supplies,Labels,03 December 2023,,
Central,Office Supplies,Labels,05 December 2023,,
East,Office Supplies,Labels,05 December 2023,9.7389,20.52
South,Office Supplies,Labels,05 December 2023,,
West,Office Supplies,Labels,05 December 2023,,
Central,Office Supplies,Labels,08 December 2023,28.0876,61.06
East,Office Supplies,Labels,08 December 2023,,
South,Office Supplies,Labels,08 December 2023,,
West,Office Supplies,Labels,08 December 2023,13.608,28.35
Central,Office Supplies,Labels,09 December 2023,,
East,Office Supplies,Labels,09 December 2023,,
South,Office Supplies,Labels,09 December 2023,2.6496,5.76
West,Office Supplies,Labels,09 December 2023,,
Central,Office Supplies,Labels,13 December 2023,,
East,Office Supplies,Labels,13 December 2023,,
South,Office Supplies,Labels,13 December 2023,,
West,Office Supplies,Labels,13 December 2023,4.2336,8.64
Central,Office Supplies,Labels,16 December 2023,,
East,Office Supplies,Labels,16 December 2023,,
South,Office Supplies,Labels,16 December 2023,,
West,Office Supplies,Labels,16 December 2023,22.2,44.4
Central,Office Supplies,Labels,22 December 2023,,
East,Office Supplies,Labels,22 December 2023,,
South,Office Supplies,Labels,22 December 2023,,
West,Office Supplies,Labels,22 December 2023,8.6715,18.45
Central,Office Supplies,Labels,28 December 2023,,
East,Office Supplies,Labels,28 December 2023,34.776,72.45
South,Office Supplies,Labels,28 December 2023,,
West,Office Supplies,Labels,28 December 2023,,
Central,Office Supplies,Paper,03 January 2020,5.5512,16.448
East,Office Supplies,Paper,03 January 2020,,
South,Office Supplies,Paper,03 January 2020,,
West,Office Supplies,Paper,03 January 2020,,
Central,Office Supplies,Paper,06 January 2020,,
East,Office Supplies,Paper,06 January 2020,,
South,Office Supplies,Paper,06 January 2020,3.0084,6.54
West,Office Supplies,Paper,06 January 2020,9.3312,19.44
Central,Office Supplies,Paper,13 January 2020,,
East,Office Supplies,Paper,13 January 2020,13.0928,37.408
South,Office Supplies,Paper,13 January 2020,,
West,Office Supplies,Paper,13 January 2020,,
Central,Office Supplies,Paper,19 January 2020,,
East,Office Supplies,Paper,19 January 2020,,
South,Office Supplies,Paper,19 January 2020,,
West,Office Supplies,Paper,19 January 2020,19.6224,56.064
Central,Office Supplies,Paper,20 January 2020,,
East,Office Supplies,Paper,20 January 2020,,
South,Office Supplies,Paper,20 January 2020,,
West,Office Supplies,Paper,20 January 2020,9.2928,19.36
Central,Office Supplies,Paper,23 January 2020,,
East,Office Supplies,Paper,23 January 2020,,
South,Office Supplies,Paper,23 January 2020,,
West,Office Supplies,Paper,23 January 2020,19.2384,40.08
Central,Office Supplies,Paper,26 January 2020,,
East,Office Supplies,Paper,26 January 2020,,
South,Office Supplies,Paper,26 January 2020,17.6712,36.12
West,Office Supplies,Paper,26 January 2020,,
Central,Office Supplies,Paper,30 January 2020,4.752,10.56
East,Office Supplies,Paper,30 January 2020,,
South,Office Supplies,Paper,30 January 2020,,
West,Office Supplies,Paper,30 January 2020,,
Central,Office Supplies,Paper,04 February 2020,,
East,Office Supplies,Paper,04 February 2020,,
South,Office Supplies,Paper,04 February 2020,,
West,Office Supplies,Paper,04 February 2020,16.0928,34.24
Central,Office Supplies,Paper,14 February 2020,6.066,16.176
East,Office Supplies,Paper,14 February 2020,,
South,Office Supplies,Paper,14 February 2020,,
West,Office Supplies,Paper,14 February 2020,,
Central,Office Supplies,Paper,20 February 2020,,
East,Office Supplies,Paper,20 February 2020,,
South,Office Supplies,Paper,20 February 2020,,
West,Office Supplies,Paper,20 February 2020,6.2208,12.96
Central,Office Supplies,Paper,22 February 2020,,
East,Office Supplies,Paper,22 February 2020,,
South,Office Supplies,Paper,22 February 2020,,
West,Office Supplies,Paper,22 February 2020,9.3312,19.44
Central,Office Supplies,Paper,24 February 2020,,
East,Office Supplies,Paper,24 February 2020,,
South,Office Supplies,Paper,24 February 2020,,
West,Office Supplies,Paper,24 February 2020,18.7893,55.672
Central,Office Supplies,Paper,01 March 2020,5.6784,17.472
East,Office Supplies,Paper,01 March 2020,,
South,Office Supplies,Paper,01 March 2020,,
West,Office Supplies,Paper,01 March 2020,,
Central,Office Supplies,Paper,02 March 2020,,
East,Office Supplies,Paper,02 March 2020,18.542,39.824
South,Office Supplies,Paper,02 March 2020,,
West,Office Supplies,Paper,02 March 2020,,
Central,Office Supplies,Paper,05 March 2020,,
East,Office Supplies,Paper,05 March 2020,45.9754,97.82
South,Office Supplies,Paper,05 March 2020,,
West,Office Supplies,Paper,05 March 2020,,
Central,Office Supplies,Paper,10 March 2020,10.7424,22.38
East,Office Supplies,Paper,10 March 2020,,
South,Office Supplies,Paper,10 March 2020,,
West,Office Supplies,Paper,10 March 2020,,
Central,Office Supplies,Paper,11 March 2020,,
East,Office Supplies,Paper,11 March 2020,49.014,108.92
South,Office Supplies,Paper,11 March 2020,7.0218,14.94
West,Office Supplies,Paper,11 March 2020,,
Central,Office Supplies,Paper,14 March 2020,2.64,8.448
East,Office Supplies,Paper,14 March 2020,,
South,Office Supplies,Paper,14 March 2020,31.8696,91.056
West,Office Supplies,Paper,14 March 2020,4.752,10.56
Central,Office Supplies,Paper,15 March 2020,,
East,Office Supplies,Paper,15 March 2020,,
South,Office Supplies,Paper,15 March 2020,47.8152,131.904
West,Office Supplies,Paper,15 March 2020,,
Central,Office Supplies,Paper,17 March 2020,30.9124,67.916
East,Office Supplies,Paper,17 March 2020,133.5066,316.524
South,Office Supplies,Paper,17 March 2020,14.0304,28.96
West,Office Supplies,Paper,17 March 2020,,
Central,Office Supplies,Paper,18 March 2020,,
East,Office Supplies,Paper,18 March 2020,,
South,Office Supplies,Paper,18 March 2020,7.4816,21.376
West,Office Supplies,Paper,18 March 2020,,
Central,Office Supplies,Paper,21 March 2020,,
East,Office Supplies,Paper,21 March 2020,,
South,Office Supplies,Paper,21 March 2020,60.2553,122.97
West,Office Supplies,Paper,21 March 2020,,
Central,Office Supplies,Paper,22 March 2020,,
East,Office Supplies,Paper,22 March 2020,,
South,Office Supplies,Paper,22 March 2020,,
West,Office Supplies,Paper,22 March 2020,23.235,74.352
Central,Office Supplies,Paper,24 March 2020,,
East,Office Supplies,Paper,24 March 2020,11.703,24.9
South,Office Supplies,Paper,24 March 2020,,
West,Office Supplies,Paper,24 March 2020,,
Central,Office Supplies,Paper,02 April 2020,19.817,60.208
East,Office Supplies,Paper,02 April 2020,,
South,Office Supplies,Paper,02 April 2020,7.128,15.84
West,Office Supplies,Paper,02 April 2020,,
Central,Office Supplies,Paper,04 April 2020,,
East,Office Supplies,Paper,04 April 2020,,
South,Office Supplies,Paper,04 April 2020,15.6816,32.4
West,Office Supplies,Paper,04 April 2020,,
Central,Office Supplies,Paper,05 April 2020,,
East,Office Supplies,Paper,05 April 2020,26.6304,55.48
South,Office Supplies,Paper,05 April 2020,6.3504,12.96
West,Office Supplies,Paper,05 April 2020,,
Central,Office Supplies,Paper,06 April 2020,,
East,Office Supplies,Paper,06 April 2020,,
South,Office Supplies,Paper,06 April 2020,,
West,Office Supplies,Paper,06 April 2020,35.9616,74.92
Central,Office Supplies,Paper,07 April 2020,,
East,Office Supplies,Paper,07 April 2020,,
South,Office Supplies,Paper,07 April 2020,88.2489,181.29
West,Office Supplies,Paper,07 April 2020,,
Central,Office Supplies,Paper,08 April 2020,,
East,Office Supplies,Paper,08 April 2020,,
South,Office Supplies,Paper,08 April 2020,,
West,Office Supplies,Paper,08 April 2020,6.8904,19.008
Central,Office Supplies,Paper,11 April 2020,,
East,Office Supplies,Paper,11 April 2020,,
South,Office Supplies,Paper,11 April 2020,3.6288,10.368
West,Office Supplies,Paper,11 April 2020,,
Central,Office Supplies,Paper,12 April 2020,15.552,32.4
East,Office Supplies,Paper,12 April 2020,,
South,Office Supplies,Paper,12 April 2020,,
West,Office Supplies,Paper,12 April 2020,,
Central,Office Supplies,Paper,19 April 2020,,
East,Office Supplies,Paper,19 April 2020,,
South,Office Supplies,Paper,19 April 2020,34.2144,71.28
West,Office Supplies,Paper,19 April 2020,,
Central,Office Supplies,Paper,23 April 2020,,
East,Office Supplies,Paper,23 April 2020,,
South,Office Supplies,Paper,23 April 2020,,
West,Office Supplies,Paper,23 April 2020,22.9877,48.91
Central,Office Supplies,Paper,25 April 2020,3.6288,10.368
East,Office Supplies,Paper,25 April 2020,,
South,Office Supplies,Paper,25 April 2020,,
West,Office Supplies,Paper,25 April 2020,,
Central,Office Supplies,Paper,05 May 2020,,
East,Office Supplies,Paper,05 May 2020,,
South,Office Supplies,Paper,05 May 2020,32.439,69.42
West,Office Supplies,Paper,05 May 2020,,
Central,Office Supplies,Paper,09 May 2020,,
East,Office Supplies,Paper,09 May 2020,,
South,Office Supplies,Paper,09 May 2020,21.7728,45.36
West,Office Supplies,Paper,09 May 2020,,
Central,Office Supplies,Paper,10 May 2020,,
East,Office Supplies,Paper,10 May 2020,,
South,Office Supplies,Paper,10 May 2020,,
West,Office Supplies,Paper,10 May 2020,19.1808,39.96
Central,Office Supplies,Paper,11 May 2020,5.6784,17.472
East,Office Supplies,Paper,11 May 2020,,
South,Office Supplies,Paper,11 May 2020,,
West,Office Supplies,Paper,11 May 2020,,
Central,Office Supplies,Paper,13 May 2020,,
East,Office Supplies,Paper,13 May 2020,,
South,Office Supplies,Paper,13 May 2020,,
West,Office Supplies,Paper,13 May 2020,3.84,8
Central,Office Supplies,Paper,18 May 2020,1.4442,3.984
East,Office Supplies,Paper,18 May 2020,5.7768,15.936
South,Office Supplies,Paper,18 May 2020,,
West,Office Supplies,Paper,18 May 2020,,
Central,Office Supplies,Paper,20 May 2020,3.6288,10.368
East,Office Supplies,Paper,20 May 2020,,
South,Office Supplies,Paper,20 May 2020,,
West,Office Supplies,Paper,20 May 2020,,
Central,Office Supplies,Paper,21 May 2020,1.6308,4.832
East,Office Supplies,Paper,21 May 2020,8.7906,17.94
South,Office Supplies,Paper,21 May 2020,,
West,Office Supplies,Paper,21 May 2020,,
Central,Office Supplies,Paper,23 May 2020,,
East,Office Supplies,Paper,23 May 2020,,
South,Office Supplies,Paper,23 May 2020,,
West,Office Supplies,Paper,23 May 2020,6.2208,12.96
Central,Office Supplies,Paper,24 May 2020,,
East,Office Supplies,Paper,24 May 2020,56.9772,116.28
South,Office Supplies,Paper,24 May 2020,,
West,Office Supplies,Paper,24 May 2020,,
Central,Office Supplies,Paper,25 May 2020,,
East,Office Supplies,Paper,25 May 2020,6.7252,14.62
South,Office Supplies,Paper,25 May 2020,,
West,Office Supplies,Paper,25 May 2020,,
Central,Office Supplies,Paper,26 May 2020,,
East,Office Supplies,Paper,26 May 2020,,
South,Office Supplies,Paper,26 May 2020,,
West,Office Supplies,Paper,26 May 2020,23.232,48.4
Central,Office Supplies,Paper,30 May 2020,,
East,Office Supplies,Paper,30 May 2020,17.982,39.96
South,Office Supplies,Paper,30 May 2020,6.129,13.62
West,Office Supplies,Paper,30 May 2020,,
Central,Office Supplies,Paper,01 June 2020,36.3816,73.8
East,Office Supplies,Paper,01 June 2020,,
South,Office Supplies,Paper,01 June 2020,,
West,Office Supplies,Paper,01 June 2020,,
Central,Office Supplies,Paper,04 June 2020,,
East,Office Supplies,Paper,04 June 2020,5.8812,16.224
South,Office Supplies,Paper,04 June 2020,,
West,Office Supplies,Paper,04 June 2020,,
Central,Office Supplies,Paper,06 June 2020,,
East,Office Supplies,Paper,06 June 2020,,
South,Office Supplies,Paper,06 June 2020,22.4808,62.016
West,Office Supplies,Paper,06 June 2020,,
Central,Office Supplies,Paper,09 June 2020,,
East,Office Supplies,Paper,09 June 2020,,
South,Office Supplies,Paper,09 June 2020,,
West,Office Supplies,Paper,09 June 2020,36.4044,79.14
Central,Office Supplies,Paper,15 June 2020,11.8768,36.544
East,Office Supplies,Paper,15 June 2020,,
South,Office Supplies,Paper,15 June 2020,,
West,Office Supplies,Paper,15 June 2020,,
Central,Office Supplies,Paper,17 June 2020,22.4808,62.016
East,Office Supplies,Paper,17 June 2020,,
South,Office Supplies,Paper,17 June 2020,,
West,Office Supplies,Paper,17 June 2020,,
Central,Office Supplies,Paper,20 June 2020,9.52,27.2
East,Office Supplies,Paper,20 June 2020,,
South,Office Supplies,Paper,20 June 2020,,
West,Office Supplies,Paper,20 June 2020,,
Central,Office Supplies,Paper,21 June 2020,,
East,Office Supplies,Paper,21 June 2020,9.039,19.65
South,Office Supplies,Paper,21 June 2020,,
West,Office Supplies,Paper,21 June 2020,,
Central,Office Supplies,Paper,28 June 2020,,
East,Office Supplies,Paper,28 June 2020,131.9472,376.992
South,Office Supplies,Paper,28 June 2020,,
West,Office Supplies,Paper,28 June 2020,,
Central,Office Supplies,Paper,30 June 2020,9.072,25.92
East,Office Supplies,Paper,30 June 2020,,
South,Office Supplies,Paper,30 June 2020,108.7408,310.688
West,Office Supplies,Paper,30 June 2020,,
Central,Office Supplies,Paper,04 July 2020,,
East,Office Supplies,Paper,04 July 2020,,
South,Office Supplies,Paper,04 July 2020,10.92,21.84
West,Office Supplies,Paper,04 July 2020,62.1376,177.536
Central,Office Supplies,Paper,05 July 2020,,
East,Office Supplies,Paper,05 July 2020,,
South,Office Supplies,Paper,05 July 2020,9.3312,19.44
West,Office Supplies,Paper,05 July 2020,,
Central,Office Supplies,Paper,09 July 2020,8.1138,24.72
East,Office Supplies,Paper,09 July 2020,,
South,Office Supplies,Paper,09 July 2020,,
West,Office Supplies,Paper,09 July 2020,15.552,32.4
Central,Office Supplies,Paper,11 July 2020,3.6288,10.368
East,Office Supplies,Paper,11 July 2020,106.3704,226.32
South,Office Supplies,Paper,11 July 2020,,
West,Office Supplies,Paper,11 July 2020,,
Central,Office Supplies,Paper,12 July 2020,18.609,51.888
East,Office Supplies,Paper,12 July 2020,,
South,Office Supplies,Paper,12 July 2020,,
West,Office Supplies,Paper,12 July 2020,,
Central,Office Supplies,Paper,20 July 2020,,
East,Office Supplies,Paper,20 July 2020,,
South,Office Supplies,Paper,20 July 2020,,
West,Office Supplies,Paper,20 July 2020,76.6793,159.56
Central,Office Supplies,Paper,25 July 2020,,
East,Office Supplies,Paper,25 July 2020,,
South,Office Supplies,Paper,25 July 2020,,
West,Office Supplies,Paper,25 July 2020,3.1752,6.48
Central,Office Supplies,Paper,27 July 2020,,
East,Office Supplies,Paper,27 July 2020,32.2322,65.78
South,Office Supplies,Paper,27 July 2020,,
West,Office Supplies,Paper,27 July 2020,,
Central,Office Supplies,Paper,01 August 2020,,
East,Office Supplies,Paper,01 August 2020,,
South,Office Supplies,Paper,01 August 2020,29.364,78.304
West,Office Supplies,Paper,01 August 2020,,
Central,Office Supplies,Paper,03 August 2020,,
East,Office Supplies,Paper,03 August 2020,18.7812,39.96
South,Office Supplies,Paper,03 August 2020,,
West,Office Supplies,Paper,03 August 2020,33.7212,93.024
Central,Office Supplies,Paper,04 August 2020,,
East,Office Supplies,Paper,04 August 2020,124.6752,259.74
South,Office Supplies,Paper,04 August 2020,,
West,Office Supplies,Paper,04 August 2020,219.4416,447.84
Central,Office Supplies,Paper,05 August 2020,,
East,Office Supplies,Paper,05 August 2020,,
South,Office Supplies,Paper,05 August 2020,,
West,Office Supplies,Paper,05 August 2020,63.1026,131.9
Central,Office Supplies,Paper,09 August 2020,,
East,Office Supplies,Paper,09 August 2020,,
South,Office Supplies,Paper,09 August 2020,5.4432,15.552
West,Office Supplies,Paper,09 August 2020,2.691,5.98
Central,Office Supplies,Paper,12 August 2020,,
East,Office Supplies,Paper,12 August 2020,,
South,Office Supplies,Paper,12 August 2020,10.8864,31.104
West,Office Supplies,Paper,12 August 2020,,
Central,Office Supplies,Paper,15 August 2020,,
East,Office Supplies,Paper,15 August 2020,,
South,Office Supplies,Paper,15 August 2020,29.692,91.36
West,Office Supplies,Paper,15 August 2020,41.823,92.94
Central,Office Supplies,Paper,17 August 2020,5.4432,15.552
East,Office Supplies,Paper,17 August 2020,,
South,Office Supplies,Paper,17 August 2020,52.532,114.2
West,Office Supplies,Paper,17 August 2020,,
Central,Office Supplies,Paper,20 August 2020,,
East,Office Supplies,Paper,20 August 2020,,
South,Office Supplies,Paper,20 August 2020,9.2552,20.12
West,Office Supplies,Paper,20 August 2020,,
Central,Office Supplies,Paper,22 August 2020,5.6644,11.56
East,Office Supplies,Paper,22 August 2020,,
South,Office Supplies,Paper,22 August 2020,,
West,Office Supplies,Paper,22 August 2020,,
Central,Office Supplies,Paper,23 August 2020,9.5256,19.44
East,Office Supplies,Paper,23 August 2020,34.9424,71.84
South,Office Supplies,Paper,23 August 2020,,
West,Office Supplies,Paper,23 August 2020,86.0346,269.712
Central,Office Supplies,Paper,25 August 2020,,
East,Office Supplies,Paper,25 August 2020,7.4925,23.976
South,Office Supplies,Paper,25 August 2020,,
West,Office Supplies,Paper,25 August 2020,12.4416,25.92
Central,Office Supplies,Paper,26 August 2020,,
East,Office Supplies,Paper,26 August 2020,10.0514,20.72
South,Office Supplies,Paper,26 August 2020,,
West,Office Supplies,Paper,26 August 2020,,
Central,Office Supplies,Paper,27 August 2020,,
East,Office Supplies,Paper,27 August 2020,,
South,Office Supplies,Paper,27 August 2020,6.4128,13.36
West,Office Supplies,Paper,27 August 2020,,
Central,Office Supplies,Paper,29 August 2020,,
East,Office Supplies,Paper,29 August 2020,,
South,Office Supplies,Paper,29 August 2020,,
West,Office Supplies,Paper,29 August 2020,60.2736,123.28
Central,Office Supplies,Paper,01 September 2020,10.8864,31.104
East,Office Supplies,Paper,01 September 2020,,
South,Office Supplies,Paper,01 September 2020,,
West,Office Supplies,Paper,01 September 2020,,
Central,Office Supplies,Paper,02 September 2020,,
East,Office Supplies,Paper,02 September 2020,7.0218,14.94
South,Office Supplies,Paper,02 September 2020,,
West,Office Supplies,Paper,02 September 2020,,
Central,Office Supplies,Paper,07 September 2020,6.2208,12.96
East,Office Supplies,Paper,07 September 2020,,
South,Office Supplies,Paper,07 September 2020,,
West,Office Supplies,Paper,07 September 2020,9.6632,20.56
Central,Office Supplies,Paper,08 September 2020,67.7292,200.016
East,Office Supplies,Paper,08 September 2020,,
South,Office Supplies,Paper,08 September 2020,,
West,Office Supplies,Paper,08 September 2020,,
Central,Office Supplies,Paper,09 September 2020,3.405,10.896
East,Office Supplies,Paper,09 September 2020,98.1724,208.192
South,Office Supplies,Paper,09 September 2020,,
West,Office Supplies,Paper,09 September 2020,,
Central,Office Supplies,Paper,12 September 2020,,
East,Office Supplies,Paper,12 September 2020,,
South,Office Supplies,Paper,12 September 2020,3.6288,10.368
West,Office Supplies,Paper,12 September 2020,,
Central,Office Supplies,Paper,13 September 2020,,
East,Office Supplies,Paper,13 September 2020,5.4432,15.552
South,Office Supplies,Paper,13 September 2020,,
West,Office Supplies,Paper,13 September 2020,24.47,48.94
Central,Office Supplies,Paper,14 September 2020,2.14,6.848
East,Office Supplies,Paper,14 September 2020,21.0654,44.82
South,Office Supplies,Paper,14 September 2020,,
West,Office Supplies,Paper,14 September 2020,,
Central,Office Supplies,Paper,15 September 2020,,
East,Office Supplies,Paper,15 September 2020,7.0218,14.94
South,Office Supplies,Paper,15 September 2020,,
West,Office Supplies,Paper,15 September 2020,,
Central,Office Supplies,Paper,17 September 2020,,
East,Office Supplies,Paper,17 September 2020,,
South,Office Supplies,Paper,17 September 2020,1.6762,4.624
West,Office Supplies,Paper,17 September 2020,59.548,188.944
Central,Office Supplies,Paper,20 September 2020,,
East,Office Supplies,Paper,20 September 2020,,
South,Office Supplies,Paper,20 September 2020,,
West,Office Supplies,Paper,20 September 2020,14.4948,30.28
Central,Office Supplies,Paper,21 September 2020,3.1104,6.48
East,Office Supplies,Paper,21 September 2020,4.1151,11.352
South,Office Supplies,Paper,21 September 2020,,
West,Office Supplies,Paper,21 September 2020,26.8155,57.87
Central,Office Supplies,Paper,23 September 2020,15.552,32.4
East,Office Supplies,Paper,23 September 2020,10.08,28.8
South,Office Supplies,Paper,23 September 2020,,
West,Office Supplies,Paper,23 September 2020,,
Central,Office Supplies,Paper,25 September 2020,10.56,33.792
East,Office Supplies,Paper,25 September 2020,,
South,Office Supplies,Paper,25 September 2020,,
West,Office Supplies,Paper,25 September 2020,,
Central,Office Supplies,Paper,26 September 2020,,
East,Office Supplies,Paper,26 September 2020,11.1024,32.896
South,Office Supplies,Paper,26 September 2020,,
West,Office Supplies,Paper,26 September 2020,9.3312,19.44
Central,Office Supplies,Paper,27 September 2020,,
East,Office Supplies,Paper,27 September 2020,,
South,Office Supplies,Paper,27 September 2020,,
West,Office Supplies,Paper,27 September 2020,40.1702,81.98
Central,Office Supplies,Paper,28 September 2020,,
East,Office Supplies,Paper,28 September 2020,,
South,Office Supplies,Paper,28 September 2020,35.024,106.944
West,Office Supplies,Paper,28 September 2020,,
Central,Office Supplies,Paper,29 September 2020,,
East,Office Supplies,Paper,29 September 2020,44.7864,98.448
South,Office Supplies,Paper,29 September 2020,,
West,Office Supplies,Paper,29 September 2020,3.1104,6.48
Central,Office Supplies,Paper,30 September 2020,,
East,Office Supplies,Paper,30 September 2020,24.47,48.94
South,Office Supplies,Paper,30 September 2020,5.4432,15.552
West,Office Supplies,Paper,30 September 2020,,
Central,Office Supplies,Paper,02 October 2020,,
East,Office Supplies,Paper,02 October 2020,,
South,Office Supplies,Paper,02 October 2020,,
West,Office Supplies,Paper,02 October 2020,3.4104,9.408
Central,Office Supplies,Paper,08 October 2020,,
East,Office Supplies,Paper,08 October 2020,55.764,123.92
South,Office Supplies,Paper,08 October 2020,,
West,Office Supplies,Paper,08 October 2020,,
Central,Office Supplies,Paper,09 October 2020,,
East,Office Supplies,Paper,09 October 2020,,
South,Office Supplies,Paper,09 October 2020,31.0688,88.768
West,Office Supplies,Paper,09 October 2020,,
Central,Office Supplies,Paper,14 October 2020,107.6218,341.328
East,Office Supplies,Paper,14 October 2020,,
South,Office Supplies,Paper,14 October 2020,,
West,Office Supplies,Paper,14 October 2020,,
Central,Office Supplies,Paper,15 October 2020,,
East,Office Supplies,Paper,15 October 2020,2.8884,7.968
South,Office Supplies,Paper,15 October 2020,,
West,Office Supplies,Paper,15 October 2020,,
Central,Office Supplies,Paper,18 October 2020,,
East,Office Supplies,Paper,18 October 2020,3.14,10.048
South,Office Supplies,Paper,18 October 2020,,
West,Office Supplies,Paper,18 October 2020,27.882,61.96
Central,Office Supplies,Paper,19 October 2020,,
East,Office Supplies,Paper,19 October 2020,,
South,Office Supplies,Paper,19 October 2020,,
West,Office Supplies,Paper,19 October 2020,75.5487,160.17
Central,Office Supplies,Paper,20 October 2020,1.2376,3.808
East,Office Supplies,Paper,20 October 2020,,
South,Office Supplies,Paper,20 October 2020,,
West,Office Supplies,Paper,20 October 2020,,
Central,Office Supplies,Paper,24 October 2020,,
East,Office Supplies,Paper,24 October 2020,,
South,Office Supplies,Paper,24 October 2020,3.6288,10.368
West,Office Supplies,Paper,24 October 2020,,
Central,Office Supplies,Paper,27 October 2020,,
East,Office Supplies,Paper,27 October 2020,,
South,Office Supplies,Paper,27 October 2020,7.6626,22.32
West,Office Supplies,Paper,27 October 2020,,
Central,Office Supplies,Paper,29 October 2020,35.6636,75.88
East,Office Supplies,Paper,29 October 2020,,
South,Office Supplies,Paper,29 October 2020,,
West,Office Supplies,Paper,29 October 2020,,
Central,Office Supplies,Paper,31 October 2020,,
East,Office Supplies,Paper,31 October 2020,4.7752,10.16
South,Office Supplies,Paper,31 October 2020,,
West,Office Supplies,Paper,31 October 2020,30.4278,64.74
Central,Office Supplies,Paper,01 November 2020,5.1012,15.696
East,Office Supplies,Paper,01 November 2020,82.2906,167.94
South,Office Supplies,Paper,01 November 2020,,
West,Office Supplies,Paper,01 November 2020,9.63,21.4
Central,Office Supplies,Paper,03 November 2020,,
East,Office Supplies,Paper,03 November 2020,,
South,Office Supplies,Paper,03 November 2020,49.7286,147.344
West,Office Supplies,Paper,03 November 2020,,
Central,Office Supplies,Paper,04 November 2020,,
East,Office Supplies,Paper,04 November 2020,,
South,Office Supplies,Paper,04 November 2020,,
West,Office Supplies,Paper,04 November 2020,9.3312,19.44
Central,Office Supplies,Paper,06 November 2020,,
East,Office Supplies,Paper,06 November 2020,,
South,Office Supplies,Paper,06 November 2020,20.9664,43.68
West,Office Supplies,Paper,06 November 2020,,
Central,Office Supplies,Paper,07 November 2020,,
East,Office Supplies,Paper,07 November 2020,13.8828,30.18
South,Office Supplies,Paper,07 November 2020,,
West,Office Supplies,Paper,07 November 2020,9.072,25.92
Central,Office Supplies,Paper,09 November 2020,,
East,Office Supplies,Paper,09 November 2020,,
South,Office Supplies,Paper,09 November 2020,,
West,Office Supplies,Paper,09 November 2020,74.347,157.5
