Superstore 2023.Region,Superstore 2023.Category,Dates.Date,Sum(Superstore 2023.Sales)
South,Office Supplies,"Sunday, January 24, 2021",13.12
West,Office Supplies,"Sunday, January 24, 2021",
Central,Office Supplies,"Tuesday, January 26, 2021",
East,Office Supplies,"Tuesday, January 26, 2021",
South,Office Supplies,"Tuesday, January 26, 2021",
West,Office Supplies,"Tuesday, January 26, 2021",182.72
Central,Office Supplies,"Saturday, January 30, 2021",14.304
East,Office Supplies,"Saturday, January 30, 2021",
South,Office Supplies,"Saturday, January 30, 2021",
West,Office Supplies,"Saturday, January 30, 2021",
Central,Office Supplies,"Sunday, January 31, 2021",45.92
East,Office Supplies,"Sunday, January 31, 2021",
South,Office Supplies,"Sunday, January 31, 2021",
West,Office Supplies,"Sunday, January 31, 2021",
Central,Office Supplies,"Wednesday, February 03, 2021",
East,Office Supplies,"Wednesday, February 03, 2021",
South,Office Supplies,"Wednesday, February 03, 2021",74.52
West,Office Supplies,"Wednesday, February 03, 2021",12.144
Central,Office Supplies,"Saturday, February 06, 2021",673.686
East,Office Supplies,"Saturday, February 06, 2021",5.68
South,Office Supplies,"Saturday, February 06, 2021",176.63
West,Office Supplies,"Saturday, February 06, 2021",5.28
Central,Office Supplies,"Sunday, February 07, 2021",
East,Office Supplies,"Sunday, February 07, 2021",
South,Office Supplies,"Sunday, February 07, 2021",324.11
West,Office Supplies,"Sunday, February 07, 2021",
Central,Office Supplies,"Monday, February 08, 2021",21.11
East,Office Supplies,"Monday, February 08, 2021",
South,Office Supplies,"Monday, February 08, 2021",
West,Office Supplies,"Monday, February 08, 2021",
Central,Office Supplies,"Tuesday, February 09, 2021",40.096
East,Office Supplies,"Tuesday, February 09, 2021",
South,Office Supplies,"Tuesday, February 09, 2021",
West,Office Supplies,"Tuesday, February 09, 2021",
Central,Office Supplies,"Wednesday, February 10, 2021",
East,Office Supplies,"Wednesday, February 10, 2021",77.24
South,Office Supplies,"Wednesday, February 10, 2021",
West,Office Supplies,"Wednesday, February 10, 2021",
Central,Office Supplies,"Sunday, February 14, 2021",
East,Office Supplies,"Sunday, February 14, 2021",58.014
South,Office Supplies,"Sunday, February 14, 2021",
West,Office Supplies,"Sunday, February 14, 2021",
Central,Office Supplies,"Monday, February 15, 2021",
East,Office Supplies,"Monday, February 15, 2021",
South,Office Supplies,"Monday, February 15, 2021",
West,Office Supplies,"Monday, February 15, 2021",627.48
Central,Office Supplies,"Tuesday, February 16, 2021",
East,Office Supplies,"Tuesday, February 16, 2021",35.88
South,Office Supplies,"Tuesday, February 16, 2021",
West,Office Supplies,"Tuesday, February 16, 2021",124.55
Central,Office Supplies,"Thursday, February 18, 2021",
East,Office Supplies,"Thursday, February 18, 2021",
South,Office Supplies,"Thursday, February 18, 2021",
West,Office Supplies,"Thursday, February 18, 2021",70.3
Central,Office Supplies,"Saturday, February 20, 2021",
East,Office Supplies,"Saturday, February 20, 2021",286.79
South,Office Supplies,"Saturday, February 20, 2021",
West,Office Supplies,"Saturday, February 20, 2021",
Central,Office Supplies,"Sunday, February 21, 2021",
East,Office Supplies,"Sunday, February 21, 2021",2541.98
South,Office Supplies,"Sunday, February 21, 2021",
West,Office Supplies,"Sunday, February 21, 2021",49.12
Central,Office Supplies,"Monday, February 22, 2021",79.36
East,Office Supplies,"Monday, February 22, 2021",
South,Office Supplies,"Monday, February 22, 2021",
West,Office Supplies,"Monday, February 22, 2021",
Central,Office Supplies,"Tuesday, February 23, 2021",
East,Office Supplies,"Tuesday, February 23, 2021",37.776
South,Office Supplies,"Tuesday, February 23, 2021",
West,Office Supplies,"Tuesday, February 23, 2021",
Central,Office Supplies,"Thursday, February 25, 2021",
East,Office Supplies,"Thursday, February 25, 2021",25.87
South,Office Supplies,"Thursday, February 25, 2021",
West,Office Supplies,"Thursday, February 25, 2021",
Central,Office Supplies,"Saturday, February 27, 2021",
East,Office Supplies,"Saturday, February 27, 2021",20.451
South,Office Supplies,"Saturday, February 27, 2021",
West,Office Supplies,"Saturday, February 27, 2021",
Central,Office Supplies,"Monday, March 01, 2021",55.328
East,Office Supplies,"Monday, March 01, 2021",3.552
South,Office Supplies,"Monday, March 01, 2021",58.72
West,Office Supplies,"Monday, March 01, 2021",
Central,Office Supplies,"Tuesday, March 02, 2021",112.04
East,Office Supplies,"Tuesday, March 02, 2021",
South,Office Supplies,"Tuesday, March 02, 2021",
West,Office Supplies,"Tuesday, March 02, 2021",
Central,Office Supplies,"Friday, March 05, 2021",320.402
East,Office Supplies,"Friday, March 05, 2021",595.296
South,Office Supplies,"Friday, March 05, 2021",
West,Office Supplies,"Friday, March 05, 2021",
Central,Office Supplies,"Sunday, March 07, 2021",
East,Office Supplies,"Sunday, March 07, 2021",99.72
South,Office Supplies,"Sunday, March 07, 2021",
West,Office Supplies,"Sunday, March 07, 2021",
Central,Office Supplies,"Monday, March 08, 2021",23.548
East,Office Supplies,"Monday, March 08, 2021",19.44
South,Office Supplies,"Monday, March 08, 2021",
West,Office Supplies,"Monday, March 08, 2021",3.408
Central,Office Supplies,"Tuesday, March 09, 2021",
East,Office Supplies,"Tuesday, March 09, 2021",
South,Office Supplies,"Tuesday, March 09, 2021",4.608
West,Office Supplies,"Tuesday, March 09, 2021",
Central,Office Supplies,"Wednesday, March 10, 2021",1.112
East,Office Supplies,"Wednesday, March 10, 2021",89.82
South,Office Supplies,"Wednesday, March 10, 2021",
West,Office Supplies,"Wednesday, March 10, 2021",
Central,Office Supplies,"Friday, March 12, 2021",
East,Office Supplies,"Friday, March 12, 2021",
South,Office Supplies,"Friday, March 12, 2021",13.728
West,Office Supplies,"Friday, March 12, 2021",
Central,Office Supplies,"Sunday, March 14, 2021",
East,Office Supplies,"Sunday, March 14, 2021",688.46
South,Office Supplies,"Sunday, March 14, 2021",
West,Office Supplies,"Sunday, March 14, 2021",19.44
Central,Office Supplies,"Tuesday, March 16, 2021",
East,Office Supplies,"Tuesday, March 16, 2021",17.52
South,Office Supplies,"Tuesday, March 16, 2021",6911.7
West,Office Supplies,"Tuesday, March 16, 2021",
Central,Office Supplies,"Wednesday, March 17, 2021",
East,Office Supplies,"Wednesday, March 17, 2021",33.82
South,Office Supplies,"Wednesday, March 17, 2021",
West,Office Supplies,"Wednesday, March 17, 2021",
Central,Office Supplies,"Friday, March 19, 2021",65.584
East,Office Supplies,"Friday, March 19, 2021",
South,Office Supplies,"Friday, March 19, 2021",14.496
West,Office Supplies,"Friday, March 19, 2021",1585.888
Central,Office Supplies,"Saturday, March 20, 2021",73.216
East,Office Supplies,"Saturday, March 20, 2021",1245.694
South,Office Supplies,"Saturday, March 20, 2021",
West,Office Supplies,"Saturday, March 20, 2021",29.304
Central,Office Supplies,"Sunday, March 21, 2021",
East,Office Supplies,"Sunday, March 21, 2021",
South,Office Supplies,"Sunday, March 21, 2021",1270.379
West,Office Supplies,"Sunday, March 21, 2021",
Central,Office Supplies,"Monday, March 22, 2021",143.68
East,Office Supplies,"Monday, March 22, 2021",
South,Office Supplies,"Monday, March 22, 2021",169.968
West,Office Supplies,"Monday, March 22, 2021",105.52
Central,Office Supplies,"Tuesday, March 23, 2021",
East,Office Supplies,"Tuesday, March 23, 2021",
South,Office Supplies,"Tuesday, March 23, 2021",59.48
West,Office Supplies,"Tuesday, March 23, 2021",226.08
Central,Office Supplies,"Wednesday, March 24, 2021",
East,Office Supplies,"Wednesday, March 24, 2021",
South,Office Supplies,"Wednesday, March 24, 2021",6.992
West,Office Supplies,"Wednesday, March 24, 2021",
Central,Office Supplies,"Friday, March 26, 2021",
East,Office Supplies,"Friday, March 26, 2021",1138.562
South,Office Supplies,"Friday, March 26, 2021",74.352
West,Office Supplies,"Friday, March 26, 2021",
Central,Office Supplies,"Saturday, March 27, 2021",
East,Office Supplies,"Saturday, March 27, 2021",
South,Office Supplies,"Saturday, March 27, 2021",
West,Office Supplies,"Saturday, March 27, 2021",83.7
Central,Office Supplies,"Sunday, March 28, 2021",
East,Office Supplies,"Sunday, March 28, 2021",43.704
South,Office Supplies,"Sunday, March 28, 2021",
West,Office Supplies,"Sunday, March 28, 2021",33.4
Central,Office Supplies,"Monday, March 29, 2021",
East,Office Supplies,"Monday, March 29, 2021",17.64
South,Office Supplies,"Monday, March 29, 2021",5.56
West,Office Supplies,"Monday, March 29, 2021",295.79
Central,Office Supplies,"Tuesday, March 30, 2021",23.52
East,Office Supplies,"Tuesday, March 30, 2021",
South,Office Supplies,"Tuesday, March 30, 2021",
West,Office Supplies,"Tuesday, March 30, 2021",
Central,Office Supplies,"Wednesday, March 31, 2021",98.376
East,Office Supplies,"Wednesday, March 31, 2021",
South,Office Supplies,"Wednesday, March 31, 2021",
West,Office Supplies,"Wednesday, March 31, 2021",
Central,Office Supplies,"Friday, April 02, 2021",41.348
East,Office Supplies,"Friday, April 02, 2021",
South,Office Supplies,"Friday, April 02, 2021",
West,Office Supplies,"Friday, April 02, 2021",
Central,Office Supplies,"Sunday, April 04, 2021",662.676
East,Office Supplies,"Sunday, April 04, 2021",102.592
South,Office Supplies,"Sunday, April 04, 2021",
West,Office Supplies,"Sunday, April 04, 2021",
Central,Office Supplies,"Monday, April 05, 2021",
East,Office Supplies,"Monday, April 05, 2021",696.252
South,Office Supplies,"Monday, April 05, 2021",157.794
West,Office Supplies,"Monday, April 05, 2021",23.84
Central,Office Supplies,"Tuesday, April 06, 2021",66.564
East,Office Supplies,"Tuesday, April 06, 2021",
South,Office Supplies,"Tuesday, April 06, 2021",47.952
West,Office Supplies,"Tuesday, April 06, 2021",
Central,Office Supplies,"Wednesday, April 07, 2021",463.248
East,Office Supplies,"Wednesday, April 07, 2021",60.236
South,Office Supplies,"Wednesday, April 07, 2021",
West,Office Supplies,"Wednesday, April 07, 2021",
Central,Office Supplies,"Friday, April 09, 2021",
East,Office Supplies,"Friday, April 09, 2021",388.08
South,Office Supplies,"Friday, April 09, 2021",
West,Office Supplies,"Friday, April 09, 2021",
Central,Office Supplies,"Saturday, April 10, 2021",
East,Office Supplies,"Saturday, April 10, 2021",156.71
South,Office Supplies,"Saturday, April 10, 2021",
West,Office Supplies,"Saturday, April 10, 2021",12.832
Central,Office Supplies,"Sunday, April 11, 2021",
East,Office Supplies,"Sunday, April 11, 2021",406.6
South,Office Supplies,"Sunday, April 11, 2021",
West,Office Supplies,"Sunday, April 11, 2021",52.76
Central,Office Supplies,"Monday, April 12, 2021",
East,Office Supplies,"Monday, April 12, 2021",
South,Office Supplies,"Monday, April 12, 2021",
West,Office Supplies,"Monday, April 12, 2021",40.74
Central,Office Supplies,"Tuesday, April 13, 2021",17.43
East,Office Supplies,"Tuesday, April 13, 2021",
South,Office Supplies,"Tuesday, April 13, 2021",
West,Office Supplies,"Tuesday, April 13, 2021",185.384
Central,Office Supplies,"Wednesday, April 14, 2021",
East,Office Supplies,"Wednesday, April 14, 2021",
South,Office Supplies,"Wednesday, April 14, 2021",
West,Office Supplies,"Wednesday, April 14, 2021",35.208
Central,Office Supplies,"Friday, April 16, 2021",
East,Office Supplies,"Friday, April 16, 2021",132.998
South,Office Supplies,"Friday, April 16, 2021",9.14
West,Office Supplies,"Friday, April 16, 2021",
Central,Office Supplies,"Saturday, April 17, 2021",
East,Office Supplies,"Saturday, April 17, 2021",73.006
South,Office Supplies,"Saturday, April 17, 2021",
West,Office Supplies,"Saturday, April 17, 2021",1465.17
Central,Office Supplies,"Sunday, April 18, 2021",216.964
East,Office Supplies,"Sunday, April 18, 2021",21.93
South,Office Supplies,"Sunday, April 18, 2021",
West,Office Supplies,"Sunday, April 18, 2021",1124.57
Central,Office Supplies,"Monday, April 19, 2021",329.96
East,Office Supplies,"Monday, April 19, 2021",
South,Office Supplies,"Monday, April 19, 2021",
West,Office Supplies,"Monday, April 19, 2021",
Central,Office Supplies,"Tuesday, April 20, 2021",298.416
East,Office Supplies,"Tuesday, April 20, 2021",
South,Office Supplies,"Tuesday, April 20, 2021",12.96
West,Office Supplies,"Tuesday, April 20, 2021",
Central,Office Supplies,"Wednesday, April 21, 2021",
East,Office Supplies,"Wednesday, April 21, 2021",
South,Office Supplies,"Wednesday, April 21, 2021",21.3
West,Office Supplies,"Wednesday, April 21, 2021",
Central,Office Supplies,"Thursday, April 22, 2021",
East,Office Supplies,"Thursday, April 22, 2021",
South,Office Supplies,"Thursday, April 22, 2021",
West,Office Supplies,"Thursday, April 22, 2021",64.14
Central,Office Supplies,"Saturday, April 24, 2021",
East,Office Supplies,"Saturday, April 24, 2021",25.99
South,Office Supplies,"Saturday, April 24, 2021",
West,Office Supplies,"Saturday, April 24, 2021",
Central,Office Supplies,"Sunday, April 25, 2021",551.174
East,Office Supplies,"Sunday, April 25, 2021",206.43
South,Office Supplies,"Sunday, April 25, 2021",
West,Office Supplies,"Sunday, April 25, 2021",35.284
Central,Office Supplies,"Monday, April 26, 2021",
East,Office Supplies,"Monday, April 26, 2021",
South,Office Supplies,"Monday, April 26, 2021",75.408
West,Office Supplies,"Monday, April 26, 2021",109.872
Central,Office Supplies,"Tuesday, April 27, 2021",
East,Office Supplies,"Tuesday, April 27, 2021",22.74
South,Office Supplies,"Tuesday, April 27, 2021",
West,Office Supplies,"Tuesday, April 27, 2021",49.4
Central,Office Supplies,"Wednesday, April 28, 2021",4044.362
East,Office Supplies,"Wednesday, April 28, 2021",
South,Office Supplies,"Wednesday, April 28, 2021",
West,Office Supplies,"Wednesday, April 28, 2021",
Central,Office Supplies,"Thursday, April 29, 2021",
East,Office Supplies,"Thursday, April 29, 2021",7.968
South,Office Supplies,"Thursday, April 29, 2021",
West,Office Supplies,"Thursday, April 29, 2021",
Central,Office Supplies,"Friday, April 30, 2021",
East,Office Supplies,"Friday, April 30, 2021",6.48
South,Office Supplies,"Friday, April 30, 2021",
West,Office Supplies,"Friday, April 30, 2021",34.65
Central,Office Supplies,"Saturday, May 01, 2021",
East,Office Supplies,"Saturday, May 01, 2021",
South,Office Supplies,"Saturday, May 01, 2021",214.08
West,Office Supplies,"Saturday, May 01, 2021",84.556
Central,Office Supplies,"Sunday, May 02, 2021",8.856
East,Office Supplies,"Sunday, May 02, 2021",
South,Office Supplies,"Sunday, May 02, 2021",
West,Office Supplies,"Sunday, May 02, 2021",
Central,Office Supplies,"Monday, May 03, 2021",
East,Office Supplies,"Monday, May 03, 2021",186.52
South,Office Supplies,"Monday, May 03, 2021",
West,Office Supplies,"Monday, May 03, 2021",134.732
Central,Office Supplies,"Tuesday, May 04, 2021",125.93
East,Office Supplies,"Tuesday, May 04, 2021",
South,Office Supplies,"Tuesday, May 04, 2021",
West,Office Supplies,"Tuesday, May 04, 2021",
Central,Office Supplies,"Friday, May 07, 2021",15.936
East,Office Supplies,"Friday, May 07, 2021",
South,Office Supplies,"Friday, May 07, 2021",45.68
West,Office Supplies,"Friday, May 07, 2021",
Central,Office Supplies,"Saturday, May 08, 2021",43.98
East,Office Supplies,"Saturday, May 08, 2021",415.31
South,Office Supplies,"Saturday, May 08, 2021",
West,Office Supplies,"Saturday, May 08, 2021",5.248
Central,Office Supplies,"Sunday, May 09, 2021",
East,Office Supplies,"Sunday, May 09, 2021",
South,Office Supplies,"Sunday, May 09, 2021",48.81
West,Office Supplies,"Sunday, May 09, 2021",
Central,Office Supplies,"Monday, May 10, 2021",107.754
East,Office Supplies,"Monday, May 10, 2021",
South,Office Supplies,"Monday, May 10, 2021",
West,Office Supplies,"Monday, May 10, 2021",
Central,Office Supplies,"Wednesday, May 12, 2021",127.904
East,Office Supplies,"Wednesday, May 12, 2021",36.63
South,Office Supplies,"Wednesday, May 12, 2021",
West,Office Supplies,"Wednesday, May 12, 2021",53.112
Central,Office Supplies,"Thursday, May 13, 2021",16
East,Office Supplies,"Thursday, May 13, 2021",
South,Office Supplies,"Thursday, May 13, 2021",
West,Office Supplies,"Thursday, May 13, 2021",
Central,Office Supplies,"Friday, May 14, 2021",
East,Office Supplies,"Friday, May 14, 2021",570.492
South,Office Supplies,"Friday, May 14, 2021",
West,Office Supplies,"Friday, May 14, 2021",1117.92
Central,Office Supplies,"Saturday, May 15, 2021",
East,Office Supplies,"Saturday, May 15, 2021",51.968
South,Office Supplies,"Saturday, May 15, 2021",17.94
West,Office Supplies,"Saturday, May 15, 2021",
Central,Office Supplies,"Monday, May 17, 2021",47.368
East,Office Supplies,"Monday, May 17, 2021",87.1
South,Office Supplies,"Monday, May 17, 2021",
West,Office Supplies,"Monday, May 17, 2021",
Central,Office Supplies,"Tuesday, May 18, 2021",
East,Office Supplies,"Tuesday, May 18, 2021",
South,Office Supplies,"Tuesday, May 18, 2021",
West,Office Supplies,"Tuesday, May 18, 2021",10.86
Central,Office Supplies,"Thursday, May 20, 2021",
East,Office Supplies,"Thursday, May 20, 2021",
South,Office Supplies,"Thursday, May 20, 2021",6.408
West,Office Supplies,"Thursday, May 20, 2021",
Central,Office Supplies,"Friday, May 21, 2021",20.768
East,Office Supplies,"Friday, May 21, 2021",24.588
South,Office Supplies,"Friday, May 21, 2021",
West,Office Supplies,"Friday, May 21, 2021",26.976
Central,Office Supplies,"Saturday, May 22, 2021",
East,Office Supplies,"Saturday, May 22, 2021",
South,Office Supplies,"Saturday, May 22, 2021",
West,Office Supplies,"Saturday, May 22, 2021",113.05
Central,Office Supplies,"Sunday, May 23, 2021",850.5
East,Office Supplies,"Sunday, May 23, 2021",51.45
South,Office Supplies,"Sunday, May 23, 2021",186.69
West,Office Supplies,"Sunday, May 23, 2021",140.986
Central,Office Supplies,"Monday, May 24, 2021",7.656
East,Office Supplies,"Monday, May 24, 2021",
South,Office Supplies,"Monday, May 24, 2021",
West,Office Supplies,"Monday, May 24, 2021",
Central,Office Supplies,"Tuesday, May 25, 2021",203.936
East,Office Supplies,"Tuesday, May 25, 2021",
South,Office Supplies,"Tuesday, May 25, 2021",
West,Office Supplies,"Tuesday, May 25, 2021",845.728
Central,Office Supplies,"Wednesday, May 26, 2021",
East,Office Supplies,"Wednesday, May 26, 2021",
South,Office Supplies,"Wednesday, May 26, 2021",184.224
West,Office Supplies,"Wednesday, May 26, 2021",
Central,Office Supplies,"Friday, May 28, 2021",
East,Office Supplies,"Friday, May 28, 2021",741.526
South,Office Supplies,"Friday, May 28, 2021",
West,Office Supplies,"Friday, May 28, 2021",6.63
Central,Office Supplies,"Saturday, May 29, 2021",12.39
East,Office Supplies,"Saturday, May 29, 2021",93.096
South,Office Supplies,"Saturday, May 29, 2021",
West,Office Supplies,"Saturday, May 29, 2021",740.73
Central,Office Supplies,"Sunday, May 30, 2021",
East,Office Supplies,"Sunday, May 30, 2021",160.32
South,Office Supplies,"Sunday, May 30, 2021",
West,Office Supplies,"Sunday, May 30, 2021",
Central,Office Supplies,"Monday, May 31, 2021",182.956
East,Office Supplies,"Monday, May 31, 2021",344.54
South,Office Supplies,"Monday, May 31, 2021",10.272
West,Office Supplies,"Monday, May 31, 2021",583.63
Central,Office Supplies,"Tuesday, June 01, 2021",480.558
East,Office Supplies,"Tuesday, June 01, 2021",
South,Office Supplies,"Tuesday, June 01, 2021",
West,Office Supplies,"Tuesday, June 01, 2021",11.76
Central,Office Supplies,"Friday, June 04, 2021",
East,Office Supplies,"Friday, June 04, 2021",30.44
South,Office Supplies,"Friday, June 04, 2021",
West,Office Supplies,"Friday, June 04, 2021",16.64
Central,Office Supplies,"Saturday, June 05, 2021",10.56
East,Office Supplies,"Saturday, June 05, 2021",
South,Office Supplies,"Saturday, June 05, 2021",
West,Office Supplies,"Saturday, June 05, 2021",
Central,Office Supplies,"Monday, June 07, 2021",
East,Office Supplies,"Monday, June 07, 2021",52.248
South,Office Supplies,"Monday, June 07, 2021",
West,Office Supplies,"Monday, June 07, 2021",7.52
Central,Office Supplies,"Tuesday, June 08, 2021",143.128
East,Office Supplies,"Tuesday, June 08, 2021",
South,Office Supplies,"Tuesday, June 08, 2021",764.4
West,Office Supplies,"Tuesday, June 08, 2021",
Central,Office Supplies,"Wednesday, June 09, 2021",12.96
East,Office Supplies,"Wednesday, June 09, 2021",
South,Office Supplies,"Wednesday, June 09, 2021",215.82
West,Office Supplies,"Wednesday, June 09, 2021",
Central,Office Supplies,"Friday, June 11, 2021",
East,Office Supplies,"Friday, June 11, 2021",
South,Office Supplies,"Friday, June 11, 2021",1868.528
West,Office Supplies,"Friday, June 11, 2021",
Central,Office Supplies,"Saturday, June 12, 2021",24.56
East,Office Supplies,"Saturday, June 12, 2021",50.636
South,Office Supplies,"Saturday, June 12, 2021",
West,Office Supplies,"Saturday, June 12, 2021",
Central,Office Supplies,"Sunday, June 13, 2021",
East,Office Supplies,"Sunday, June 13, 2021",41.524
South,Office Supplies,"Sunday, June 13, 2021",82.8
West,Office Supplies,"Sunday, June 13, 2021",36.624
Central,Office Supplies,"Tuesday, June 15, 2021",
East,Office Supplies,"Tuesday, June 15, 2021",
South,Office Supplies,"Tuesday, June 15, 2021",
West,Office Supplies,"Tuesday, June 15, 2021",91.936
Central,Office Supplies,"Wednesday, June 16, 2021",55.968
East,Office Supplies,"Wednesday, June 16, 2021",3056.584
South,Office Supplies,"Wednesday, June 16, 2021",
West,Office Supplies,"Wednesday, June 16, 2021",
Central,Office Supplies,"Friday, June 18, 2021",
East,Office Supplies,"Friday, June 18, 2021",
South,Office Supplies,"Friday, June 18, 2021",558.157
West,Office Supplies,"Friday, June 18, 2021",77.624
Central,Office Supplies,"Saturday, June 19, 2021",234.712
East,Office Supplies,"Saturday, June 19, 2021",5.904
South,Office Supplies,"Saturday, June 19, 2021",
West,Office Supplies,"Saturday, June 19, 2021",193.17
Central,Office Supplies,"Tuesday, June 22, 2021",
East,Office Supplies,"Tuesday, June 22, 2021",1217.568
South,Office Supplies,"Tuesday, June 22, 2021",
West,Office Supplies,"Tuesday, June 22, 2021",4.96
Central,Office Supplies,"Wednesday, June 23, 2021",
East,Office Supplies,"Wednesday, June 23, 2021",
South,Office Supplies,"Wednesday, June 23, 2021",165.98
West,Office Supplies,"Wednesday, June 23, 2021",5.43
Central,Office Supplies,"Friday, June 25, 2021",53.544
East,Office Supplies,"Friday, June 25, 2021",109.36
South,Office Supplies,"Friday, June 25, 2021",
West,Office Supplies,"Friday, June 25, 2021",413.942
Central,Office Supplies,"Saturday, June 26, 2021",
East,Office Supplies,"Saturday, June 26, 2021",43.056
South,Office Supplies,"Saturday, June 26, 2021",202.42
West,Office Supplies,"Saturday, June 26, 2021",
Central,Office Supplies,"Monday, June 28, 2021",
East,Office Supplies,"Monday, June 28, 2021",15.552
South,Office Supplies,"Monday, June 28, 2021",260.31
West,Office Supplies,"Monday, June 28, 2021",5.904
Central,Office Supplies,"Tuesday, June 29, 2021",
East,Office Supplies,"Tuesday, June 29, 2021",24.96
South,Office Supplies,"Tuesday, June 29, 2021",
West,Office Supplies,"Tuesday, June 29, 2021",
Central,Office Supplies,"Friday, July 02, 2021",548.056
East,Office Supplies,"Friday, July 02, 2021",19.44
South,Office Supplies,"Friday, July 02, 2021",39.788
West,Office Supplies,"Friday, July 02, 2021",
Central,Office Supplies,"Saturday, July 03, 2021",
East,Office Supplies,"Saturday, July 03, 2021",6.72
South,Office Supplies,"Saturday, July 03, 2021",294.93
West,Office Supplies,"Saturday, July 03, 2021",
Central,Office Supplies,"Sunday, July 04, 2021",
East,Office Supplies,"Sunday, July 04, 2021",15.48
South,Office Supplies,"Sunday, July 04, 2021",
West,Office Supplies,"Sunday, July 04, 2021",22.848
Central,Office Supplies,"Monday, July 05, 2021",19
East,Office Supplies,"Monday, July 05, 2021",38.976
South,Office Supplies,"Monday, July 05, 2021",19.014
West,Office Supplies,"Monday, July 05, 2021",
Central,Office Supplies,"Tuesday, July 06, 2021",
East,Office Supplies,"Tuesday, July 06, 2021",612.77
South,Office Supplies,"Tuesday, July 06, 2021",
West,Office Supplies,"Tuesday, July 06, 2021",
Central,Office Supplies,"Thursday, July 08, 2021",21.12
East,Office Supplies,"Thursday, July 08, 2021",
South,Office Supplies,"Thursday, July 08, 2021",
West,Office Supplies,"Thursday, July 08, 2021",
Central,Office Supplies,"Friday, July 09, 2021",48.632
East,Office Supplies,"Friday, July 09, 2021",616.41
South,Office Supplies,"Friday, July 09, 2021",5.16
West,Office Supplies,"Friday, July 09, 2021",
Central,Office Supplies,"Saturday, July 10, 2021",
East,Office Supplies,"Saturday, July 10, 2021",
South,Office Supplies,"Saturday, July 10, 2021",
West,Office Supplies,"Saturday, July 10, 2021",43.286
Central,Office Supplies,"Sunday, July 11, 2021",
East,Office Supplies,"Sunday, July 11, 2021",241.162
South,Office Supplies,"Sunday, July 11, 2021",
West,Office Supplies,"Sunday, July 11, 2021",128.322
Central,Office Supplies,"Monday, July 12, 2021",8.84
East,Office Supplies,"Monday, July 12, 2021",
South,Office Supplies,"Monday, July 12, 2021",
West,Office Supplies,"Monday, July 12, 2021",
Central,Office Supplies,"Tuesday, July 13, 2021",41.568
East,Office Supplies,"Tuesday, July 13, 2021",21.768
South,Office Supplies,"Tuesday, July 13, 2021",38.88
West,Office Supplies,"Tuesday, July 13, 2021",
Central,Office Supplies,"Wednesday, July 14, 2021",
East,Office Supplies,"Wednesday, July 14, 2021",
South,Office Supplies,"Wednesday, July 14, 2021",
West,Office Supplies,"Wednesday, July 14, 2021",291.232
Central,Office Supplies,"Friday, July 16, 2021",
East,Office Supplies,"Friday, July 16, 2021",229.65
South,Office Supplies,"Friday, July 16, 2021",
West,Office Supplies,"Friday, July 16, 2021",
Central,Office Supplies,"Saturday, July 17, 2021",20.696
East,Office Supplies,"Saturday, July 17, 2021",
South,Office Supplies,"Saturday, July 17, 2021",
West,Office Supplies,"Saturday, July 17, 2021",
Central,Office Supplies,"Sunday, July 18, 2021",
East,Office Supplies,"Sunday, July 18, 2021",9.088
South,Office Supplies,"Sunday, July 18, 2021",
West,Office Supplies,"Sunday, July 18, 2021",
Central,Office Supplies,"Monday, July 19, 2021",
East,Office Supplies,"Monday, July 19, 2021",
South,Office Supplies,"Monday, July 19, 2021",
West,Office Supplies,"Monday, July 19, 2021",2.025
Central,Office Supplies,"Tuesday, July 20, 2021",410.01
East,Office Supplies,"Tuesday, July 20, 2021",
South,Office Supplies,"Tuesday, July 20, 2021",
West,Office Supplies,"Tuesday, July 20, 2021",
Central,Office Supplies,"Friday, July 23, 2021",
East,Office Supplies,"Friday, July 23, 2021",79.452
South,Office Supplies,"Friday, July 23, 2021",
West,Office Supplies,"Friday, July 23, 2021",
Central,Office Supplies,"Saturday, July 24, 2021",
East,Office Supplies,"Saturday, July 24, 2021",
South,Office Supplies,"Saturday, July 24, 2021",225.15
West,Office Supplies,"Saturday, July 24, 2021",
Central,Office Supplies,"Sunday, July 25, 2021",
East,Office Supplies,"Sunday, July 25, 2021",25.176
South,Office Supplies,"Sunday, July 25, 2021",98.46
West,Office Supplies,"Sunday, July 25, 2021",22.38
Central,Office Supplies,"Monday, July 26, 2021",
East,Office Supplies,"Monday, July 26, 2021",10.368
South,Office Supplies,"Monday, July 26, 2021",
West,Office Supplies,"Monday, July 26, 2021",299.34
Central,Office Supplies,"Friday, July 30, 2021",61.792
East,Office Supplies,"Friday, July 30, 2021",
South,Office Supplies,"Friday, July 30, 2021",
West,Office Supplies,"Friday, July 30, 2021",10.92
Central,Office Supplies,"Saturday, July 31, 2021",52.59
East,Office Supplies,"Saturday, July 31, 2021",19.44
South,Office Supplies,"Saturday, July 31, 2021",
West,Office Supplies,"Saturday, July 31, 2021",
Central,Office Supplies,"Sunday, August 01, 2021",
East,Office Supplies,"Sunday, August 01, 2021",
South,Office Supplies,"Sunday, August 01, 2021",
West,Office Supplies,"Sunday, August 01, 2021",6.72
Central,Office Supplies,"Monday, August 02, 2021",
East,Office Supplies,"Monday, August 02, 2021",8.4
South,Office Supplies,"Monday, August 02, 2021",
West,Office Supplies,"Monday, August 02, 2021",6.368
