New Report.CO_DIV_FIP NO,Min(New Report.SHIPMENT_TYPE)
TE/FR/3245/2023,40FCL
TE/FR/3246/2022,LCL
TE/FR/3246/2023,40FCL
TE/FR/3247/2022,LCL
TE/FR/3247/2023,40FCL
TE/FR/3248/2023,40FCL
TE/FR/3249/2023,40FCL
TE/FR/325/2022,LCL
TE/FR/325/2023,40FCL
TE/FR/3250/2022,40FCL
TE/FR/3250/2023,40FCL
TE/FR/3251/2023,40FCL
TE/FR/3252/2023,40FCL
TE/FR/3253/2022,LCL
TE/FR/3253/2023,40FCL
TE/FR/3254/2022,40GP
TE/FR/3254/2023,40FCL
TE/FR/3255/2022,LCL
TE/FR/3255/2023,LCL
TE/FR/3256/2023,20FCL
TE/FR/3257/2023,40FCL
TE/FR/3258/2023,40FCL
TE/FR/3259/2022,40FCL
TE/FR/3259/2023,40FCL
TE/FR/326/2022,LCL
TE/FR/326/2024,40FCL
TE/FR/3260/2022,40FCL
TE/FR/3260/2023,40FCL
TE/FR/3261/2023,40FCL
TE/FR/3262/2022,LCL
TE/FR/3262/2023,LCL
TE/FR/3266/2022,LCL
TE/FR/3267/2022,40FCL
TE/FR/3268/2023,40FCL
TE/FR/327/2022,40FCL
TE/FR/3271/2022,40FCL
TE/FR/3271/2023,LCL
TE/FR/3272/2022,40FCL
TE/FR/3272/2023,LCL
TE/FR/3273/2022,LCL
TE/FR/3273/2023,40FCL
TE/FR/3274/2022,20FCL
TE/FR/3275/2022,40FCL
TE/FR/3275/2023,LCL
TE/FR/3276/2022,40FCL
TE/FR/3276/2023,LCL
TE/FR/3277/2022,40FCL
TE/FR/3277/2023,LCL
TE/FR/3278/2023,40FCL
TE/FR/3279/2022,20FCL
TE/FR/3279/2023,40FCL
TE/FR/328/2022,20FCL
TE/FR/328/2023,40FCL
TE/FR/328/2024,40FCL
TE/FR/3280/2022,20FCL
TE/FR/3280/2023,40FCL
TE/FR/3281/2022,20FCL
TE/FR/3281/2023,40FCL
TE/FR/3282/2022,20FCL
TE/FR/3282/2023,40FCL
TE/FR/3283/2022,40FCL
TE/FR/3283/2023,40FCL
TE/FR/3284/2022,20FCL
TE/FR/3286/2023,40FCL
TE/FR/3287/2023,LCL
TE/FR/3288/2023,LCL
TE/FR/3289/2022,40FCL
TE/FR/3289/2023,LCL
TE/FR/329/2022,40FCL
TE/FR/329/2023,LCL
TE/FR/329/2024,40FCL
TE/FR/3290/2022,40FCL
TE/FR/3290/2023,LCL
TE/FR/3291/2022,40FCL
TE/FR/3291/2023,LCL
TE/FR/3292/2022,40FCL
TE/FR/3292/2023,LCL
TE/FR/3293/2022,20FCL
TE/FR/3293/2023,LCL
TE/FR/3294/2022,40FCL
TE/FR/3294/2023,40FCL
TE/FR/3296/2022,LCL
TE/FR/3297/2022,LCL
TE/FR/3298/2022,LCL
TE/FR/3298/2023,20FCL
TE/FR/3299/2022,LCL
TE/FR/3299/2023,40FCL
TE/FR/33/2022,40FCL
TE/FR/33/2023,40FCL
TE/FR/33/2024,LCL
TE/FR/330/2022,40FCL
TE/FR/330/2023,20FCL
TE/FR/330/2024,40FCL
TE/FR/3300/2023,40FCL
TE/FR/3303/2022,LCL
TE/FR/3303/2023,LCL
TE/FR/3304/2023,LCL
TE/FR/3306/2023,LCL
TE/FR/3307/2022,LCL
TE/FR/3307/2023,LCL
TE/FR/3308/2023,40FCL
TE/FR/331/2022,40FCL
TE/FR/331/2024,40FCL
TE/FR/3310/2022,LCL
TE/FR/3311/2023,40FCL
TE/FR/3312/2023,LCL
TE/FR/3313/2022,20FCL
TE/FR/3313/2023,40FCL
TE/FR/3314/2023,40FCL
TE/FR/3315/2023,40GP
TE/FR/3316/2022,LCL
TE/FR/3316/2023,LCL
TE/FR/3317/2022,LCL
TE/FR/3318/2023,40FCL
TE/FR/3319/2022,LCL
TE/FR/3319/2023,40FCL
TE/FR/332/2022,40FCL
TE/FR/332/2023,LCL
TE/FR/332/2024,40FCL
TE/FR/3320/2022,LCL
TE/FR/3321/2022,LCL
TE/FR/3321/2023,40FCL
TE/FR/3322/2022,40FCL
TE/FR/3322/2023,40FCL
TE/FR/3323/2022,40FCL
TE/FR/3323/2023,40FCL
TE/FR/3324/2022,40FCL
TE/FR/3324/2023,40FCL
TE/FR/3325/2023,40FCL
TE/FR/3326/2023,LCL
TE/FR/3327/2023,40FCL
TE/FR/3328/2022,40FCL
TE/FR/3328/2023,40FCL
TE/FR/3329/2022,40FCL
TE/FR/3329/2023,40FCL
TE/FR/333/2022,40FCL
TE/FR/333/2024,40FCL
TE/FR/3330/2023,40FCL
TE/FR/3332/2022,40FCL
TE/FR/3332/2023,LCL
TE/FR/3334/2022,40FCL
TE/FR/3334/2023,40FCL
TE/FR/3335/2022,40FCL
TE/FR/3335/2023,40FCL
TE/FR/3336/2022,40FCL
TE/FR/3336/2023,40FCL
TE/FR/3337/2023,40FCL
TE/FR/3338/2022,LCL
TE/FR/3338/2023,40FCL
TE/FR/3339/2022,40FCL
TE/FR/3339/2023,40FCL
TE/FR/334/2024,40FCL
TE/FR/3340/2022,40FCL
TE/FR/3340/2023,40FCL
TE/FR/3341/2023,LCL
TE/FR/3342/2022,40FCL
TE/FR/3342/2023,40FCL
TE/FR/3343/2023,LCL
TE/FR/3344/2022,40FCL
TE/FR/3345/2022,40FCL
TE/FR/3346/2022,40FCL
TE/FR/3347/2022,LCL
TE/FR/3348/2022,20FCL
TE/FR/3348/2023,20FCL
TE/FR/3349/2022,20FCL
TE/FR/335/2022,40FCL
TE/FR/335/2023,LCL
TE/FR/3350/2022,20FCL
TE/FR/3350/2023,LCL
TE/FR/3351/2022,20FCL
TE/FR/3351/2023,LCL
TE/FR/3352/2022,LCL
TE/FR/3353/2023,40FCL
TE/FR/3354/2023,LCL
TE/FR/3355/2023,LCL
TE/FR/3356/2023,40FCL
TE/FR/3358/2022,20FCL
TE/FR/3358/2023,LCL
TE/FR/336/2022,40FCL
TE/FR/336/2023,LCL
TE/FR/3360/2022,40FCL
TE/FR/3361/2022,40FCL
TE/FR/3361/2023,40FCL
TE/FR/3362/2022,40FCL
TE/FR/3363/2022,40FCL
TE/FR/3364/2022,40FCL
TE/FR/3365/2022,40FCL
TE/FR/3366/2022,40FCL
TE/FR/3366/2023,40FCL
TE/FR/3367/2022,40FCL
TE/FR/3367/2023,LCL
TE/FR/3368/2022,40FCL
TE/FR/3369/2022,40FCL
TE/FR/337/2022,40FCL
TE/FR/337/2023,40FCL
TE/FR/3370/2022,40FCL
TE/FR/3370/2023,40FCL
TE/FR/3371/2022,40FCL
TE/FR/3371/2023,40FCL
TE/FR/3372/2023,40FCL
TE/FR/3373/2022,40FCL
TE/FR/3373/2023,40FCL
TE/FR/3374/2023,40FCL
TE/FR/3375/2023,LCL
TE/FR/3376/2023,LCL
TE/FR/3377/2023,40FCL
TE/FR/3379/2023,LCL
TE/FR/338/2022,40FCL
TE/FR/338/2023,40FCL
TE/FR/338/2024,40FCL
TE/FR/3381/2022,40FCL
TE/FR/3382/2022,40FCL
TE/FR/3383/2022,40FCL
TE/FR/3385/2022,40FCL
TE/FR/3385/2023,LCL
TE/FR/3386/2023,LCL
TE/FR/3387/2023,40FCL
TE/FR/3388/2022,40FCL
TE/FR/3388/2023,LCL
TE/FR/3389/2022,40FCL
TE/FR/3389/2023,LCL
TE/FR/339/2022,LCL
TE/FR/339/2023,LCL
TE/FR/339/2024,40FCL
TE/FR/3390/2022,40FCL
TE/FR/3390/2023,LCL
TE/FR/3391/2022,40FCL
TE/FR/3391/2023,LCL
TE/FR/3392/2022,40FCL
TE/FR/3393/2022,20FCL
TE/FR/3393/2023,LCL
TE/FR/3394/2022,20FCL
TE/FR/3394/2023,40FCL
TE/FR/3395/2022,LCL
TE/FR/3395/2023,20FCL
TE/FR/3396/2022,LCL
TE/FR/3396/2023,20FCL
TE/FR/3397/2022,LCL
TE/FR/3397/2023,40FCL
TE/FR/3398/2023,40FCL
TE/FR/3399/2023,40FCL
TE/FR/34/2022,40FCL
TE/FR/34/2023,40FCL
TE/FR/34/2024,LCL
TE/FR/340/2022,40FCL
TE/FR/340/2024,40FCL
TE/FR/3400/2022,40FCL
TE/FR/3400/2023,40FCL
TE/FR/3401/2023,40FCL
TE/FR/3402/2023,40FCL
TE/FR/3403/2022,40FCL
TE/FR/3403/2023,LCL
TE/FR/3404/2023,40FCL
TE/FR/3405/2022,40FCL
TE/FR/3405/2023,40FCL
TE/FR/3406/2023,40FCL
TE/FR/3407/2023,LCL
TE/FR/3408/2022,40FCL
TE/FR/3408/2023,40FCL
TE/FR/3409/2023,40FCL
TE/FR/341/2022,40FCL
TE/FR/341/2024,40FCL
TE/FR/3410/2023,40FCL
TE/FR/3411/2022,LCL
TE/FR/3411/2023,40FCL
TE/FR/3412/2022,LCL
TE/FR/3412/2023,20FCL
TE/FR/3413/2022,40FCL
TE/FR/3413/2023,LCL
TE/FR/3414/2022,LCL
TE/FR/3414/2023,LCL
TE/FR/3415/2022,LCL
TE/FR/3415/2023,40FCL
TE/FR/3416/2023,40FCL
TE/FR/3417/2022,40FCL
TE/FR/3417/2023,40FCL
TE/FR/3418/2022,LCL
TE/FR/3418/2023,40FCL
TE/FR/3419/2022,40FCL
TE/FR/3419/2023,20FCL
TE/FR/342/2022,40FCL
TE/FR/342/2023,20FCL
TE/FR/342/2024,40FCL
TE/FR/3420/2022,40FCL
TE/FR/3420/2023,LCL
TE/FR/3421/2023,40FCL
TE/FR/3422/2022,40FCL
TE/FR/3423/2022,LCL
TE/FR/3423/2023,20FCL
TE/FR/3424/2022,40FCL
TE/FR/3424/2023,40FCL
TE/FR/3425/2022,40FCL
TE/FR/3425/2023,40FCL
TE/FR/3426/2022,40FCL
TE/FR/3426/2023,LCL
TE/FR/3427/2022,40FCL
TE/FR/3427/2023,40FCL
TE/FR/3428/2022,40FCL
TE/FR/3428/2023,40FCL
TE/FR/3429/2023,40FCL
TE/FR/343/2022,LCL
TE/FR/343/2023,20FCL
TE/FR/343/2024,LCL
TE/FR/3430/2022,40FCL
TE/FR/3430/2023,40FCL
TE/FR/3431/2022,40FCL
TE/FR/3432/2022,40FCL
TE/FR/3432/2023,40FCL
TE/FR/3433/2022,40FCL
TE/FR/3433/2023,40FCL
TE/FR/3434/2022,LCL
TE/FR/3434/2023,20FCL
TE/FR/3435/2022,LCL
TE/FR/3435/2023,40FCL
TE/FR/3436/2023,40FCL
TE/FR/3437/2023,40FCL
TE/FR/3438/2023,40FCL
TE/FR/344/2022,40FCL
TE/FR/3440/2022,40FCL
TE/FR/3447/2023,LCL
TE/FR/3448/2022,40FCL
TE/FR/3449/2022,LCL
TE/FR/3449/2023,40FCL
TE/FR/345/2022,40FCL
TE/FR/3450/2023,40FCL
TE/FR/3451/2023,LCL
TE/FR/3452/2023,40FCL
TE/FR/3453/2023,40FCL
TE/FR/3454/2022,40FCL
TE/FR/3454/2023,40FCL
TE/FR/3455/2022,40FCL
TE/FR/3456/2022,LCL
TE/FR/3456/2023,40FCL
TE/FR/3457/2022,40FCL
TE/FR/3457/2023,LCL
TE/FR/3458/2022,40FCL
TE/FR/3458/2023,40FCL
TE/FR/3459/2022,40FCL
TE/FR/3459/2023,40FCL
TE/FR/346/2022,40FCL
TE/FR/346/2024,40FCL
TE/FR/3460/2022,20FCL
TE/FR/3460/2023,40FCL
TE/FR/3461/2022,20FCL
TE/FR/3461/2023,40FCL
TE/FR/3462/2022,LCL
TE/FR/3462/2023,40FCL
TE/FR/3463/2023,20FCL
TE/FR/3464/2022,LCL
TE/FR/3464/2023,LCL
TE/FR/3466/2022,LCL
TE/FR/3466/2023,LCL
TE/FR/3467/2022,40FCL
TE/FR/3467/2023,40FCL
TE/FR/3468/2022,40FCL
TE/FR/3468/2023,40FCL
TE/FR/3469/2023,40FCL
TE/FR/347/2022,40FCL
TE/FR/347/2024,40FCL
TE/FR/3470/2023,LCL
TE/FR/3471/2022,LCL
TE/FR/3471/2023,LCL
TE/FR/3472/2023,LCL
TE/FR/3474/2023,LCL
TE/FR/3476/2022,20FCL
TE/FR/3477/2022,LCL
TE/FR/3478/2022,LCL
TE/FR/348/2022,40FCL
TE/FR/348/2023,LCL
TE/FR/348/2024,40FCL
TE/FR/3480/2022,20FCL
TE/FR/3480/2023,40FCL
TE/FR/3481/2022,40FCL
TE/FR/3481/2023,40FCL
TE/FR/3482/2023,40FCL
TE/FR/3483/2023,40FCL
TE/FR/3484/2023,40FCL
TE/FR/3485/2022,LCL
TE/FR/3485/2023,40FCL
TE/FR/3486/2022,LCL
TE/FR/3486/2023,20FCL
TE/FR/3487/2022,LCL
TE/FR/3487/2023,40FCL
TE/FR/3488/2023,40FCL
TE/FR/3489/2022,LCL
TE/FR/349/2022,LCL
TE/FR/349/2023,40FCL
TE/FR/349/2024,LCL
TE/FR/3490/2022,40FCL
TE/FR/3490/2023,40FCL
TE/FR/3491/2022,40FCL
TE/FR/3493/2022,40FCL
TE/FR/3494/2023,40FCL
TE/FR/3496/2023,40FCL
TE/FR/3498/2023,40FCL
TE/FR/3499/2023,40FCL
TE/FR/35/2022,40FCL
TE/FR/35/2023,40FCL
TE/FR/350/2022,40FCL
TE/FR/350/2023,40FCL
TE/FR/350/2024,40FCL
TE/FR/3502/2022,LCL
TE/FR/3502/2023,40FCL
TE/FR/3503/2023,40FCL
TE/FR/3504/2022,20FCL
TE/FR/3504/2023,40FCL
TE/FR/3505/2022,20FCL
TE/FR/3505/2023,40FCL
TE/FR/3506/2022,LCL
TE/FR/3506/2023,40FCL
TE/FR/3507/2022,LCL
TE/FR/3507/2023,40FCL
TE/FR/3508/2022,20FCL
TE/FR/3508/2023,40FCL
TE/FR/351/2022,40FCL
TE/FR/351/2023,LCL
TE/FR/351/2024,40FCL
TE/FR/3510/2022,40FCL
TE/FR/3510/2023,20FCL
TE/FR/3511/2022,LCL
TE/FR/3511/2023,LCL
TE/FR/3512/2023,40FCL
TE/FR/3513/2022,40FCL
TE/FR/3514/2022,40FCL
TE/FR/3514/2023,LCL
TE/FR/3515/2022,40FCL
TE/FR/3516/2022,40FCL
TE/FR/3517/2022,40FCL
TE/FR/3518/2023,LCL
TE/FR/3519/2022,20FCL
TE/FR/3519/2023,40FCL
TE/FR/352/2022,40FCL
TE/FR/352/2023,40FCL
TE/FR/352/2024,LCL
TE/FR/3520/2022,40FCL
TE/FR/3520/2023,LCL
TE/FR/3521/2023,LCL
TE/FR/3522/2022,40FCL
TE/FR/3522/2023,40FCL
TE/FR/3523/2022,40FCL
TE/FR/3523/2023,LCL
TE/FR/3524/2022,40FCL
TE/FR/3524/2023,40FCL
TE/FR/3526/2023,40FCL
TE/FR/3527/2023,40FCL
TE/FR/3528/2023,40FCL
TE/FR/3529/2022,LCL
TE/FR/3529/2023,LCL
TE/FR/353/2022,LCL
TE/FR/353/2023,40FCL
TE/FR/353/2024,LCL
TE/FR/3530/2022,40FCL
TE/FR/3530/2023,40FCL
TE/FR/3531/2022,40FCL
TE/FR/3531/2023,40FCL
TE/FR/3532/2022,40FCL
TE/FR/3532/2023,40FCL
TE/FR/3533/2022,40FCL
TE/FR/3533/2023,LCL
TE/FR/3534/2022,20FCL
TE/FR/3534/2023,40FCL
TE/FR/3535/2023,40FCL
TE/FR/3536/2022,40FCL
TE/FR/3536/2023,40FCL
TE/FR/3537/2022,40FCL
TE/FR/3537/2023,40FCL
TE/FR/3538/2022,40FCL
TE/FR/3538/2023,40FCL
TE/FR/3539/2022,40FCL
TE/FR/3539/2023,40FCL
TE/FR/354/2022,LCL
TE/FR/354/2024,LCL
TE/FR/3540/2022,40FCL
TE/FR/3540/2023,40FCL
TE/FR/3541/2023,40FCL
TE/FR/3542/2022,40FCL
TE/FR/3542/2023,40FCL
TE/FR/3543/2022,LCL
TE/FR/3543/2023,40FCL
TE/FR/3544/2023,40FCL
TE/FR/3545/2023,40FCL
TE/FR/3546/2023,40FCL
TE/FR/3547/2023,40FCL
TE/FR/3548/2022,40FCL
TE/FR/3548/2023,40FCL
TE/FR/3549/2022,20FCL
TE/FR/3549/2023,40FCL
TE/FR/355/2022,20FCL
TE/FR/355/2024,40FCL
TE/FR/3550/2022,LCL
TE/FR/3550/2023,40FCL
TE/FR/3551/2022,LCL
TE/FR/3551/2023,40FCL
TE/FR/3552/2022,20FCL
TE/FR/3552/2023,40FCL
TE/FR/3553/2023,20FCL
TE/FR/3554/2022,40FCL
TE/FR/3554/2023,20FCL
TE/FR/3555/2022,LCL
TE/FR/3555/2023,LCL
TE/FR/3556/2023,40FCL
TE/FR/3557/2022,40FCL
TE/FR/3557/2023,20FCL
TE/FR/3558/2022,20FCL
TE/FR/3558/2023,20FCL
TE/FR/3559/2022,40FCL
TE/FR/3559/2023,40FCL
TE/FR/356/2022,LCL
TE/FR/356/2023,LCL
TE/FR/356/2024,40FCL
TE/FR/3560/2022,20FCL
TE/FR/3560/2023,LCL
TE/FR/3561/2022,40FCL
TE/FR/3561/2023,20FCL
TE/FR/3562/2022,20FCL
TE/FR/3563/2022,40FCL
TE/FR/3563/2023,LCL
TE/FR/3564/2022,LCL
TE/FR/3565/2022,20FCL
TE/FR/3566/2022,LCL
TE/FR/3566/2023,LCL
TE/FR/3567/2023,LCL
TE/FR/357/2022,LCL
TE/FR/357/2023,LCL
TE/FR/357/2024,40FCL
TE/FR/3572/2023,40FCL
TE/FR/3573/2023,LCL
TE/FR/3574/2022,40FCL
TE/FR/3574/2023,LCL
TE/FR/3575/2022,LCL
TE/FR/3575/2023,LCL
TE/FR/3576/2023,LCL
TE/FR/3577/2022,LCL
TE/FR/3577/2023,20FCL
TE/FR/3578/2022,LCL
TE/FR/3578/2023,LCL
TE/FR/3579/2022,LCL
TE/FR/3579/2023,LCL
TE/FR/358/2022,LCL
TE/FR/358/2023,40FCL
TE/FR/358/2024,LCL
TE/FR/3580/2023,LCL
TE/FR/3581/2022,LCL
TE/FR/3581/2023,LCL
TE/FR/3582/2022,20FCL
TE/FR/3582/2023,40FCL
TE/FR/3583/2023,40FCL
TE/FR/3584/2023,40FCL
TE/FR/3585/2022,40GP
TE/FR/3585/2023,40FCL
TE/FR/3586/2022,LCL
TE/FR/3587/2022,40FCL
TE/FR/3588/2022,40FCL
TE/FR/3589/2022,40FCL
TE/FR/359/2022,40FCL
TE/FR/359/2023,LCL
TE/FR/3590/2022,LCL
TE/FR/3590/2023,40FCL
TE/FR/3591/2022,LCL
TE/FR/3591/2023,40FCL
TE/FR/3593/2022,40FCL
TE/FR/3594/2022,LCL
TE/FR/3594/2023,LCL
TE/FR/3595/2022,40FCL
TE/FR/3595/2023,LCL
TE/FR/3596/2022,40FCL
TE/FR/3598/2023,40FCL
TE/FR/3599/2023,40FCL
TE/FR/36/2022,40FCL
TE/FR/36/2023,40FCL
TE/FR/36/2024,40FCL
TE/FR/360/2022,20FCL
TE/FR/360/2023,LCL
TE/FR/360/2024,40FCL
TE/FR/3600/2023,40FCL
TE/FR/3601/2022,LCL
TE/FR/3601/2023,LCL
TE/FR/3602/2022,LCL
TE/FR/3602/2023,40FCL
TE/FR/3603/2022,LCL
TE/FR/3603/2023,40FCL
TE/FR/3604/2022,40FCL
TE/FR/3604/2023,20FCL
TE/FR/3605/2023,40FCL
TE/FR/3606/2023,40FCL
TE/FR/3608/2022,40FCL
TE/FR/3608/2023,40FCL
TE/FR/3609/2022,40FCL
TE/FR/3609/2023,40FCL
TE/FR/361/2022,LCL
TE/FR/361/2023,40FCL
TE/FR/361/2024,LCL
TE/FR/3610/2023,40FCL
TE/FR/3611/2022,40FCL
TE/FR/3611/2023,40FCL
TE/FR/3612/2022,40FCL
TE/FR/3612/2023,40FCL
TE/FR/3613/2022,40FCL
TE/FR/3613/2023,40FCL
TE/FR/3614/2022,40FCL
TE/FR/3614/2023,40FCL
TE/FR/3615/2022,40FCL
TE/FR/3615/2023,40FCL
TE/FR/3616/2023,40FCL
TE/FR/3617/2022,LCL
TE/FR/3617/2023,20FCL
TE/FR/3618/2023,40FCL
TE/FR/3619/2023,40FCL
TE/FR/362/2022,20GP
TE/FR/362/2023,40FCL
TE/FR/3620/2023,40FCL
TE/FR/3621/2022,40FCL
TE/FR/3621/2023,40FCL
TE/FR/3622/2022,40FCL
TE/FR/3622/2023,40FCL
TE/FR/3623/2022,40FCL
TE/FR/3624/2022,20FCL
TE/FR/3625/2022,40FCL
TE/FR/3626/2022,40FCL
TE/FR/3626/2023,LCL
TE/FR/3627/2022,40FCL
TE/FR/3627/2023,40FCL
TE/FR/3628/2022,40FCL
TE/FR/3628/2023,40FCL
TE/FR/3629/2022,40FCL
TE/FR/3629/2023,LCL
TE/FR/363/2022,LCL
TE/FR/363/2023,40FCL
TE/FR/3630/2022,LCL
TE/FR/3631/2022,LCL
TE/FR/3631/2023,40FCL
TE/FR/3632/2022,LCL
TE/FR/3632/2023,LCL
TE/FR/3633/2022,40HC
TE/FR/3634/2023,LCL
TE/FR/3635/2023,40FCL
TE/FR/3636/2022,40FCL
TE/FR/3637/2022,40FCL
TE/FR/3639/2022,40GP
TE/FR/3639/2023,LCL
TE/FR/364/2022,LCL
TE/FR/364/2023,40FCL
TE/FR/3640/2023,LCL
TE/FR/3641/2022,20FCL
TE/FR/3641/2023,LCL
TE/FR/3642/2022,LCL
TE/FR/3642/2023,40FCL
TE/FR/3643/2022,40FCL
TE/FR/3644/2023,LCL
TE/FR/3645/2022,40FCL
TE/FR/3645/2023,LCL
TE/FR/3646/2022,40FCL
TE/FR/3646/2023,40FCL
TE/FR/3647/2022,40FCL
TE/FR/3647/2023,LCL
TE/FR/3648/2023,LCL
TE/FR/3649/2022,40FCL
TE/FR/3649/2023,40FCL
TE/FR/365/2022,LCL
TE/FR/365/2023,40FCL
TE/FR/365/2024,LCL
TE/FR/3650/2022,40FCL
TE/FR/3650/2023,LCL
TE/FR/3651/2022,LCL
TE/FR/3651/2023,LCL
TE/FR/3652/2023,LCL
TE/FR/3653/2023,40FCL
TE/FR/3654/2022,LCL
TE/FR/3655/2022,40FCL
TE/FR/3655/2023,40FCL
TE/FR/3656/2023,LCL
TE/FR/3657/2023,40FCL
TE/FR/3658/2023,40GP
TE/FR/366/2022,LCL
TE/FR/366/2023,40FCL
TE/FR/366/2024,LCL
TE/FR/3660/2023,40FCL
TE/FR/3661/2022,40FCL
TE/FR/3662/2022,LCL
TE/FR/3662/2023,LCL
TE/FR/3663/2022,LCL
TE/FR/3663/2023,40FCL
TE/FR/3664/2022,LCL
TE/FR/3664/2023,40FCL
TE/FR/3665/2022,40FCL
TE/FR/3665/2023,40FCL
TE/FR/3666/2022,40FCL
TE/FR/3666/2023,LCL
TE/FR/3667/2022,LCL
TE/FR/3667/2023,20FCL
TE/FR/3668/2023,40FCL
TE/FR/3669/2022,LCL
TE/FR/3669/2023,40FCL
TE/FR/367/2022,20FCL
TE/FR/367/2023,LCL
TE/FR/367/2024,LCL
TE/FR/3670/2022,20FCL
TE/FR/3670/2023,40FCL
TE/FR/3671/2022,LCL
TE/FR/3671/2023,40FCL
TE/FR/3672/2022,LCL
TE/FR/3672/2023,LCL
TE/FR/3673/2022,40FCL
TE/FR/3673/2023,40FCL
TE/FR/3674/2022,40FCL
TE/FR/3674/2023,40FCL
TE/FR/3675/2022,40FCL
TE/FR/3675/2023,40FCL
TE/FR/3676/2022,40FCL
TE/FR/3676/2023,40FCL
TE/FR/3677/2022,40FCL
TE/FR/3677/2023,40FCL
TE/FR/3678/2022,40FCL
TE/FR/3678/2023,40FCL
TE/FR/3679/2022,LCL
TE/FR/3679/2023,LCL
TE/FR/368/2022,LCL
TE/FR/368/2023,LCL
TE/FR/368/2024,LCL
TE/FR/3680/2022,40FCL
TE/FR/3680/2023,LCL
TE/FR/3681/2022,40FCL
TE/FR/3682/2022,40FCL
TE/FR/3682/2023,LCL
TE/FR/3683/2022,40FCL
TE/FR/3683/2023,LCL
TE/FR/3684/2022,40FCL
TE/FR/3684/2023,40FCL
TE/FR/3685/2022,LCL
TE/FR/3685/2023,40FCL
TE/FR/3686/2022,20FCL
TE/FR/3686/2023,LCL
TE/FR/3687/2022,40FCL
TE/FR/3687/2023,LCL
TE/FR/3688/2022,40FCL
TE/FR/3688/2023,20FCL
TE/FR/3689/2022,40FCL
TE/FR/3689/2023,LCL
TE/FR/369/2022,LCL
TE/FR/369/2023,40FCL
TE/FR/369/2024,40FCL
TE/FR/3690/2022,40FCL
TE/FR/3691/2022,40FCL
TE/FR/3692/2022,40FCL
TE/FR/3694/2022,40FCL
TE/FR/3694/2023,20FCL
TE/FR/3695/2022,40FCL
TE/FR/3695/2023,LCL
TE/FR/3696/2023,40FCL
TE/FR/3697/2023,40FCL
TE/FR/3698/2022,LCL
TE/FR/3698/2023,40FCL
TE/FR/3699/2023,40FCL
TE/FR/37/2022,40FCL
TE/FR/37/2023,LCL
TE/FR/37/2024,20FCL
TE/FR/370/2022,40FCL
TE/FR/370/2023,40FCL
TE/FR/370/2024,LCL
TE/FR/3700/2022,LCL
TE/FR/3700/2023,LCL
TE/FR/3701/2022,LCL
TE/FR/3701/2023,LCL
TE/FR/3702/2022,LCL
TE/FR/3702/2023,20FCL
TE/FR/3703/2022,40FCL
TE/FR/3703/2023,40FCL
TE/FR/3704/2023,40FCL
TE/FR/3705/2022,40FCL
TE/FR/3705/2023,40FCL
TE/FR/3706/2022,LCL
TE/FR/3706/2023,40FCL
TE/FR/3707/2022,40FCL
TE/FR/3707/2023,40FCL
TE/FR/3708/2022,LCL
TE/FR/3708/2023,40FCL
TE/FR/3709/2022,LCL
TE/FR/3709/2023,40FCL
TE/FR/371/2022,40FCL
TE/FR/371/2023,LCL
TE/FR/371/2024,LCL
TE/FR/3713/2022,40FCL
TE/FR/3713/2023,LCL
TE/FR/3714/2022,40FCL
TE/FR/3715/2022,40FCL
TE/FR/3715/2023,LCL
TE/FR/3717/2022,20FCL
TE/FR/3718/2023,40FCL
TE/FR/3719/2023,40FCL
TE/FR/372/2022,40FCL
TE/FR/372/2023,LCL
TE/FR/3720/2023,40FCL
TE/FR/3721/2022,40FCL
TE/FR/3721/2023,40FCL
TE/FR/3722/2023,20FCL
TE/FR/3723/2022,LCL
TE/FR/3725/2023,20FCL
TE/FR/3726/2022,LCL
TE/FR/3726/2023,LCL
TE/FR/3727/2022,LCL
TE/FR/3727/2023,LCL
TE/FR/3728/2022,20FCL
TE/FR/3728/2023,40FCL
TE/FR/3729/2022,40FCL
TE/FR/3729/2023,40FCL
TE/FR/373/2022,40FCL
TE/FR/373/2023,20FCL
TE/FR/373/2024,LCL
TE/FR/3730/2023,40FCL
TE/FR/3731/2022,LCL
TE/FR/3732/2022,20FCL
TE/FR/3733/2022,20FCL
TE/FR/3734/2022,20FCL
TE/FR/3736/2023,40FCL
TE/FR/374/2022,40FCL
TE/FR/374/2024,LCL
TE/FR/3740/2022,LCL
TE/FR/3741/2022,LCL
TE/FR/3742/2022,LCL
TE/FR/3743/2023,LCL
TE/FR/3744/2022,40FCL
TE/FR/3745/2022,40FCL
TE/FR/3745/2023,LCL
TE/FR/3746/2022,40FCL
TE/FR/3746/2023,LCL
TE/FR/3747/2023,LCL
TE/FR/3748/2023,LCL
TE/FR/375/2022,40FCL
TE/FR/375/2024,40FCL
TE/FR/3750/2023,LCL
TE/FR/3751/2023,LCL
TE/FR/3754/2022,40FCL
TE/FR/3755/2022,40FCL
TE/FR/3756/2022,LCL
TE/FR/3757/2022,LCL
TE/FR/3758/2022,LCL
TE/FR/3759/2022,LCL
TE/FR/3759/2023,LCL
TE/FR/376/2022,40FCL
TE/FR/376/2024,LCL
TE/FR/3760/2022,LCL
TE/FR/3760/2023,40FCL
TE/FR/3761/2022,LCL
TE/FR/3761/2023,40FCL
TE/FR/3762/2022,LCL
TE/FR/3762/2023,40FCL
