Orders.Ship Mode,Orders.Segment,Orders.Region,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales),Sum(Orders.Profit)
Second Class,Corporate,East,Furniture,Tables,3620.6760000000004,-1215.8593
Standard Class,Corporate,East,Furniture,Tables,12523.815999999999,-3757.4824999999996
First Class,Home Office,East,Furniture,Tables,925.2660000000001,-226.37980000000002
Same Day,Home Office,East,Furniture,Tables,424.194,-218.64480000000003
Second Class,Home Office,East,Furniture,Tables,2529.6719999999996,-549.0096
Standard Class,Home Office,East,Furniture,Tables,3626.6500000000005,-1023.3374000000001
First Class,Consumer,South,Furniture,Tables,2932,362.4975999999999
Same Day,Consumer,South,Furniture,Tables,,
Second Class,Consumer,South,Furniture,Tables,7323.904500000001,-1582.0635000000004
Standard Class,Consumer,South,Furniture,Tables,14152.9375,-1357.9337
First Class,Corporate,South,Furniture,Tables,2928.2340000000004,117.95189999999991
Same Day,Corporate,South,Furniture,Tables,630.024,-199.50760000000008
Second Class,Corporate,South,Furniture,Tables,956.2740000000001,-321.42380000000014
Standard Class,Corporate,South,Furniture,Tables,8105.1435,-985.2444000000003
First Class,Home Office,South,Furniture,Tables,5425.496,-338.8700000000001
Same Day,Home Office,South,Furniture,Tables,,
Second Class,Home Office,South,Furniture,Tables,,
Standard Class,Home Office,South,Furniture,Tables,1462.1785,-318.4644
First Class,Consumer,West,Furniture,Tables,2987.977,-16.137900000000144
Same Day,Consumer,West,Furniture,Tables,1473.3440000000003,106.06329999999991
Second Class,Consumer,West,Furniture,Tables,15150.825999999997,948.3919000000001
Standard Class,Consumer,West,Furniture,Tables,20995.339,-516.345600000001
First Class,Corporate,West,Furniture,Tables,3887.7960000000007,439.8341999999999
Same Day,Corporate,West,Furniture,Tables,2543.8399999999997,82.86890000000008
Second Class,Corporate,West,Furniture,Tables,1971.272,-75.10740000000003
Standard Class,Corporate,West,Furniture,Tables,19734.983000000004,626.6046999999995
First Class,Home Office,West,Furniture,Tables,3011.836,-188.62260000000003
Same Day,Home Office,West,Furniture,Tables,,
Second Class,Home Office,West,Furniture,Tables,5981.412,923.5386999999996
Standard Class,Home Office,West,Furniture,Tables,7015.937,-848.4809
